符合條件商品
資料日期：2022年  8月  3日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:20 符合檔數(21)
1	,2324.TW,仁寶,22.95,0.44,9576,23.1,-0.65,14,自連買
2	,2356.TW,英業達,26,0.19,6530,24.1,7.88,14,自連買
3	,2006.TW,東和鋼鐵,53.2,0.95,1881,51.9,2.5,13,自連買
4	,4938.TW,和碩,64.2,0.31,3317,63.1,1.74,13,自連買
5	,1216.TW,統一,65.9,0,2803,68.5,0.15,11,自連買
6	,3036.TW,文曄,62.7,-0.95,1327,68.3,-8.2,11,自連買
7	,5522.TW,遠雄,58.5,0.34,1205,63.3,-4.11,11,自連買
8	,6477.TW,安集,45.15,0.22,708,50.9,-11.3,10,自連買
9	,2301.TW,光寶科,64,-0.47,4678,64.8,0.98,9,自連買
10	,2441.TW,超豐,48.2,-2.33,4006,62.1,-15.95,9,自連買
11	,3044.TW,健鼎,96,1.59,1391,101.5,-5.42,9,自連買
12	,2891.TW,中信金,21.9,-1.13,23817,22.3,-1.79,8,自連買
13	,2347.TW,聯強,61,-0.81,2957,54.5,11.93,7,自連買
14	,2520.TW,冠德,28.65,0.7,326,26.7,7.3,7,自連買
15	,2330.TW,台積電,455,-2.78,26724,501,-8.13,6,自連買
16	,2354.TW,鴻準,51.4,-1.15,1092,48.1,6.86,6,自連買
17	,2421.TW,建準,44.85,-2.82,1233,41.75,7.43,6,自連買
18	,6756.TW,威鋒電子,191,-2.05,282,226.5,-15.67,6,自連買
19	,2641.TW,正德,20.1,0.5,16078,20.7,-2.9,5,自連買
20	,6121.TW,新普,288.5,-0.35,276,256.5,17.78,5,自連買
21	,6416.TW,瑞祺電通,90,0.22,41,87,5.63,5,自連買
