符合條件商品
資料日期：2022年  3月  3日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:55 符合檔數(17)
1	,3026.TW,禾伸堂,89.9,0,51,119.5,-17.41,10,自連買
2	,2882.TW,國泰金,41.15,1.86,33982,62.1,-28.72,9,自連買
3	,8112.TW,至上,36.05,0.7,471,54.3,-25.96,9,自連買
4	,2732.TW,六角,126,0.8,213,108,21.56,7,自連買
5	,2606.TW,裕民,50.1,-3.47,10468,61.8,-13.07,6,自連買
6	,2809.TW,京城銀,33.9,-3.42,3989,40.5,-11.44,6,自連買
7	,3005.TW,神基,43.55,0.35,857,57.6,-19.28,6,自連買
8	,3653.TW,健策,369.5,-0.81,1389,376,10.35,6,自連買
9	,5871.TW,中租-KY,216.5,0.46,2711,258.5,-9.64,6,自連買
10	,5876.TW,上海商銀,44.25,-0.45,2405,47.5,-3.45,6,自連買
11	,5880.TW,合庫金,25.95,-0.76,4866,26.85,3.18,6,自連買
12	,6213.TW,聯茂,71.9,0.42,941,129,-40.57,6,自連買
13	,1305.TW,華夏,26.5,1.15,17566,36.25,-19.7,5,自連買
14	,1442.TW,名軒,37.2,1.5,752,23.65,66,5,自連買
15	,2233.TW,宇隆,99.5,0.3,88,120,-13.03,5,自連買
16	,3583.TW,辛耘,72.6,1.26,201,90.8,-17.42,5,自連買
17	,5457.TW,宣德,49.5,-0.2,374,67.5,-22.9,5,自連買
