符合條件商品
資料日期：2022年 11月 23日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/23),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:02 符合檔數(15)
1	,1312.TW,國喬,18.95,1.07,4063,17.5,8.29,20,自連買
2	,6834.TW,天二科技,25.1,-1.38,20,24.6,2.03,12,自連買
3	,9933.TW,中鼎,41.85,0.6,916,40.25,3.98,7,自連買
4	,2723.TW,美食-KY,139,0.72,443,113.5,22.47,6,自連買
5	,6274.TW,台燿,52.5,1.16,910,55.9,-6.08,6,自連買
6	,1304.TW,台聚,22.1,1.61,6105,20.45,8.07,5,自連買
7	,1718.TW,中纖,8.35,-0.71,2204,8.12,2.83,5,自連買
8	,2633.TW,台灣高鐵,28.75,-0.52,2418,28,2.68,5,自連買
9	,2809.TW,京城銀,33.9,-3.42,3989,35.15,-3.56,5,自連買
10	,2884.TW,玉山金,24.1,-1.03,10272,24,0.42,5,自連買
11	,2886.TW,兆豐金,30.55,-0.97,8425,31.1,-1.77,5,自連買
12	,2892.TW,第一金,26.3,-0.38,6392,25.45,3.34,5,自連買
13	,3673.TW,TPK-KY,29.7,-0.34,398,31.15,-4.65,5,自連買
14	,6209.TW,今國光,25.4,-0.59,249,26.6,-4.51,5,自連買
15	,6285.TW,啟碁,80.8,-2.3,4232,86,-6.05,5,自連買
