符合條件商品
資料日期：2022年  3月  8日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:48 符合檔數(12)
1	,8112.TW,至上,36.05,0.7,471,49.85,-19.35,12,自連買
2	,2809.TW,京城銀,33.9,-3.42,3989,39.2,-8.5,9,自連買
3	,3005.TW,神基,43.55,0.35,857,57,-18.42,9,自連買
4	,5880.TW,合庫金,25.95,-0.76,4866,25.9,6.97,9,自連買
5	,2497.TW,怡利電,72.9,-0.82,961,98.5,-25.99,7,自連買
6	,6134.TW,萬旭,21.45,-0.69,109,24.1,-10.59,7,自連買
7	,1301.TW,台塑,86.8,-0.46,6046,104,-9.65,6,自連買
8	,1762.TW,中化生,63.5,1.11,2260,51,27.41,6,自連買
9	,3338.TW,泰碩,31.55,-0.47,61,51.8,-36.79,6,自連買
10	,8044.TW,網家,53.2,0.95,575,80.9,-33.74,6,自連買
11	,2536.TW,宏普,22.25,-0.22,33,22.5,-1.11,5,自連買
12	,5309.TW,系統電,39.5,-1.86,1571,36,9.72,5,自連買
