符合條件商品
資料日期：2022年  5月 12日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/12),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:03 符合檔數(15)
1	,1102.TW,亞泥,41.55,0.24,6062,44.4,1.34,18,自連買
2	,3702.TW,大聯大,47.8,-0.52,2583,53.4,-4.13,18,自連買
3	,2441.TW,超豐,48.2,-2.33,4006,70.9,-26.38,16,自連買
4	,2356.TW,英業達,26,0.19,6530,25.2,9.57,14,自連買
5	,4938.TW,和碩,64.2,0.31,3317,67.7,2.51,14,自連買
6	,2382.TW,廣達,71.2,-0.97,4354,82.1,-5.93,13,自連買
7	,3044.TW,健鼎,96,1.59,1391,117,-12.21,13,自連買
8	,2809.TW,京城銀,33.9,-3.42,3989,37.35,-3.97,8,自連買
9	,6176.TW,瑞儀,106,0.47,1064,100,15.47,8,自連買
10	,2301.TW,光寶科,64,-0.47,4678,62.6,4.52,7,自連買
11	,2324.TW,仁寶,22.95,0.44,9576,23,-0.22,6,自連買
12	,2347.TW,聯強,61,-0.81,2957,70.4,-6.7,6,自連買
13	,2887.TW,台新金,15.2,0,6593,16.7,-1.04,6,自連買
14	,2376.TW,技嘉,106.5,1.43,5227,105.5,16.04,5,自連買
15	,5522.TW,遠雄,58.5,0.34,1205,62.4,4.39,5,自連買
