符合條件商品
資料日期：2022年  1月 21日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/21),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:03 符合檔數(14)
1	,2886.TW,兆豐金,30.55,-0.97,8425,36.85,-11.71,12,自連買
2	,3005.TW,神基,43.55,0.35,857,54.6,-14.84,12,自連買
3	,2301.TW,光寶科,64,-0.47,4678,63.7,6.47,8,自連買
4	,2324.TW,仁寶,22.95,0.44,9576,25.45,-2.13,8,自連買
5	,4974.TW,亞泰,57.5,0,115,54.8,13.7,8,自連買
6	,1102.TW,亞泥,41.55,0.24,6062,44.5,1.09,7,自連買
7	,9933.TW,中鼎,41.85,0.6,916,38.5,14.47,7,自連買
8	,2347.TW,聯強,61,-0.81,2957,68.5,-4.1,6,自連買
9	,2441.TW,超豐,48.2,-2.33,4006,74.6,-30.03,6,自連買
10	,3702.TW,大聯大,47.8,-0.52,2583,54.3,-5.72,6,自連買
11	,5522.TW,遠雄,58.5,0.34,1205,62.4,4.39,6,自連買
12	,2014.TW,中鴻,27.6,1.1,53751,38.15,-19.84,5,自連買
13	,2887.TW,台新金,15.2,0,6593,20.15,-17.97,5,自連買
14	,4551.TW,智伸科,146,-0.68,691,156,-3.46,5,自連買
