符合條件商品
資料日期：2021年 12月 22日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/22),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:06 符合檔數(10)
1	,5222.TW,全訊,134.5,-2.18,132,205.5,-33.1,10,自連買
2	,6111.TW,大宇資,61.4,3.89,5227,106,-21.73,6,自連買
3	,8431.TW,匯鑽科,54.2,7.33,258,72.9,-22.83,6,自連買
4	,2105.TW,正新,33.75,-0.74,1203,35.9,-2.71,5,自連買
5	,2301.TW,光寶科,64,-0.47,4678,61.5,10.29,5,自連買
6	,3042.TW,晶技,83,0.73,539,111,-18.5,5,自連買
7	,4736.TW,泰博,186,-0.53,4377,178,13.1,5,自連買
8	,5009.TW,榮剛,37.5,-0.66,11974,22.3,77.81,5,自連買
9	,6457.TW,紘康,62.5,-1.26,183,204.5,-64.93,5,自連買
10	,8299.TW,群聯,305,-0.81,792,487,-32.37,5,自連買
