符合條件商品
資料日期：2021年 12月 16日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/16),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:07 符合檔數(10)
1	,2885.TW,元大金,21.8,-0.91,10786,24.85,-3.41,10,自連買
2	,2020.TW,美亞,23.5,-0.63,75,31.6,-17.66,7,自連買
3	,3005.TW,神基,43.55,0.35,857,54.1,-14.05,6,自連買
4	,5222.TW,全訊,134.5,-2.18,132,211,-34.85,6,自連買
5	,6190.TW,萬泰科,29.35,-1.18,798,42.3,-27.82,6,自連買
6	,8924.TW,大田,120.5,0.42,199,150.5,-11.11,6,自連買
7	,2887.TW,台新金,15.2,0,6593,18.65,-11.37,5,自連買
8	,3122.TW,笙泉,26,-0.95,176,60.2,-53.97,5,自連買
9	,5223.TW,安力-KY,39.15,-0.38,5,59.2,-29.96,5,自連買
10	,5234.TW,達興材料,67.2,0.15,91,128,-43.93,5,自連買
