符合條件商品
資料日期：2022年 10月 26日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/26),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:07 符合檔數(66)
1	,1101.TW,台泥,34.05,-1.16,23484,30.3,12.38,20,自連買
2	,1102.TW,亞泥,41.55,0.24,6062,37.35,11.24,20,自連買
3	,1312.TW,國喬,18.95,1.07,4063,17.25,9.86,20,自連買
4	,2006.TW,東和鋼鐵,53.2,0.95,1881,50.7,4.93,20,自連買
5	,2301.TW,光寶科,64,-0.47,4678,65.4,-2.14,20,自連買
6	,2324.TW,仁寶,22.95,0.44,9576,20.55,11.68,20,自連買
7	,2347.TW,聯強,61,-0.81,2957,53.5,14.02,20,自連買
8	,2356.TW,英業達,26,0.19,6530,23.5,10.64,20,自連買
9	,2377.TW,微星,119.5,1.7,2513,111,7.66,20,自連買
10	,2382.TW,廣達,71.2,-0.97,4354,68.3,4.25,20,自連買
11	,2385.TW,群光,87.2,0.11,1118,79.2,10.1,20,自連買
12	,2441.TW,超豐,48.2,-2.33,4006,45.5,5.93,20,自連買
13	,2449.TW,京元電子,36.4,-1.75,4505,31.85,14.29,20,自連買
14	,2454.TW,聯發科,660,-0.15,2431,579,13.99,20,自連買
15	,3034.TW,聯詠,301.5,-0.17,3163,235,28.3,20,自連買
16	,3036.TW,文曄,62.7,-0.95,1327,61.9,1.29,20,自連買
17	,3044.TW,健鼎,96,1.59,1391,84,14.29,20,自連買
18	,3231.TW,緯創,29.9,-0.83,12268,25.85,15.67,20,自連買
19	,3702.TW,大聯大,47.8,-0.52,2583,44.4,7.66,20,自連買
20	,4938.TW,和碩,64.2,0.31,3317,56.7,13.23,20,自連買
21	,5522.TW,遠雄,58.5,0.34,1205,53.9,8.53,20,自連買
22	,6176.TW,瑞儀,106,0.47,1064,92.9,14.1,20,自連買
23	,2376.TW,技嘉,106.5,1.43,5227,91.3,16.65,16,自連買
24	,2884.TW,玉山金,24.1,-1.03,10272,23.2,3.88,11,自連買
25	,2886.TW,兆豐金,30.55,-0.97,8425,30.15,1.33,11,自連買
26	,2609.TW,陽明,67.3,-1.03,57425,61.9,8.72,10,自連買
27	,6239.TW,力成,81.3,0.62,1926,72,12.92,10,自連買
28	,1301.TW,台塑,86.8,-0.46,6046,82.6,5.08,9,自連買
29	,1303.TW,南亞,70.3,-1.54,4616,68.6,2.48,9,自連買
30	,1455.TW,集盛,10.45,0,596,9.6,8.85,9,自連買
31	,1477.TW,聚陽,238.5,0,510,194.5,22.62,9,自連買
32	,1504.TW,東元,27.25,-0.37,1749,28.05,-2.85,9,自連買
33	,1802.TW,台玻,21.2,0.24,12096,19.4,9.28,9,自連買
34	,2207.TW,和泰車,592,-0.67,113,592,0,9,自連買
35	,2330.TW,台積電,455,-2.78,26724,376,21.71,9,自連買
36	,2486.TW,一詮,21.55,-0.23,1380,16.35,31.8,9,自連買
37	,2890.TW,永豐金,16.7,-4.84,27291,16.05,4.05,9,自連買
38	,2892.TW,第一金,26.3,-0.38,6392,24.85,5.84,9,自連買
39	,3711.TW,日月光投控,93.8,-3.6,11870,76.9,21.98,9,自連買
40	,4119.TW,旭富,95.3,1.17,340,85.7,11.2,9,自連買
41	,4755.TW,三福化,119,0,366,103,15.53,9,自連買
42	,5880.TW,合庫金,25.95,-0.76,4866,25.3,2.57,9,自連買
43	,8150.TW,南茂,32.9,1.23,1428,30.6,7.52,9,自連買
44	,9910.TW,豐泰,207.5,-1.19,2962,157,32.17,9,自連買
45	,3413.TW,京鼎,183.5,-1.61,306,164.5,11.55,8,自連買
46	,1514.TW,亞力,29.45,0,626,24.9,18.27,7,自連買
47	,2354.TW,鴻準,51.4,-1.15,1092,45.5,12.97,7,自連買
48	,2636.TW,台驊投控,76.3,-0.91,1346,58.6,30.2,7,自連買
49	,3051.TW,力特,17.75,-0.28,344,16.1,10.25,7,自連買
50	,2540.TW,愛山林,71.9,-1.64,383,90.6,-20.64,6,自連買
51	,3019.TW,亞光,61.6,-1.28,472,56.5,9.03,6,自連買
52	,3680.TW,家登,254.5,0.79,478,205,26.02,6,自連買
53	,6488.TW,環球晶,435.5,-2.57,2065,341.5,27.53,6,自連買
54	,8358.TW,金居,51.3,-0.58,1372,37.5,36.8,6,自連買
55	,1720.TW,生達,59.1,0.17,11057,43.9,34.62,5,自連買
56	,2312.TW,金寶,13.65,-1.09,2439,13.85,-1.44,5,自連買
57	,2379.TW,瑞昱,289,-0.52,1352,254.5,13.56,5,自連買
58	,2474.TW,可成,169,-1.74,2651,164.5,2.74,5,自連買
59	,2915.TW,潤泰全,66.7,0.15,4192,52.8,26.33,5,自連買
60	,3047.TW,訊舟,15.6,-1.27,2156,14.85,5.05,5,自連買
61	,3162.TW,精確,49,-1.31,3011,38.5,27.27,5,自連買
62	,3264.TW,欣銓,49.85,-0.89,1243,39.7,25.57,5,自連買
63	,3617.TW,碩天,96.3,-2.33,255,89.1,8.08,5,自連買
64	,6213.TW,聯茂,71.9,0.42,941,52.5,36.95,5,自連買
65	,6715.TW,嘉基,130,-2.26,387,107,21.5,5,自連買
66	,8081.TW,致新,141,-1.05,262,130,8.46,5,自連買
