符合條件商品
資料日期：2022年  2月 17日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(02/17),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:57 符合檔數(21)
1	,2324.TW,仁寶,22.95,0.44,9576,25.5,-2.3,20,自連買
2	,1101.TW,台泥,34.05,-1.16,23484,47.45,-19.12,16,自連買
3	,2885.TW,元大金,21.8,-0.91,10786,25.4,-5.5,10,自連買
4	,1605.TW,華新,46.75,-1.68,42087,27.05,79.95,9,自連買
5	,2732.TW,六角,126,0.8,213,99.2,32.35,9,自連買
6	,1723.TW,中碳,105.5,-0.47,103,119,-8.18,8,自連買
7	,3005.TW,神基,43.55,0.35,857,58.2,-20.11,8,自連買
8	,4540.TW,全球傳動,36.4,-0.41,42,47.95,-21.91,8,自連買
9	,2809.TW,京城銀,33.9,-3.42,3989,40.4,-11.23,7,自連買
10	,2820.TW,華票,14.55,0,290,17.25,-10.85,7,自連買
11	,9904.TW,寶成,34.05,0.44,6898,33.35,7.72,7,自連買
12	,8114.TW,振樺電,110,0.92,219,103,10.53,6,自連買
13	,2105.TW,正新,33.75,-0.74,1203,36.3,-3.79,5,自連買
14	,2408.TW,南亞科,51.4,-0.58,5241,82.7,-33.54,5,自連買
15	,2441.TW,超豐,48.2,-2.33,4006,74.1,-29.56,5,自連買
16	,2520.TW,冠德,28.65,0.7,326,37.4,-16.42,5,自連買
17	,2836.TW,高雄銀,12.5,-0.4,467,14.2,-6.72,5,自連買
18	,4549.TW,桓達,84.8,0.59,8,91.8,7.52,5,自連買
19	,4912.TW,聯德控股-KY,79.8,-0.37,46,166.5,-50.85,5,自連買
20	,5522.TW,遠雄,58.5,0.34,1205,63.2,3.07,5,自連買
21	,6257.TW,矽格,48.85,0.31,824,58.8,-9.54,5,自連買
