符合條件商品
資料日期：2022年 11月 22日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/22),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:03 符合檔數(9)
1	,1312.TW,國喬,18.95,1.07,4063,17.35,9.22,20,自連買
2	,6834.TW,天二科技,25.1,-1.38,20,24.6,2.03,11,自連買
3	,8916.TW,光隆,52.9,-0.94,490,57.7,-8.32,8,自連買
4	,3272.TW,東碩,47.45,1.61,1259,52.2,-9.1,6,自連買
5	,3324.TW,雙鴻,151,-0.66,649,152.5,-0.98,6,自連買
6	,3390.TW,旭軟,18,1.12,52,18.75,-4,6,自連買
7	,9933.TW,中鼎,41.85,0.6,916,39.8,5.15,6,自連買
8	,2723.TW,美食-KY,139,0.72,443,114.5,21.4,5,自連買
9	,6274.TW,台燿,52.5,1.16,910,54.7,-4.02,5,自連買
