符合條件商品
資料日期：2022年  5月 13日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/13),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:03 符合檔數(19)
1	,1102.TW,亞泥,41.55,0.24,6062,45.05,-0.12,19,自連買
2	,3702.TW,大聯大,47.8,-0.52,2583,53.5,-4.3,19,自連買
3	,2441.TW,超豐,48.2,-2.33,4006,71.3,-26.79,17,自連買
4	,2356.TW,英業達,26,0.19,6530,25.4,8.7,15,自連買
5	,4938.TW,和碩,64.2,0.31,3317,64.6,7.43,15,自連買
6	,2382.TW,廣達,71.2,-0.97,4354,82.1,-5.93,14,自連買
7	,3044.TW,健鼎,96,1.59,1391,117.5,-12.58,14,自連買
8	,2809.TW,京城銀,33.9,-3.42,3989,37.55,-4.48,9,自連買
9	,6176.TW,瑞儀,106,0.47,1064,101.5,13.76,9,自連買
10	,2301.TW,光寶科,64,-0.47,4678,62.4,4.87,8,自連買
11	,2324.TW,仁寶,22.95,0.44,9576,22.9,0.22,7,自連買
12	,2347.TW,聯強,61,-0.81,2957,70.4,-6.7,7,自連買
13	,2887.TW,台新金,15.2,0,6593,16.7,-1.04,7,自連買
14	,2376.TW,技嘉,106.5,1.43,5227,108,13.35,6,自連買
15	,5522.TW,遠雄,58.5,0.34,1205,64.3,1.3,6,自連買
16	,1215.TW,卜蜂,78.3,0.77,1049,79.6,12.4,5,自連買
17	,2458.TW,義隆,86.1,-1.71,718,140,-30.5,5,自連買
18	,2478.TW,大毅,43.2,-0.8,35,53.1,-11.51,5,自連買
19	,3034.TW,聯詠,301.5,-0.17,3163,399,-8.81,5,自連買
