符合條件商品
資料日期：2022年  8月 22日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/22),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:17 符合檔數(25)
1	,2324.TW,仁寶,22.95,0.44,9576,23.15,-0.86,20,自連買
2	,2356.TW,英業達,26,0.19,6530,24.2,7.44,20,自連買
3	,2441.TW,超豐,48.2,-2.33,4006,66.2,-21.15,20,自連買
4	,3044.TW,健鼎,96,1.59,1391,102,-5.88,20,自連買
5	,5522.TW,遠雄,58.5,0.34,1205,63.5,-4.41,20,自連買
6	,2385.TW,群光,87.2,0.11,1118,83.2,4.81,16,自連買
7	,5534.TW,長虹,73.6,2.22,690,78.7,-0.88,16,自連買
8	,2328.TW,廣宇,37.65,-1.7,2360,35.45,9.32,12,自連買
9	,4938.TW,和碩,64.2,0.31,3317,64.2,0,11,自連買
10	,3036.TW,文曄,62.7,-0.95,1327,64.4,-2.64,10,自連買
11	,1312.TW,國喬,18.95,1.07,4063,18.9,0.26,8,自連買
12	,1722.TW,台肥,53.1,-0.56,1033,66.1,-16.1,8,自連買
13	,2330.TW,台積電,455,-2.78,26724,510,-9.75,8,自連買
14	,2454.TW,聯發科,660,-0.15,2431,672,-1.79,8,自連買
15	,3324.TW,雙鴻,151,-0.66,649,159,-5.03,8,自連買
16	,6719.TW,力智,256,-0.97,769,322,-18.46,8,自連買
17	,3515.TW,華擎,140.5,2.93,1979,99.6,41.06,7,自連買
18	,1101.TW,台泥,34.05,-1.16,23484,39.65,-14.12,6,自連買
19	,4904.TW,遠傳,65.7,-0.3,2525,74.6,-11.93,6,自連買
20	,5321.TW,美而快,63.1,-0.47,32,87.8,-16.89,6,自連買
21	,1909.TW,榮成,15.55,-0.32,1849,16.1,-3.42,5,自連買
22	,2545.TW,皇翔,40.2,-0.12,93,45.35,-11.36,5,自連買
23	,3576.TW,聯合再生,20.4,-0.73,3970,22.25,-8.31,5,自連買
24	,3624.TW,光頡,40.35,0.62,414,54.8,-26.37,5,自連買
25	,6269.TW,台郡,99.2,-0.8,645,92.7,7.01,5,自連買
