符合條件商品
資料日期：2022年 11月 16日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/16),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:04 符合檔數(11)
1	,1312.TW,國喬,18.95,1.07,4063,17.35,9.22,20,自連買
2	,8076.TW,伍豐,28.15,-0.35,431,28.65,-1.75,9,自連買
3	,3260.TW,威剛,57.6,-0.17,970,63.3,-9,8,自連買
4	,3454.TW,晶睿,207.5,1.22,7571,174.5,18.91,7,自連買
5	,6834.TW,天二科技,25.1,-1.38,20,25.15,-0.2,7,自連買
6	,2436.TW,偉詮電,42,0.84,593,46.3,-9.29,6,自連買
7	,3675.TW,德微,168,2.75,1849,187.5,-10.4,6,自連買
8	,4126.TW,太醫,76,1.2,1098,68.8,10.47,6,自連買
9	,8436.TW,大江,174.5,-3.32,9916,124,40.73,6,自連買
10	,2732.TW,六角,126,0.8,213,114.5,10.04,5,自連買
11	,6670.TW,復盛應用,213,-0.7,244,209,1.91,5,自連買
