符合條件商品
資料日期：2022年 10月 24日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(10/24),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:07 符合檔數(53)
1	,1101.TW,台泥,34.05,-1.16,23484,30.6,11.27,20,自連買
2	,1102.TW,亞泥,41.55,0.24,6062,37.4,11.1,20,自連買
3	,1312.TW,國喬,18.95,1.07,4063,17.1,10.82,20,自連買
4	,2006.TW,東和鋼鐵,53.2,0.95,1881,52.3,1.72,20,自連買
5	,2301.TW,光寶科,64,-0.47,4678,64.5,-0.78,20,自連買
6	,2324.TW,仁寶,22.95,0.44,9576,20.75,10.6,20,自連買
7	,2347.TW,聯強,61,-0.81,2957,53.8,13.38,20,自連買
8	,2356.TW,英業達,26,0.19,6530,23.1,12.55,20,自連買
9	,2357.TW,華碩,271,-1.63,1392,231,17.32,20,自連買
10	,2377.TW,微星,119.5,1.7,2513,112,6.7,20,自連買
11	,2382.TW,廣達,71.2,-0.97,4354,69.3,2.74,20,自連買
12	,2385.TW,群光,87.2,0.11,1118,80.3,8.59,20,自連買
13	,2441.TW,超豐,48.2,-2.33,4006,46.55,3.54,20,自連買
14	,2449.TW,京元電子,36.4,-1.75,4505,32,13.75,20,自連買
15	,2454.TW,聯發科,660,-0.15,2431,588,12.24,20,自連買
16	,3034.TW,聯詠,301.5,-0.17,3163,246,22.56,20,自連買
17	,3036.TW,文曄,62.7,-0.95,1327,62.3,0.64,20,自連買
18	,3044.TW,健鼎,96,1.59,1391,89.9,6.79,20,自連買
19	,3231.TW,緯創,29.9,-0.83,12268,26.15,14.34,20,自連買
20	,3702.TW,大聯大,47.8,-0.52,2583,45.05,6.1,20,自連買
21	,4938.TW,和碩,64.2,0.31,3317,56.9,12.83,20,自連買
22	,5522.TW,遠雄,58.5,0.34,1205,53.4,9.55,20,自連買
23	,6176.TW,瑞儀,106,0.47,1064,96.4,9.96,20,自連買
24	,2376.TW,技嘉,106.5,1.43,5227,90,18.33,14,自連買
25	,2884.TW,玉山金,24.1,-1.03,10272,22.85,5.47,9,自連買
26	,2886.TW,兆豐金,30.55,-0.97,8425,29.6,3.21,9,自連買
27	,2609.TW,陽明,67.3,-1.03,57425,62.1,8.37,8,自連買
28	,6239.TW,力成,81.3,0.62,1926,72.4,12.29,8,自連買
29	,1301.TW,台塑,86.8,-0.46,6046,82,5.85,7,自連買
30	,1303.TW,南亞,70.3,-1.54,4616,68.5,2.63,7,自連買
31	,1455.TW,集盛,10.45,0,596,9.45,10.58,7,自連買
32	,1477.TW,聚陽,238.5,0,510,192.5,23.9,7,自連買
33	,1504.TW,東元,27.25,-0.37,1749,27.55,-1.09,7,自連買
34	,1802.TW,台玻,21.2,0.24,12096,19.25,10.13,7,自連買
35	,2207.TW,和泰車,592,-0.67,113,566,4.59,7,自連買
36	,2330.TW,台積電,455,-2.78,26724,387,18.25,7,自連買
37	,2486.TW,一詮,21.55,-0.23,1380,16.95,27.14,7,自連買
38	,2890.TW,永豐金,16.7,-4.84,27291,15.8,5.7,7,自連買
39	,2892.TW,第一金,26.3,-0.38,6392,24.5,7.35,7,自連買
40	,3711.TW,日月光投控,93.8,-3.6,11870,77.7,20.72,7,自連買
41	,4119.TW,旭富,95.3,1.17,340,87.2,9.29,7,自連買
42	,4755.TW,三福化,119,0,366,107.5,10.7,7,自連買
43	,5880.TW,合庫金,25.95,-0.76,4866,24.7,5.06,7,自連買
44	,6143.TW,振曜,66.9,0.45,825,57.5,16.35,7,自連買
45	,8150.TW,南茂,32.9,1.23,1428,31.25,5.28,7,自連買
46	,9910.TW,豐泰,207.5,-1.19,2962,158,31.33,7,自連買
47	,3413.TW,京鼎,183.5,-1.61,306,170,7.94,6,自連買
48	,1339.TW,昭輝,40.75,-0.97,57,36.05,13.04,5,自連買
49	,1514.TW,亞力,29.45,0,626,25.45,15.72,5,自連買
50	,2027.TW,大成鋼,43.15,-1.93,15303,38.7,11.5,5,自連買
51	,2354.TW,鴻準,51.4,-1.15,1092,45.95,11.86,5,自連買
52	,2636.TW,台驊投控,76.3,-0.91,1346,60.3,26.53,5,自連買
53	,3051.TW,力特,17.75,-0.28,344,16.35,8.56,5,自連買
