符合條件商品
資料日期：2022年  9月 15日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:12 符合檔數(30)
1	,2324.TW,仁寶,22.95,0.44,9576,22.8,0.66,20,自連買
2	,2449.TW,京元電子,36.4,-1.75,4505,35.45,2.68,20,自連買
3	,3036.TW,文曄,62.7,-0.95,1327,61.8,1.46,20,自連買
4	,5522.TW,遠雄,58.5,0.34,1205,61.2,-0.81,20,自連買
5	,2006.TW,東和鋼鐵,53.2,0.95,1881,53.6,-0.75,18,自連買
6	,2014.TW,中鴻,27.6,1.1,53751,24.45,12.88,18,自連買
7	,1101.TW,台泥,34.05,-1.16,23484,39.55,-13.91,9,自連買
8	,2409.TW,友達,15.4,0.65,36394,18,-20.78,8,自連買
9	,5321.TW,美而快,63.1,-0.47,32,95.6,-23.66,8,自連買
10	,3105.TW,穩懋,138,0.36,2757,163.5,-15.6,7,自連買
11	,2065.TW,世豐,50.9,-0.2,24,50.9,2.93,6,自連買
12	,3454.TW,晶睿,207.5,1.22,7571,139.5,48.75,6,自連買
13	,6603.TW,富強鑫,17.85,0.85,808,17.55,1.71,6,自連買
14	,1312.TW,國喬,18.95,1.07,4063,18.8,0.8,5,自連買
15	,1569.TW,濱川,22.15,-0.67,183,25.5,-13.14,5,自連買
16	,1720.TW,生達,59.1,0.17,11057,48.4,22.11,5,自連買
17	,2357.TW,華碩,271,-1.63,1392,254,6.69,5,自連買
18	,2439.TW,美律,79.5,0.63,452,91.5,-13.11,5,自連買
19	,2467.TW,志聖,43.25,-0.92,36,49.35,-12.36,5,自連買
20	,2607.TW,榮運,29.1,1.39,5367,33.2,-12.35,5,自連買
21	,2615.TW,萬海,86.2,-1.15,55180,80.7,6.82,5,自連買
22	,3545.TW,敦泰,59.4,2.24,1934,71,-16.34,5,自連買
23	,3580.TW,友威科,62.1,-0.64,370,76.5,-18.82,5,自連買
24	,5609.TW,中菲行,71.8,-1.64,274,72.8,-1.37,5,自連買
25	,6123.TW,上奇,54.8,-0.72,74,58.3,-3.84,5,自連買
26	,6139.TW,亞翔,36.75,-1.74,623,31.9,15.2,5,自連買
27	,6173.TW,信昌電,34.45,-1.57,150,41.45,-16.89,5,自連買
28	,6257.TW,矽格,48.85,0.31,824,48.05,1.66,5,自連買
29	,8044.TW,網家,53.2,0.95,575,55.9,-4.83,5,自連買
30	,8049.TW,晶采,30.2,0.83,420,31.5,-4.13,5,自連買
