符合條件商品
資料日期：2022年 11月 18日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/18),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:04 符合檔數(11)
1	,1312.TW,國喬,18.95,1.07,4063,17.5,8.29,20,自連買
2	,6834.TW,天二科技,25.1,-1.38,20,24.8,1.21,9,自連買
3	,4126.TW,太醫,76,1.2,1098,69,10.14,8,自連買
4	,2732.TW,六角,126,0.8,213,118.5,6.33,7,自連買
5	,6670.TW,復盛應用,213,-0.7,244,207,2.9,7,自連買
6	,8916.TW,光隆,52.9,-0.94,490,56.6,-6.54,6,自連買
7	,2538.TW,基泰,11.95,0,174,12.1,-1.24,5,自連買
8	,3228.TW,金麗科,187,-1.32,123,201,-6.97,5,自連買
9	,4551.TW,智伸科,146,-0.68,691,156.5,-6.71,5,自連買
10	,6446.TW,藥華藥,488.5,-1.81,841,528,-7.48,5,自連買
11	,6643.TW,M31,504,0,3247,460,9.57,5,自連買
