符合條件商品
資料日期：2022年 11月  4日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/04),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:06 符合檔數(59)
1	,1312.TW,國喬,18.95,1.07,4063,17.95,5.57,20,自連買
2	,2301.TW,光寶科,64,-0.47,4678,66.4,-3.61,20,自連買
3	,2324.TW,仁寶,22.95,0.44,9576,21.3,7.75,20,自連買
4	,2347.TW,聯強,61,-0.81,2957,54.4,12.13,20,自連買
5	,2356.TW,英業達,26,0.19,6530,23.65,9.94,20,自連買
6	,2382.TW,廣達,71.2,-0.97,4354,66.7,6.75,20,自連買
7	,2449.TW,京元電子,36.4,-1.75,4505,33.2,9.64,20,自連買
8	,4938.TW,和碩,64.2,0.31,3317,56.9,12.83,20,自連買
9	,6239.TW,力成,81.3,0.62,1926,75,8.4,17,自連買
10	,2890.TW,永豐金,16.7,-4.84,27291,16.25,2.77,16,自連買
11	,9910.TW,豐泰,207.5,-1.19,2962,167,24.25,16,自連買
12	,4770.TW,上品,300.5,-4.6,1157,271.5,10.68,11,自連買
13	,4904.TW,遠傳,65.7,-0.3,2525,69.3,-5.19,11,自連買
14	,9938.TW,百和,59,4.8,4688,50.3,17.3,11,自連買
15	,2069.TW,運錩,21.35,-0.7,1052,20,6.75,10,自連買
16	,2371.TW,大同,33.7,0,4072,30.3,11.22,10,自連買
17	,2820.TW,華票,14.55,0,290,14.4,1.04,10,自連買
18	,2882.TW,國泰金,41.15,1.86,33982,38.95,5.65,10,自連買
19	,2885.TW,元大金,21.8,-0.91,10786,20.05,8.73,10,自連買
20	,5469.TW,瀚宇博,31.65,-0.94,479,33.4,-5.24,10,自連買
21	,2002.TW,中鋼,30.7,0.16,37216,26.75,14.77,9,自連買
22	,3455.TW,由田,80.3,-0.25,313,80.1,0.25,7,自連買
23	,1434.TW,福懋,26.3,-0.19,479,25.75,2.14,6,自連買
24	,3265.TW,台星科,46.95,-2.09,1946,44.4,5.74,6,自連買
25	,6788.TW,華景電,95.1,-0.21,282,88.9,6.97,6,自連買
26	,8996.TW,高力,183.5,7.31,24980,133,37.97,6,自連買
27	,1215.TW,卜蜂,78.3,0.77,1049,77,1.69,5,自連買
28	,1308.TW,亞聚,28.2,-0.88,1358,26.05,8.25,5,自連買
29	,1319.TW,東陽,41.05,0.37,2564,46.25,-11.24,5,自連買
30	,1527.TW,鑽全,41.3,0.12,137,40,3.25,5,自連買
31	,2029.TW,盛餘,25.2,0,787,23.65,6.55,5,自連買
32	,2330.TW,台積電,455,-2.78,26724,382,19.8,5,自連買
33	,2345.TW,智邦,237.5,-6.5,4085,250,-5,5,自連買
34	,2376.TW,技嘉,106.5,1.43,5227,96.8,10.02,5,自連買
35	,2401.TW,凌陽,22.85,-0.87,807,23.5,-2.77,5,自連買
36	,2421.TW,建準,44.85,-2.82,1233,43.55,2.99,5,自連買
37	,2454.TW,聯發科,660,-0.15,2431,597,10.55,5,自連買
38	,2534.TW,宏盛,22.85,0.22,2104,24.8,-7.86,5,自連買
39	,2636.TW,台驊投控,76.3,-0.91,1346,66.7,14.39,5,自連買
40	,2812.TW,台中銀,12.8,-0.39,3299,12.5,2.4,5,自連買
41	,2845.TW,遠東銀,11.1,-0.89,1864,10.6,4.72,5,自連買
42	,2850.TW,新產,48.8,0.21,121,43.95,11.04,5,自連買
43	,2887.TW,台新金,15.2,0,6593,13.35,13.86,5,自連買
44	,3034.TW,聯詠,301.5,-0.17,3163,247.5,21.82,5,自連買
45	,3105.TW,穩懋,138,0.36,2757,128.5,7.39,5,自連買
46	,3413.TW,京鼎,183.5,-1.61,306,177,3.67,5,自連買
47	,3491.TW,昇達科,136.5,1.11,719,120.5,13.28,5,自連買
48	,4536.TW,拓凱,189,-0.79,392,179.5,5.29,5,自連買
49	,4968.TW,立積,113.5,2.25,1398,105,8.1,5,自連買
50	,4977.TW,眾達-KY,97.5,-1.42,2016,96,1.56,5,自連買
51	,5533.TW,皇鼎,17.45,-0.29,42,17.75,-1.69,5,自連買
52	,6125.TW,廣運,25.45,0.79,1033,25.4,0.2,5,自連買
53	,6129.TW,普誠,30.15,0.33,971,29.75,1.34,5,自連買
54	,6213.TW,聯茂,71.9,0.42,941,67.8,6.05,5,自連買
55	,8103.TW,瀚荃,31.9,0,42,31.6,0.95,5,自連買
56	,8213.TW,志超,36.4,0,113,33.55,8.49,5,自連買
57	,8289.TW,泰藝,36.85,-1.47,280,30.4,21.22,5,自連買
58	,8436.TW,大江,174.5,-3.32,9916,111.5,56.5,5,自連買
59	,8454.TW,富邦媒,626,0,570,463.5,35.06,5,自連買
