符合條件商品
資料日期：2022年  8月  1日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:20 符合檔數(25)
1	,2324.TW,仁寶,22.95,0.44,9576,23.1,-0.65,12,自連買
2	,2356.TW,英業達,26,0.19,6530,23.7,9.7,12,自連買
3	,2006.TW,東和鋼鐵,53.2,0.95,1881,52.9,0.57,11,自連買
4	,4938.TW,和碩,64.2,0.31,3317,62.3,3.05,11,自連買
5	,1216.TW,統一,65.9,0,2803,70,-1.99,9,自連買
6	,3036.TW,文曄,62.7,-0.95,1327,70.2,-10.68,9,自連買
7	,5522.TW,遠雄,58.5,0.34,1205,62.6,-3.03,9,自連買
8	,6477.TW,安集,45.15,0.22,708,55.6,-18.79,8,自連買
9	,2301.TW,光寶科,64,-0.47,4678,65,0.68,7,自連買
10	,2441.TW,超豐,48.2,-2.33,4006,63.2,-17.41,7,自連買
11	,3044.TW,健鼎,96,1.59,1391,102,-5.88,7,自連買
12	,1504.TW,東元,27.25,-0.37,1749,29,-6.03,6,自連買
13	,2633.TW,台灣高鐵,28.75,-0.52,2418,29,-0.86,6,自連買
14	,2845.TW,遠東銀,11.1,-0.89,1864,11.4,2.49,6,自連買
15	,2891.TW,中信金,21.9,-1.13,23817,22.95,-4.58,6,自連買
16	,3673.TW,TPK-KY,29.7,-0.34,398,34.75,-14.53,6,自連買
17	,5434.TW,崇越,167.5,0.9,197,158.5,5.68,6,自連買
18	,2347.TW,聯強,61,-0.81,2957,55.8,9.32,5,自連買
19	,2520.TW,冠德,28.65,0.7,326,27.8,3.06,5,自連買
20	,2849.TW,安泰銀,14.6,0,89,14.4,1.39,5,自連買
21	,3038.TW,全台,20.35,-1.21,720,22.15,-8.13,5,自連買
22	,3265.TW,台星科,46.95,-2.09,1946,47.5,-1.16,5,自連買
23	,6282.TW,康舒,30.4,0.83,1860,31.95,-4.85,5,自連買
24	,6605.TW,帝寶,70.5,-0.98,237,74.9,-5.87,5,自連買
25	,8155.TW,博智,108,-1.37,385,108.5,-0.46,5,自連買
