符合條件商品
資料日期：2022年  8月  4日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/04),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:20 符合檔數(17)
1	,2324.TW,仁寶,22.95,0.44,9576,22.85,0.44,15,自連買
2	,2356.TW,英業達,26,0.19,6530,24.05,8.11,15,自連買
3	,2006.TW,東和鋼鐵,53.2,0.95,1881,51.6,3.1,14,自連買
4	,4938.TW,和碩,64.2,0.31,3317,63,1.9,14,自連買
5	,3036.TW,文曄,62.7,-0.95,1327,68.5,-8.47,12,自連買
6	,5522.TW,遠雄,58.5,0.34,1205,64,-5.16,12,自連買
7	,2301.TW,光寶科,64,-0.47,4678,65.8,-0.54,10,自連買
8	,2441.TW,超豐,48.2,-2.33,4006,61.8,-15.54,10,自連買
9	,3044.TW,健鼎,96,1.59,1391,99.8,-3.81,10,自連買
10	,2347.TW,聯強,61,-0.81,2957,54.5,11.93,8,自連買
11	,2354.TW,鴻準,51.4,-1.15,1092,47.95,7.19,7,自連買
12	,6121.TW,新普,288.5,-0.35,276,256,18.01,6,自連買
13	,6416.TW,瑞祺電通,90,0.22,41,86.7,6.01,6,自連買
14	,1476.TW,儒鴻,492.5,1.23,1098,418,17.82,5,自連買
15	,1720.TW,生達,59.1,0.17,11057,46,28.48,5,自連買
16	,6770.TW,力積電,33.3,-0.3,10173,33.8,0.6,5,自連買
17	,6789.TW,采鈺,201.5,1.77,576,309.5,-34.89,5,自連買
