符合條件商品
資料日期：2021年 11月  2日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:12 符合檔數(34)
1	,1101.TW,台泥,34.05,-1.16,23484,48.15,-20.29,20,自連買
2	,1434.TW,福懋,26.3,-0.19,479,30.2,-9.5,20,自連買
3	,2108.TW,南帝,38.2,-0.26,608,81.6,-48.2,20,自連買
4	,2301.TW,光寶科,64,-0.47,4678,61,11.19,20,自連買
5	,2324.TW,仁寶,22.95,0.44,9576,24.2,2.96,20,自連買
6	,2356.TW,英業達,26,0.19,6530,26.6,3.79,20,自連買
7	,2385.TW,群光,87.2,0.11,1118,80,17.46,20,自連買
8	,2404.TW,漢唐,182,-2.41,755,182,8.39,20,自連買
9	,2441.TW,超豐,48.2,-2.33,4006,78,-33.08,20,自連買
10	,2449.TW,京元電子,36.4,-1.75,4505,39.8,-1.25,20,自連買
11	,2542.TW,興富發,40.35,-3.93,8630,44.7,8.41,20,自連買
12	,2809.TW,京城銀,33.9,-3.42,3989,41.15,-12.85,20,自連買
13	,3044.TW,健鼎,96,1.59,1391,115.5,-11.06,20,自連買
14	,3231.TW,緯創,29.9,-0.83,12268,29.2,11.78,20,自連買
15	,3702.TW,大聯大,47.8,-0.52,2583,52,-1.54,20,自連買
16	,5522.TW,遠雄,58.5,0.34,1205,68.8,-5.32,20,自連買
17	,6176.TW,瑞儀,106,0.47,1064,96.1,20.15,20,自連買
18	,2382.TW,廣達,71.2,-0.97,4354,79.2,-2.49,16,自連買
19	,2883.TW,開發金,12.7,-0.78,8936,14.15,-3.5,9,自連買
20	,6170.TW,統振,35.15,-0.42,38,53,-29.26,8,自連買
21	,3624.TW,光頡,40.35,0.62,414,40.4,4.13,7,自連買
22	,6679.TW,鈺太,229,0.44,465,310,-24.37,7,自連買
23	,2059.TW,川湖,395,-0.63,106,413,-2.06,6,自連買
24	,3587.TW,閎康,165,3.13,1620,140,22.08,6,自連買
25	,8070.TW,長華*,30.65,-0.16,272,33.8,-1.83,6,自連買
26	,2308.TW,台達電,281,-1.92,5149,252,14.17,5,自連買
27	,2371.TW,大同,33.7,0,4072,33.55,0.45,5,自連買
28	,2610.TW,華航,19,-1.55,26392,18.95,3.94,5,自連買
29	,2618.TW,長榮航,28.1,-2.09,27994,20.5,39.73,5,自連買
30	,2887.TW,台新金,15.2,0,6593,18.15,-8.93,5,自連買
31	,4142.TW,國光生,36.45,0.83,953,44.5,-18.09,5,自連買
32	,6244.TW,茂迪,28.35,0,3256,32.95,-13.33,5,自連買
33	,6279.TW,胡連,149.5,-1.64,1303,128.5,20.05,5,自連買
34	,6488.TW,環球晶,435.5,-2.57,2065,771,-41.93,5,自連買
