符合條件商品
資料日期：2022年  3月  4日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/04),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:55 符合檔數(21)
1	,2882.TW,國泰金,41.15,1.86,33982,61.2,-27.67,10,自連買
2	,8112.TW,至上,36.05,0.7,471,54,-25.55,10,自連買
3	,2809.TW,京城銀,33.9,-3.42,3989,40.15,-10.67,7,自連買
4	,3005.TW,神基,43.55,0.35,857,58.4,-20.38,7,自連買
5	,5871.TW,中租-KY,216.5,0.46,2711,251,-6.95,7,自連買
6	,5880.TW,合庫金,25.95,-0.76,4866,26.8,3.35,7,自連買
7	,1442.TW,名軒,37.2,1.5,752,23.4,67.79,6,自連買
8	,5457.TW,宣德,49.5,-0.2,374,64.8,-19.68,6,自連買
9	,2009.TW,第一銅,31.95,0.79,2420,51,-34.92,5,自連買
10	,2027.TW,大成鋼,43.15,-1.93,15303,53.3,-13.94,5,自連買
11	,2379.TW,瑞昱,289,-0.52,1352,466.5,-32.56,5,自連買
12	,2420.TW,新巨,39.45,0,40,42.5,-0.38,5,自連買
13	,2497.TW,怡利電,72.9,-0.82,961,106.5,-31.55,5,自連買
14	,3048.TW,益登,26.95,-0.92,355,38.25,-20.76,5,自連買
15	,3605.TW,宏致,32,-1.23,111,52.3,-36.39,5,自連買
16	,4540.TW,全球傳動,36.4,-0.41,42,48.8,-23.27,5,自連買
17	,5425.TW,台半,75.3,0,4216,71,9.45,5,自連買
18	,6134.TW,萬旭,21.45,-0.69,109,26.65,-19.15,5,自連買
19	,6510.TW,精測,490.5,-1.21,161,631,-19.37,5,自連買
20	,6712.TW,長聖,205.5,0.49,967,203,14.21,5,自連買
21	,9939.TW,宏全,86.9,2.12,1021,77.7,18.75,5,自連買
