符合條件商品
資料日期：2021年 12月  2日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 15:09 符合檔數(11)
1	,2385.TW,群光,87.2,0.11,1118,80.9,16.16,8,自連買
2	,1907.TW,永豐餘,24.45,-1.21,810,34.4,-24.23,7,自連買
3	,2357.TW,華碩,271,-1.63,1392,363.5,-14.14,7,自連買
4	,3545.TW,敦泰,59.4,2.24,1934,166.5,-57.34,7,自連買
5	,5871.TW,中租-KY,216.5,0.46,2711,253.5,-7.86,7,自連買
6	,3090.TW,日電貿,53,-0.38,169,55.2,4.62,5,自連買
7	,5234.TW,達興材料,67.2,0.15,91,116,-38.13,5,自連買
8	,5274.TW,信驊,1830,0.83,312,3250,-37.13,5,自連買
9	,6141.TW,柏承,19.2,-1.03,131,26.65,-29.52,5,自連買
10	,6239.TW,力成,81.3,0.62,1926,98.1,-10.38,5,自連買
11	,6790.TW,永豐實,35.4,-0.56,63,49,-21.92,5,自連買
