符合條件商品
資料日期：2022年  5月  9日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:04 符合檔數(13)
1	,1102.TW,亞泥,41.55,0.24,6062,46.3,-2.83,15,自連買
2	,3702.TW,大聯大,47.8,-0.52,2583,53,-3.41,15,自連買
3	,2441.TW,超豐,48.2,-2.33,4006,69.4,-24.79,13,自連買
4	,2356.TW,英業達,26,0.19,6530,25.85,6.82,11,自連買
5	,4938.TW,和碩,64.2,0.31,3317,69.4,0,11,自連買
6	,2357.TW,華碩,271,-1.63,1392,356.5,-12.46,10,自連買
7	,2382.TW,廣達,71.2,-0.97,4354,84.9,-9.04,10,自連買
8	,3044.TW,健鼎,96,1.59,1391,122,-15.8,10,自連買
9	,3416.TW,融程電,83,0.36,22,76.7,14.86,8,自連買
10	,2809.TW,京城銀,33.9,-3.42,3989,37.6,-4.61,5,自連買
11	,3339.TW,泰谷,12.85,0,83,15.35,-16.29,5,自連買
12	,6176.TW,瑞儀,106,0.47,1064,102,13.2,5,自連買
13	,6670.TW,復盛應用,213,-0.7,244,212.5,6.88,5,自連買
