符合條件商品
資料日期：2022年  3月 15日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:44 符合檔數(18)
1	,8112.TW,至上,36.05,0.7,471,51.1,-21.32,17,自連買
2	,2885.TW,元大金,21.8,-0.91,10786,24.65,-2.64,8,自連買
3	,4958.TW,臻鼎-KY,108,-1.37,2633,92.9,21.73,8,自連買
4	,2108.TW,南帝,38.2,-0.26,608,81.4,-48.07,7,自連買
5	,1529.TW,樂事綠能,19.3,-1.28,1172,22.35,-6.58,6,自連買
6	,2317.TW,鴻海,101,0,15490,101,5.15,6,自連買
7	,2330.TW,台積電,455,-2.78,26724,558,-16.66,6,自連買
8	,2338.TW,光罩,86.3,0.94,3470,90.2,-1.81,6,自連買
9	,2891.TW,中信金,21.9,-1.13,23817,26.6,-13.03,6,自連買
10	,2017.TW,官田鋼,14.2,-1.05,653,19.1,-17.54,5,自連買
11	,2455.TW,全新,67,0,1464,113,-37.65,5,自連買
12	,2498.TW,宏達電,55,-0.72,14502,55.6,-1.08,5,自連買
13	,2610.TW,華航,19,-1.55,26392,26.3,-25.08,5,自連買
14	,2615.TW,萬海,86.2,-1.15,55180,172.5,-37.53,5,自連買
15	,3596.TW,智易,98.3,-0.2,490,112.5,-6.83,5,自連買
16	,5289.TW,宜鼎,181.5,-1.36,100,201.5,-0.79,5,自連買
17	,6477.TW,安集,45.15,0.22,708,56.9,-19.73,5,自連買
18	,6547.TW,高端疫苗,71.1,0.28,1683,247,-57.32,5,自連買
