符合條件商品
資料日期：2022年  7月 26日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/26),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:24 符合檔數(19)
1	,2385.TW,群光,87.2,0.11,1118,77.5,12.52,20,自連買
2	,3231.TW,緯創,29.9,-0.83,12268,25.4,17.72,19,自連買
3	,2357.TW,華碩,271,-1.63,1392,323,-3.38,14,自連買
4	,2312.TW,金寶,13.65,-1.09,2439,12.8,8.33,10,自連買
5	,4736.TW,泰博,186,-0.53,4377,203,-0.83,10,自連買
6	,4157.TW,太景*-KY,16.15,-1.52,3200,20.9,-22.73,9,自連買
7	,2324.TW,仁寶,22.95,0.44,9576,22.6,1.55,8,自連買
8	,2356.TW,英業達,26,0.19,6530,23,13.04,8,自連買
9	,2006.TW,東和鋼鐵,53.2,0.95,1881,50.2,5.98,7,自連買
10	,2884.TW,玉山金,24.1,-1.03,10272,29.2,-9.84,7,自連買
11	,4938.TW,和碩,64.2,0.31,3317,60.8,5.59,7,自連買
12	,2605.TW,新興,20.65,-3.5,6563,23.6,-12.5,6,自連買
13	,3645.TW,達邁,32.55,-1.21,101,38.95,-16.43,6,自連買
14	,4746.TW,台耀,73.1,-2.79,13002,48.4,57.54,6,自連買
15	,1216.TW,統一,65.9,0,2803,70.5,-2.69,5,自連買
16	,2888.TW,新光金,8.75,-0.57,13386,8.52,2.7,5,自連買
17	,3036.TW,文曄,62.7,-0.95,1327,67.8,-7.52,5,自連買
18	,5522.TW,遠雄,58.5,0.34,1205,60.9,-0.32,5,自連買
19	,6171.TW,大城地產,24.15,-0.41,6,28.85,1.6,5,自連買
