符合條件商品
資料日期：2022年 11月 14日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 13:04 符合檔數(18)
1	,1312.TW,國喬,18.95,1.07,4063,17.8,6.46,20,自連買
2	,1513.TW,中興電,66,0.15,12515,52.5,25.71,8,自連買
3	,4915.TW,致伸,55.1,-0.9,3460,55.6,-0.9,7,自連買
4	,8076.TW,伍豐,28.15,-0.35,431,28.05,0.36,7,自連買
5	,3059.TW,華晶科,33.4,-0.45,748,35.7,-6.44,6,自連買
6	,3260.TW,威剛,57.6,-0.17,970,59.7,-3.52,6,自連買
7	,4162.TW,智擎,118.5,-2.07,10092,125.5,-5.58,6,自連買
8	,4739.TW,康普,94.9,-1.15,795,97.8,-2.97,6,自連買
9	,5269.TW,祥碩,717,0.14,564,713,0.56,6,自連買
10	,6285.TW,啟碁,80.8,-2.3,4232,82.4,-1.94,6,自連買
11	,6290.TW,良維,54,-0.18,323,56.1,-3.74,6,自連買
12	,1909.TW,榮成,15.55,-0.32,1849,16.55,-6.04,5,自連買
13	,3016.TW,嘉晶,71.2,0.28,652,76.2,-6.56,5,自連買
14	,3207.TW,耀勝,49.55,-0.9,801,49.2,0.71,5,自連買
15	,3317.TW,尼克森,54.9,-0.18,176,52.1,5.37,5,自連買
16	,3454.TW,晶睿,207.5,1.22,7571,170,22.06,5,自連買
17	,3707.TW,漢磊,86.9,0,3034,95.3,-8.81,5,自連買
18	,6834.TW,天二科技,25.1,-1.38,20,24.85,1.01,5,自連買
