符合條件商品
資料日期：2022年  6月  7日
策略,	007自營商5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/07),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 14:00 符合檔數(31)
1	,1312.TW,國喬,18.95,1.07,4063,24.5,-14.33,20,自連買
2	,2347.TW,聯強,61,-0.81,2957,69.6,-5.63,20,自連買
3	,4938.TW,和碩,64.2,0.31,3317,69.2,0.28,20,自連買
4	,2357.TW,華碩,271,-1.63,1392,339,-7.94,17,自連買
5	,2317.TW,鴻海,101,0,15490,113.5,-6.42,12,自連買
6	,2891.TW,中信金,21.9,-1.13,23817,26.55,-12.85,12,自連買
7	,1476.TW,儒鴻,492.5,1.23,1098,507,0.07,11,自連買
8	,5522.TW,遠雄,58.5,0.34,1205,66.9,-2.65,11,自連買
9	,1457.TW,宜進,18.7,-0.53,210,19.5,1.63,10,自連買
10	,1303.TW,南亞,70.3,-1.54,4616,84.3,-8.06,9,自連買
11	,1402.TW,遠東新,31.55,-4.39,10632,30.7,7.86,9,自連買
12	,2454.TW,聯發科,660,-0.15,2431,890,-18.47,9,自連買
13	,2850.TW,新產,48.8,0.21,121,54.9,-5.44,9,自連買
14	,4438.TW,廣越,119.5,-1.24,47,114,8.34,9,自連買
15	,4904.TW,遠傳,65.7,-0.3,2525,81,-15.59,9,自連買
16	,5434.TW,崇越,167.5,0.9,197,166.5,6.23,9,自連買
17	,8131.TW,福懋科,38.4,-0.78,269,41.35,-0.65,9,自連買
18	,4739.TW,康普,94.9,-1.15,795,136.5,-28.76,7,自連買
19	,2548.TW,華固,88,-0.34,174,95.7,-0.03,6,自連買
20	,5222.TW,全訊,134.5,-2.18,132,139.5,-3.58,6,自連買
21	,5607.TW,遠雄港,50.7,-0.39,436,50.5,3.72,6,自連買
22	,6175.TW,立敦,32.3,-0.77,206,39.9,-15.13,6,自連買
23	,2065.TW,世豐,50.9,-0.2,24,47.1,11.23,5,自連買
24	,2383.TW,台光電,176.5,-0.84,2034,232.5,-19.43,5,自連買
25	,2515.TW,中工,8.25,-0.48,1107,9.22,-4.84,5,自連買
26	,4167.TW,松瑞藥,26.55,1.53,84752,16.75,58.51,5,自連買
27	,4916.TW,事欣科,26.45,0.38,478,25.4,6.14,5,自連買
28	,5009.TW,榮剛,37.5,-0.66,11974,29.8,25.84,5,自連買
29	,6156.TW,松上,19.85,0.76,109,19,7.88,5,自連買
30	,6279.TW,胡連,149.5,-1.64,1303,127,21.47,5,自連買
31	,8171.TW,天宇,48.7,1.67,1417,50.4,-3.37,5,自連買
