符合條件商品
資料日期：2022年  8月 11日
策略,	00買7654321
序號,	代碼,	商品,	成交,	漲幅%,	總量,	本比,	準確度
執行時間：2022-08-11 22:37 符合檔數(1442)
111	,2609.TW,陽明,91,-0.11,34362,37,外
112	,2636.TW,台驊投控,88.4,0.8,1202,37,自
113	,3443.TW,創意,540,3.45,6009,37,外
114	,4513.TW,福裕,23.9,1.49,1194,37,外
115	,2610.TW,華航,21.95,0.69,32261,36,外
116	,3163.TW,波若威,59.1,-1.5,24401,36,外
117	,3689.TW,湧德,37.65,0.53,433,36,融
118	,3545.TW,敦泰,70.8,0.28,5185,35,外
119	,4162.TW,智擎,87.5,1.39,2337,35,外
120	,2014.TW,中鴻,25.2,0,10476,34,外
121	,2351.TW,順德,115.5,3.13,2455,34,自
122	,2736.TW,富野,26,-1.33,3141,34,外
123	,3665.TW,貿聯-KY,311,-1.43,2339,34,外
124	,6271.TW,同欣電,193.5,2.93,1807,34,自
125	,6509.TW,聚和,41.7,-0.24,2030,34,自
126	,1529.TW,樂士,16.75,-0.59,544,33,外
127	,1605.TW,華新,32.25,1.9,23875,33,外
128	,2637.TW,慧洋-KY,66.9,0,4797,33,自
129	,6133.TW,金橋,22.5,5.39,40996,33,外
130	,6187.TW,萬潤,73.3,1.24,375,33,外
131	,6438.TW,迅得,91.5,2.46,273,33,外
132	,6508.TW,惠光,44.85,1.47,2173,33,外
133	,8069.TW,元太,197,0.25,14302,33,外
134	,1513.TW,中興電,62.9,2.28,32860,32,自
135	,2359.TW,所羅門,27.7,-6.1,27563,32,投
136	,6190.TW,萬泰科,38.65,1.18,10225,32,融
137	,8114.TW,振樺電,155.5,0,4173,32,外
138	,3552.TW,同致,150,0,1224,31,自
139	,3653.TW,健策,373.5,-0.93,1711,31,外
140	,6125.TW,廣運,29.85,1.02,5960,31,自
141	,6265.TW,方土昶,12.85,-2.65,7267,31,外
142	,6282.TW,康舒,30.3,0,2826,31,自
143	,6679.TW,鈺太,232,1.75,459,31,外
144	,8103.TW,瀚荃,38.05,-3.55,1522,31,外
145	,2484.TW,希華,40.8,0.62,7491,30,外
146	,2884.TW,玉山金,28.5,1.24,18173,30,投
147	,3217.TW,優群,69.3,1.32,178,30,融
148	,5321.TW,美而快,80.9,3.32,212,30,外
149	,2457.TW,飛宏,37.9,-0.92,8241,29,融
150	,3374.TW,精材,120.5,0,3902,29,自
151	,3499.TW,環天科,18.65,-2.36,843,29,融
152	,3526.TW,凡甲,144.5,0.35,148,29,外
153	,3702.TW,大聯大,51.4,0.59,2348,29,外
154	,5272.TW,笙科,32.3,0.31,532,29,外
155	,6278.TW,台表科,100,6.95,11190,29,自
156	,8104.TW,錸寶,41.25,3.64,1289,29,投
157	,8478.TW,東哥遊艇,213.5,1.18,10476,29,投
158	,2606.TW,裕民,42.05,1.33,3350,28,外
159	,3260.TW,威剛,58.5,2.27,1262,28,自
160	,3481.TW,群創,11.3,4.15,108244,28,外
161	,3504.TW,揚明光,99.7,0.71,17766,28,自
162	,3515.TW,華擎,95.1,1.06,469,28,自
163	,3714.TW,富采,49.1,3.15,4578,28,自
164	,4906.TW,正文,29.1,-1.36,2865,28,自
165	,5608.TW,四維航,31.3,0.16,2671,28,投
166	,6533.TW,晶心科,267,6.59,3138,28,自
167	,8054.TW,安國,37.6,0,813,28,外
168	,9802.TW,鈺齊-KY,162,1.25,2687,28,外
169	,1611.TW,中電,17.45,0.87,1503,27,投
170	,2358.TW,廷鑫,14.25,-0.7,914,27,外
171	,2892.TW,第一金,26.8,1.9,15283,27,融
172	,3034.TW,聯詠,257.5,4.89,7726,27,自
173	,3037.TW,欣興,152.5,1.67,28893,27,融
174	,3317.TW,尼克森,62.5,1.13,565,27,自
175	,3527.TW,聚積,117,9.86,1676,27,自
176	,4736.TW,泰博,194,3.19,1562,27,外
177	,2305.TW,全友,25.95,-9.9,3350,26,外
178	,2342.TW,茂矽,39.65,0.13,1370,26,外
179	,2906.TW,高林,19.1,-0.26,1156,26,投
180	,3305.TW,昇貿,54.4,1.12,731,26,自
181	,3533.TW,嘉澤,673,1.05,320,26,自
182	,3583.TW,辛耘,72,1.27,530,26,融
183	,4958.TW,臻鼎-KY,118,0,11518,26,自
184	,6285.TW,啟碁,81.5,-0.85,14247,26,自
185	,6494.TW,九齊,74.9,2.32,196,26,外
186	,8299.TW,群聯,302.5,3.6,1881,26,自
187	,1402.TW,遠東新,30.1,0.84,6505,25,外
188	,1539.TW,巨庭,32.5,7.97,4235,25,外
189	,2337.TW,旺宏,32.75,5.14,15407,25,自
190	,2353.TW,宏碁,21.95,0.92,11766,25,外
191	,2388.TW,威盛,81.1,0.37,5895,25,自
192	,2406.TW,國碩,21.35,-0.23,2546,25,外
193	,2641.TW,正德,21.1,-5.17,8644,25,外
194	,2886.TW,兆豐金,35.8,2.5,41978,25,融
195	,3047.TW,訊舟,16.6,2.47,68256,25,投
196	,4961.TW,天鈺,107,1.9,2636,25,外
197	,4967.TW,十銓,29.55,3.32,1034,25,外
198	,6223.TW,旺矽,94.3,0.86,3904,25,融
199	,6243.TW,迅杰,31,0.49,135,25,融
200	,9958.TW,世紀鋼,99.1,-1.88,1766,25,外
201	,2634.TW,漢翔,36.8,0.14,5574,24,外
202	,3322.TW,建舜電,17.75,-0.28,336,24,自
203	,4121.TW,優盛,20.55,0.74,738,24,外
204	,4904.TW,遠傳,78.2,1.16,4609,24,外
205	,5880.TW,合庫金,27.45,0.92,16909,24,外
206	,6122.TW,擎邦,18.95,-5.49,2157,24,外
207	,2006.TW,東和鋼鐵,53,2.32,1503,23,外
208	,2364.TW,倫飛,70.2,9.86,3785,23,融
209	,2476.TW,鉅祥,54,4.41,10120,23,自
210	,3520.TW,華盈,18,-2.44,4586,23,外
211	,4551.TW,智伸科,161,-0.92,1581,23,外
212	,6134.TW,萬旭,23.85,-0.62,693,23,外
213	,6414.TW,樺漢,242.5,1.89,4667,23,投
214	,6756.TW,威鋒電子,226.5,2.49,609,23,自
215	,8289.TW,泰藝,37.55,2.46,1070,23,外
216	,1319.TW,東陽,47.55,-3.16,15369,22,外
217	,1522.TW,堤維西,30.05,-4.6,28417,22,外
218	,2030.TW,彰源,24.3,2.53,8725,22,外
219	,2347.TW,聯強,55,0.55,3720,22,外
220	,2412.TW,中華電,125,2.04,15505,22,外
221	,2611.TW,志信,17.9,-1.1,627,22,外
222	,2801.TW,彰銀,17.85,1.86,17083,22,外
223	,3532.TW,台勝科,173,6.79,9331,22,融
224	,3672.TW,康聯訊,34,-3.68,86,22,外
225	,5245.TW,智晶,62.8,-0.48,560,22,外
226	,6266.TW,泰詠,26.65,1.14,6404,22,外
227	,8044.TW,網家,58.3,-0.51,562,22,自
228	,2409.TW,友達,15.3,6.62,114017,21,自
229	,2449.TW,京元電子,37.2,1.5,9211,21,自
230	,2880.TW,華南金,23.4,2.65,30400,21,外
231	,3045.TW,台灣大,101.5,-0.49,3623,21,自
232	,3363.TW,上詮,25.4,-4.15,1309,21,外
233	,5876.TW,上海商銀,53,0.38,2431,21,外
234	,6129.TW,普誠,38.8,0,14454,21,投
235	,6164.TW,華興,12.05,0.84,786,21,外
236	,6461.TW,益得,30.4,-3.65,4584,21,外
237	,8050.TW,廣積,69.9,2.79,10793,21,投
238	,8358.TW,金居,41.95,0.12,2710,21,外
239	,1101.TW,台泥,39.35,1.55,21760,20,外
240	,1453.TW,大將,24.4,9.91,19862,20,融
241	,1570.TW,力肯,17.35,0,354,20,外
242	,1709.TW,和益,25.05,0.6,1672,20,自
243	,2344.TW,華邦電,21.3,2.65,21092,20,自
244	,2374.TW,佳能,25.3,0.8,4580,20,投
245	,3050.TW,鈺德,16.45,0.92,149,20,外
246	,3094.TW,聯傑,27.15,1.69,426,20,投
247	,3419.TW,譁裕,18.3,3.1,10058,20,外
248	,3556.TW,禾瑞亞,61.2,0.82,157,20,外
249	,3680.TW,家登,243,-0.41,1503,20,自
250	,5483.TW,中美晶,161,2.88,10833,20,自
251	,6143.TW,振曜,55.6,9.88,4026,20,外
252	,8016.TW,矽創,168.5,3.37,1844,20,自
253	,8040.TW,九暘,45.2,-0.33,673,20,自
254	,3003.TW,健和興,83.4,2.21,3082,19,外
255	,3128.TW,昇銳,19.6,0.51,325,19,外
256	,3444.TW,利機,55.6,0,161,19,外
257	,3483.TW,力致,59.6,3.11,498,19,自
258	,5299.TW,杰力,120.5,2.55,351,19,外
259	,5603.TW,陸海,39.4,0.38,225,19,外
260	,6196.TW,帆宣,114.5,1.33,558,19,外
261	,6245.TW,立端,72.7,3.41,8417,19,外
262	,8450.TW,霹靂,36.3,2.54,3038,19,外
263	,9962.TW,有益,15.55,1.97,500,19,外
264	,1514.TW,亞力,32,-0.31,2557,18,外
265	,1516.TW,川飛,24.05,0,47,18,外
266	,2027.TW,大成鋼,35.7,1.42,7012,18,外
267	,2031.TW,新光鋼,36.8,2.22,1620,18,自
268	,2312.TW,金寶,13,0.39,5013,18,外
269	,2323.TW,中環,7.66,0.52,6959,18,外
270	,2371.TW,大同,33.45,1.06,5413,18,外
271	,3036.TW,文曄,64.1,0.16,2623,18,投
272	,3701.TW,大眾控,42.35,0.12,487,18,自
273	,4979.TW,華星光,36.05,3,6656,18,投
274	,6415.TW,矽力*-KY,588,4.63,2034,18,外
275	,6578.TW,達邦蛋白,16.95,1.19,351,18,外
276	,8112.TW,至上,37.75,1.75,1686,18,外
277	,8222.TW,寶一,22.4,-1.32,3086,18,外
278	,8431.TW,匯鑽科,55.7,0,111,18,投
279	,1711.TW,永光,20.25,1.25,1803,17,自
280	,2013.TW,中鋼構,58.5,0.17,263,17,融
281	,2032.TW,新鋼,18.6,0.54,341,17,外
282	,2399.TW,映泰,15.4,0.65,1441,17,外
283	,2613.TW,中櫃,26.3,0,291,17,外
284	,2834.TW,臺企銀,12.95,3.19,66687,17,外
285	,2888.TW,新光金,8.99,2.16,61048,17,外
286	,3014.TW,聯陽,66.6,1.52,429,17,自
287	,3016.TW,嘉晶,83.6,1.7,2474,17,自
288	,3033.TW,威健,26.45,2.12,2554,17,外
289	,3042.TW,晶技,88.5,0.8,1858,17,投
290	,3413.TW,京鼎,203,1.5,389,17,自
291	,3466.TW,致振,24.65,-2.95,286,17,外
292	,4908.TW,前鼎,37.4,-1.06,3222,17,外
293	,4960.TW,誠美材,9.76,1.77,2687,17,外
294	,6231.TW,系微,72,-1.91,261,17,外
295	,6667.TW,信紘科,71,4.41,506,17,外
296	,8111.TW,立碁,16.85,0.3,254,17,外
297	,8215.TW,明基材,30.2,-0.49,1464,17,自
298	,8421.TW,旭源,16.8,-1.75,1045,17,外
299	,9939.TW,宏全,73.9,0.14,1093,17,外
300	,1712.TW,興農,35.55,0.14,2095,16,自
301	,2426.TW,鼎元,19.25,0.26,636,16,外
302	,2458.TW,義隆,99.2,1.43,1342,16,外
303	,2605.TW,新興,22.4,-1.54,3253,16,自
304	,3228.TW,金麗科,333.5,0.3,2324,16,融
305	,3529.TW,力旺,1230,9.82,1909,16,融
306	,3587.TW,閎康,120,2.13,191,16,外
307	,4432.TW,銘旺實,26.25,-0.94,3260,16,外
308	,5014.TW,建錩,18.2,1.39,1618,16,外
309	,6275.TW,元山,30.15,0.67,268,16,外
310	,6290.TW,良維,55.7,-2.45,4336,16,投
311	,6472.TW,保瑞,256.5,8.46,3863,16,外
312	,6514.TW,芮特-KY,66.3,1.53,144,16,投
313	,6591.TW,動力-KY,44.6,0.56,93,16,外
314	,6603.TW,富強鑫,17.4,2.05,1631,16,外
315	,6781.TW,AES-KY,963,2.88,1023,16,自
316	,8091.TW,翔名,73.8,0.27,231,16,外
317	,8150.TW,南茂,35.7,1.71,2875,16,外
318	,8201.TW,無敵,12.5,-1.19,569,16,外
319	,8928.TW,鉅明,39.25,-1.01,505,16,投
320	,9955.TW,佳龍,21.4,-1.83,1615,16,融
321	,1325.TW,恆大,24.9,1.22,127,15,外
322	,1591.TW,駿吉-KY,19.6,3.16,547,15,融
323	,2038.TW,海光,21.7,1.4,569,15,自
324	,2105.TW,正新,34.75,0.72,5871,15,外
325	,2383.TW,台光電,166.5,3.1,2948,15,投
326	,2421.TW,建準,43.25,-0.69,1541,15,外
327	,2486.TW,一詮,25.25,0.4,743,15,自
328	,2615.TW,萬海,103,0,12545,15,外
329	,3092.TW,鴻碩,41.5,1.84,1142,15,投
330	,3105.TW,穩懋,167.5,3.4,3237,15,自
331	,3231.TW,緯創,28.4,0.89,14392,15,外
332	,3290.TW,東浦,21.3,0.47,159,15,外
333	,3338.TW,泰碩,41,0,234,15,投
334	,3551.TW,世禾,57.9,0.87,100,15,外
335	,5285.TW,界霖,84.5,3.05,711,15,自
336	,6111.TW,大宇資,82,-2.61,1220,15,自
337	,6158.TW,禾昌,28.3,0.53,17,15,自
338	,6469.TW,大樹,282.5,1.8,1806,15,外
339	,8034.TW,榮群,15.65,-1.26,209,15,外
340	,1308.TW,亞聚,27.2,0.74,1317,14,自
341	,1533.TW,車王電,58.8,-0.34,538,14,外
342	,1609.TW,大亞,22.1,-0.67,3498,14,外
343	,1722.TW,台肥,65.5,0.77,1908,14,自
344	,2317.TW,鴻海,113,2.73,62481,14,外
345	,2377.TW,微星,114,0,5085,14,自
346	,2474.TW,可成,176,0.28,2204,14,融
347	,2642.TW,宅配通,52.2,1.56,221,14,外
348	,2845.TW,遠東銀,11.85,1.28,10648,14,外
349	,2883.TW,開發金,13.9,2.58,64861,14,外
350	,2887.TW,台新金,16.9,2.74,41824,14,外
351	,3138.TW,耀登,122,-0.41,237,14,外
352	,3592.TW,瑞鼎,261,2.96,903,14,融
353	,3704.TW,合勤控,29.15,0.69,3995,14,自
354	,4702.TW,中美實,13.45,-2.18,1061,14,外
355	,4916.TW,事欣科,26.5,-3.46,3570,14,外
356	,4971.TW,IET-KY,70.8,1.29,85,14,外
357	,6770.TW,力積電,33.85,1.8,60070,14,自
358	,8096.TW,擎亞,13.2,-0.75,764,14,自
359	,1303.TW,南亞,68.9,1.77,6055,13,外
360	,1477.TW,聚陽,178.5,9.85,9855,13,外
361	,1584.TW,精剛,21.6,-2.04,3095,13,外
362	,2230.TW,泰茂,19.5,1.56,592,13,融
363	,2327.TW,國巨,326.5,2.35,2600,13,自
364	,2369.TW,菱生,15.4,1.99,1635,13,外
365	,2442.TW,新美齊,12.55,0.8,508,13,融
366	,2607.TW,榮運,30.2,1.17,9204,13,自
367	,3205.TW,佰研,53.6,1.9,1162,13,外
368	,3211.TW,順達,77.9,0.91,401,13,自
369	,3293.TW,鈊象,411,1.99,1890,13,自
370	,3294.TW,英濟,20.55,0,734,13,外
371	,3354.TW,律勝,17.35,-2.25,349,13,外
372	,3490.TW,單井,23.4,0,129,13,融
373	,3691.TW,碩禾,153,1.32,326,13,外
374	,4714.TW,永捷,12.6,-0.79,231,13,外
375	,4952.TW,凌通,57.2,1.24,658,13,外
376	,5371.TW,中光電,63.9,9.98,6173,13,自
377	,5434.TW,崇越,164,2.18,499,13,自
378	,5609.TW,中菲行,84,-0.12,1181,13,自
379	,6170.TW,統振,28.4,0.71,178,13,外
380	,6229.TW,研通,28.8,-0.17,145,13,融
381	,6239.TW,力成,86.5,1.17,1623,13,融
382	,6418.TW,詠昇,16,-1.54,142,13,外
383	,6491.TW,晶碩,401.5,-0.74,403,13,自
384	,6788.TW,華景電,103,2.49,242,13,外
385	,8046.TW,南電,254,3.46,12487,13,自
386	,8081.TW,致新,142.5,4.78,466,13,外
387	,1612.TW,宏泰,16.75,1.21,732,12,自
388	,1734.TW,杏輝,28.55,0,517,12,投
389	,2069.TW,運錩,22.05,0.92,923,12,外
390	,2201.TW,裕隆,41.8,-0.36,4008,12,外
391	,2303.TW,聯電,41.7,3.47,84716,12,自
392	,2393.TW,億光,39.65,3.93,2563,12,外
393	,2401.TW,凌陽,27.3,-1.8,4744,12,外
394	,2404.TW,漢唐,158,2.93,530,12,外
395	,2812.TW,台中銀,13.7,1.48,4218,12,外
396	,2820.TW,華票,16,0.31,888,12,融
397	,2890.TW,永豐金,17.2,1.78,23655,12,外
398	,3019.TW,亞光,65.3,0.62,4630,12,自
399	,3044.TW,健鼎,103,0.49,1025,12,外
400	,3265.TW,台星科,44.2,1.73,1756,12,融
401	,3312.TW,弘憶股,18.4,1.1,532,12,外
402	,3390.TW,旭軟,24.65,4.67,7287,12,外
403	,3441.TW,聯一光,44.15,-2.54,13980,12,外
404	,3530.TW,晶相光,87.7,0.69,125,12,外
405	,4543.TW,萬在,29.15,1.92,6215,12,外
406	,4572.TW,駐龍,116,-9.02,1917,12,外
407	,5222.TW,全訊,126.5,0,149,12,外
408	,5269.TW,祥碩,909,0.11,672,12,自
409	,5353.TW,台林,29.6,0.34,11196,12,外
410	,6116.TW,彩晶,10.45,2.45,21122,12,外
411	,6147.TW,頎邦,55.4,0.54,2366,12,外
412	,6174.TW,安碁,27.55,-2.82,677,12,外
413	,6244.TW,茂迪,28.5,0.71,1663,12,自
414	,6257.TW,矽格,50.3,1.41,3115,12,外
415	,6510.TW,精測,432,2.25,164,12,自
416	,8182.TW,加高,37.05,2.63,242,12,外
417	,8938.TW,明安,89.7,0,820,12,投
418	,1102.TW,亞泥,42.25,3.05,9181,11,外
419	,1762.TW,中化生,56.1,-3.61,1108,11,外
420	,2033.TW,佳大,14.45,1.05,153,11,融
421	,2301.TW,光寶科,67.9,0.44,7520,11,外
422	,2314.TW,台揚,51.6,0.39,13145,11,投
423	,2329.TW,華泰,16.85,5.64,6205,11,外
424	,2352.TW,佳世達,27.05,-0.18,5437,11,外
425	,2375.TW,凱美,53,1.53,656,11,投
426	,2390.TW,云辰,14.5,-0.34,663,11,外
427	,2405.TW,浩鑫,13.85,-2.46,5567,11,投
428	,2419.TW,仲琦,27.2,-1.81,8434,11,外
429	,2461.TW,光群雷,19.35,0,689,11,外
430	,2492.TW,華新科,91.5,2.23,1181,11,自
431	,2707.TW,晶華,167,2.45,457,11,外
432	,2882.TW,國泰金,47.2,1.72,22701,11,外
433	,3081.TW,聯亞,163.5,-1.51,5341,11,外
434	,3306.TW,鼎天,24.7,1.44,346,11,外
435	,3484.TW,崧騰,60.4,0.83,322,11,外
436	,3548.TW,兆利,60.6,-0.98,285,11,外
437	,3605.TW,宏致,38.1,-0.39,374,11,外
438	,4945.TW,陞達科技,71.6,0.14,516,11,投
439	,4966.TW,譜瑞-KY,890,0.56,1066,11,自
440	,5234.TW,達興材料,68.4,2.09,411,11,融
441	,5243.TW,乙盛-KY,68.2,0.15,3696,11,自
442	,5274.TW,信驊,1650,4.1,997,11,投
443	,6216.TW,居易,30.2,-9.72,6186,11,外
444	,6538.TW,倉和,74.7,1.08,230,11,投
445	,6712.TW,長聖,180.5,1.12,870,11,融
446	,8163.TW,達方,41.75,0.85,1050,11,外
447	,9919.TW,康那香,16.7,0.6,745,11,外
448	,1227.TW,佳格,40.8,0.87,832,10,外
449	,1229.TW,聯華,57.4,1.59,533,10,外
450	,2108.TW,南帝,41.75,0.48,667,10,外
451	,2324.TW,仁寶,23.25,1.09,11387,10,外
452	,2345.TW,智邦,278.5,-0.54,9148,10,外
453	,2356.TW,英業達,24.55,1.45,7367,10,外
454	,2363.TW,矽統,21.2,1.92,6694,10,外
455	,2382.TW,廣達,81.3,-0.25,6219,10,外
456	,2417.TW,圓剛,21.75,0.69,113,10,外
457	,2462.TW,良得電,27.4,-0.36,555,10,外
458	,2485.TW,兆赫,17.7,-1.12,1000,10,外
459	,2731.TW,雄獅,90.1,-0.33,386,10,自
460	,3008.TW,大立光,2080,-0.48,710,10,外
