符合條件商品
資料日期：2022年  8月 11日
策略,	00買7654321
序號,	代碼,	商品,	成交,	漲幅%,	總量,	本比,	準確度
執行時間：2022-08-11 22:37 符合檔數(1442)
492	,3402.TW,漢科,47.8,1.27,765,9,外
493	,3432.TW,台端,22.65,0.22,4031,9,外
494	,3628.TW,盈正,40.2,-0.5,101,9,自
495	,3711.TW,日月光投控,89.5,2.87,9577,9,外
496	,4102.TW,永日,19.6,0.51,1023,9,外
497	,5386.TW,青雲,37.4,0.27,103,9,外
498	,6156.TW,松上,19,-5,1401,9,外
499	,6163.TW,華電網,15.45,0,393,9,外
500	,6188.TW,廣明,41.15,0.49,1170,9,自
501	,6208.TW,日揚,49.5,0.2,68,9,外
502	,6274.TW,台燿,54,1.31,1024,9,外
503	,6284.TW,佳邦,49.45,2.49,287,9,自
504	,6462.TW,神盾,82.1,0,212,9,自
505	,6488.TW,環球晶,481.5,3.77,2795,9,自
506	,6505.TW,台塑化,82.7,0.98,1498,9,外
507	,8024.TW,佑華,21,0,204,9,外
508	,8271.TW,宇瞻,40.65,0.87,282,9,外
509	,9907.TW,統一實,19.4,2.11,34863,9,外
510	,9910.TW,豐泰,175,4.79,1885,9,投
511	,9941.TW,裕融,182,1.11,1129,9,融
512	,1215.TW,卜蜂,80.6,0.62,225,8,融
513	,1414.TW,東和,16.85,1.2,203,8,外
514	,1476.TW,儒鴻,444,6.6,2465,8,自
515	,2015.TW,豐興,66.2,1.07,183,8,外
516	,2059.TW,川湖,473.5,0,513,8,外
517	,2204.TW,中華,44.45,0,2888,8,外
518	,2328.TW,廣宇,35.45,1,1739,8,自
519	,2385.TW,群光,84.5,0.6,1650,8,外
520	,2395.TW,研華,340,0,676,8,投
521	,2633.TW,台灣高鐵,28.95,0.87,1546,8,外
522	,2809.TW,京城銀,36,0.28,424,8,外
523	,2885.TW,元大金,21.2,2.17,29142,8,投
524	,3083.TW,網龍,43.5,-0.46,117,8,自
525	,3276.TW,宇環,13.4,-8.22,1077,8,外
526	,3546.TW,宇峻,69,0.15,53,8,外
527	,3594.TW,磐儀,28.05,1.08,2292,8,外
528	,3607.TW,谷崧,13.7,0.37,772,8,投
529	,4105.TW,東洋,70.1,0.29,430,8,外
530	,4148.TW,全宇生技-KY,60.7,-0.49,419,8,投
531	,4743.TW,合一,169.5,0.3,1051,8,融
532	,5457.TW,宣德,57.5,4.93,1742,8,自
533	,5871.TW,中租-KY,218.5,-1.13,5933,8,外
534	,6168.TW,宏齊,19.55,-2.01,839,8,外
535	,6233.TW,旺玖,23,1.1,287,8,自
536	,6412.TW,群電,71.8,0.14,233,8,外
537	,6442.TW,光聖,61.2,1.49,9051,8,外
538	,6669.TW,緯穎,732,2.38,528,8,自
539	,6698.TW,旭暉應材,30.2,-0.17,76,8,外
540	,8021.TW,尖點,28.9,0.17,355,8,外
541	,8436.TW,大江,126.5,-0.39,500,8,外
542	,8926.TW,台汽電,37.35,-0.13,243,8,外
543	,1216.TW,統一,66,0.61,5301,7,投
544	,1301.TW,台塑,92.6,1.42,7779,7,外
545	,1305.TW,華夏,23.65,2.16,1202,7,外
546	,1312.TW,國喬,19.85,1.53,2294,7,外
547	,1440.TW,南紡,17.8,0.85,1903,7,外
548	,1710.TW,東聯,17.05,1.19,1221,7,自
549	,1802.TW,台玻,17.55,1.74,2290,7,自
550	,1809.TW,中釉,12.6,-0.79,672,7,外
551	,1904.TW,正隆,27.55,0.73,1548,7,外
552	,1909.TW,榮成,14.85,1.37,1319,7,外
553	,2023.TW,燁輝,15.65,1.29,1987,7,自
554	,2221.TW,大甲,38.4,6.08,1820,7,融
555	,2231.TW,為升,133.5,0,131,7,外
556	,2243.TW,宏旭-KY,16,-9.6,1092,7,外
557	,2331.TW,精英,20.75,1.72,1182,7,外
558	,2367.TW,燿華,19.05,0.79,52120,7,自
559	,2379.TW,瑞昱,336.5,2.12,2786,7,自
560	,2408.TW,南亞科,53,2.71,5013,7,自
561	,2451.TW,創見,65.3,0.46,216,7,自
562	,2454.TW,聯發科,670,0.3,9463,7,自
563	,2538.TW,基泰,13.3,1.14,1790,7,融
564	,2542.TW,興富發,45.9,0.33,3681,7,外
565	,2612.TW,中航,40.15,-0.12,363,7,投
566	,2617.TW,台航,29.05,-0.17,2017,7,投
567	,2732.TW,六角,96,1.37,71,7,自
568	,2838.TW,聯邦銀,13.8,2.6,1107,7,外
569	,2889.TW,國票金,13.65,1.49,2557,7,外
570	,3023.TW,信邦,278,0.72,829,7,投
571	,3051.TW,力特,16.35,3.81,1483,7,融
572	,3178.TW,公準,63.4,-0.94,202,7,自
573	,3362.TW,先進光,77.5,-1.65,4918,7,外
574	,3511.TW,矽瑪,33.45,0.15,234,7,外
575	,3623.TW,富晶通,18,-3.74,828,7,外
576	,4303.TW,信立,20.95,-1.18,395,7,外
577	,4720.TW,德淵,14,1.82,187,7,融
578	,4722.TW,國精化,37.2,0.27,64,7,外
579	,4744.TW,皇將,27.9,-1.76,96,7,外
580	,4938.TW,和碩,63.7,1.11,3569,7,投
581	,5263.TW,智崴,121.5,-2.8,292,7,外
582	,6126.TW,信音,22.75,-0.44,424,7,外
583	,6206.TW,飛捷,85.1,-1.96,5053,7,融
584	,6213.TW,聯茂,64.5,0.16,1213,7,外
585	,6261.TW,久元,68.2,0.59,449,7,自
586	,6269.TW,台郡,95.4,1.38,1461,7,自
587	,6523.TW,達爾膚,82.2,0.74,47,7,外
588	,6643.TW,M31,289,6.45,1533,7,投
589	,6715.TW,嘉基,156.5,-3.69,832,7,融
590	,8110.TW,華東,12.6,2.86,993,7,外
591	,8213.TW,志超,36.95,-1.07,1904,7,融
592	,9933.TW,中鼎,44.5,0.91,1290,7,外
593	,9938.TW,百和,60.3,2.2,877,7,外
594	,1220.TW,台榮,16.1,-0.92,185,6,外
595	,1236.TW,宏亞,26.35,0.76,216,6,投
596	,1240.TW,茂生農經,44.55,-0.45,94,6,融
597	,1304.TW,台聚,23.8,1.71,3228,6,外
598	,1434.TW,福懋,26.75,0.38,1487,6,投
599	,1504.TW,東元,28.8,1.77,1992,6,外
600	,2034.TW,允強,29.25,-1.85,4255,6,自
601	,2049.TW,上銀,209.5,-0.48,4367,6,自
602	,2357.TW,華碩,282,1.81,2416,6,投
603	,2439.TW,美律,84.8,2.17,2591,6,自
604	,2441.TW,超豐,61.8,0.16,1066,6,外
605	,2723.TW,美食-KY,99,0.51,438,6,外
606	,2851.TW,中再保,22.1,-2.21,3270,6,外
607	,2881.TW,富邦金,59.9,2.92,29201,6,外
608	,3025.TW,星通,20.05,-1.96,410,6,外
609	,3056.TW,總太,30.05,1.01,861,6,外
610	,3224.TW,三顧,42.1,-1.75,157,6,融
611	,3230.TW,錦明,17,-0.29,387,6,自
612	,3339.TW,泰谷,13.5,1.5,95,6,外
613	,3437.TW,榮創,19.65,0.51,172,6,外
614	,3580.TW,友威科,64.4,0.78,555,6,外
615	,3615.TW,安可,18.4,0.55,203,6,外
616	,3706.TW,神達,29.1,0,2772,6,外
617	,4114.TW,健喬,32.85,-0.9,10208,6,外
618	,4175.TW,杏一,69.7,1.31,70,6,外
619	,4541.TW,晟田,29.5,-1.17,1088,6,外
620	,4976.TW,佳凌,48.55,1.46,14654,6,外
621	,5251.TW,天鉞電,19,-1.55,1232,6,外
622	,5522.TW,遠雄,63.9,1.91,386,6,外
623	,5536.TW,聖暉,197.5,0.25,138,6,外
624	,6114.TW,久威,26,-0.19,1303,6,外
625	,6140.TW,訊達,17.95,0,194,6,外
626	,6202.TW,盛群,73.1,0.83,863,6,外
627	,6209.TW,今國光,30.15,0.84,674,6,融
628	,6530.TW,創威,23,-0.65,142,6,外
629	,6592.TW,和潤企業,107.5,1.9,498,6,外
630	,8027.TW,鈦昇,61.8,0.16,282,6,自
631	,8064.TW,東捷,15.7,0.64,203,6,外
632	,8086.TW,宏捷科,73.5,3.81,1841,6,外
633	,8121.TW,越峰,32.6,2.19,1092,6,自
634	,8403.TW,盛弘,33.45,-2.34,1699,6,自
635	,1219.TW,福壽,20.7,-0.24,637,5,外
636	,1314.TW,中石化,10.25,0.99,10360,5,自
637	,1517.TW,利奇,24.35,1.46,3360,5,投
638	,1526.TW,日馳,50.6,-0.78,3085,5,外
639	,1604.TW,聲寶,27.45,0.73,278,5,外
640	,1723.TW,中碳,116,1.31,912,5,外
641	,1907.TW,永豐餘,23.7,2.38,1196,5,外
642	,2104.TW,國際中橡,20.35,2.26,1941,5,外
643	,2106.TW,建大,35.95,-5.77,5163,5,外
644	,2206.TW,三陽工業,37.6,-2.97,5669,5,外
645	,2330.TW,台積電,514,2.8,24906,5,外
646	,2415.TW,錩新,29.05,0,127,5,外
647	,2489.TW,瑞軒,12.35,1.23,1960,5,自
648	,2495.TW,普安,16.6,9.93,4003,5,外
649	,2537.TW,聯上發,7.77,0.26,2138,5,外
650	,2601.TW,益航,9.43,0.43,1674,5,外
651	,2850.TW,新產,52.2,0.19,298,5,外
652	,3027.TW,盛達,18.25,-0.54,350,5,外
653	,3029.TW,零壹,41.45,0.12,265,5,外
654	,3030.TW,德律,60.2,1.35,506,5,外
655	,3031.TW,佰鴻,16.6,0.61,128,5,外
656	,3060.TW,銘異,19.1,2.41,423,5,外
657	,3167.TW,大量,50.8,-1.17,232,5,外
658	,3257.TW,虹冠電,48.6,-0.72,102,5,外
659	,3373.TW,熱映,20.35,0,49,5,外
660	,3380.TW,明泰,31.5,-0.79,3619,5,自
661	,3693.TW,營邦,61.6,6.21,2190,5,外
662	,3703.TW,欣陸,30.1,-2.43,3566,5,外
663	,4128.TW,中天,53,0,1711,5,融
664	,4164.TW,承業醫,41.6,1.46,1058,5,外
665	,4174.TW,浩鼎,79.6,0.89,303,5,外
666	,4406.TW,新昕纖,11.55,2.67,337,5,外
667	,4912.TW,聯德控股-KY,103.5,0.49,151,5,融
668	,4939.TW,亞電,16.85,-1.46,351,5,外
669	,4956.TW,光鋐,16.9,-0.59,220,5,外
670	,5356.TW,協益,22.45,0,60,5,外
671	,5534.TW,長虹,77.8,1.17,756,5,外
672	,5904.TW,寶雅,416.5,9.03,2225,5,外
673	,6148.TW,驊宏資,13.2,0.76,308,5,外
674	,6165.TW,浪凡,27.7,-1.77,133,5,外
675	,6207.TW,雷科,26.05,0.77,63,5,外
676	,6432.TW,今展科,29.75,-1,138,5,外
677	,6441.TW,廣錠,40.35,0,29,5,外
678	,6732.TW,昇佳電子,268.5,1.32,112,5,投
679	,8011.TW,台通,16.4,-2.67,2563,5,外
680	,8171.TW,天宇,36.85,-2.9,588,5,外
681	,8420.TW,明揚,70.7,-1.39,849,5,外
682	,9904.TW,寶成,28.3,2.54,8263,5,外
683	,9945.TW,潤泰新,64.5,4.88,15060,5,自
684	,1326.TW,台化,69.3,1.46,2932,4,外
685	,1455.TW,集盛,10.25,0.99,1006,4,外
686	,1565.TW,精華,264.5,0.76,90,4,外
687	,1783.TW,和康生,41.9,1.7,232,4,外
688	,2028.TW,威致,22.95,0.22,509,4,投
689	,2332.TW,友訊,16.85,-1.46,2747,4,外
690	,2535.TW,達欣工,30.25,0.33,231,4,自
691	,2912.TW,統一超,281,0.36,482,4,外
692	,3048.TW,益登,29.6,1.2,467,4,融
693	,3114.TW,好德,27.25,0.93,276,4,融
694	,3479.TW,安勤,65,-2.99,2213,4,外
695	,3541.TW,西柏,59.4,-0.34,128,4,外
696	,3609.TW,三一東林,51.8,-0.19,37,4,外
697	,3625.TW,西勝,17.15,-2.56,572,4,自
698	,3666.TW,光耀,26.45,1.34,531,4,外
699	,4168.TW,醣聯,26.75,-0.19,364,4,自
700	,4770.TW,上品,254.5,0.2,242,4,融
701	,5344.TW,立衛,23.3,0,294,4,外
702	,5347.TW,世界,73.9,4.97,7651,4,外
703	,6026.TW,福邦證,15,1.01,1486,4,外
704	,6127.TW,九豪,17.6,0.57,123,4,外
705	,6136.TW,富爾特,17.75,0.85,91,4,外
706	,6191.TW,精成科,29,2.84,4846,4,自
707	,6214.TW,精誠,72.4,0.56,117,4,外
708	,6465.TW,威潤,23.9,9.89,968,4,外
709	,6547.TW,高端疫苗,133.5,-0.37,1124,4,外
710	,6651.TW,全宇昕,76.7,1.32,24,4,外
711	,6741.TW,91APP*-KY,92.2,-0.11,828,4,自
712	,6806.TW,森崴能源,80.5,2.29,661,4,外
713	,8088.TW,品安,19.4,0.78,119,4,外
714	,8341.TW,日友,178,0.56,164,4,外
715	,8422.TW,可寧衛,175,1.45,205,4,外
716	,8930.TW,青鋼,16.4,0,216,4,外
717	,9921.TW,巨大,263,5.2,2505,4,外
718	,9940.TW,信義,30.45,0,140,4,外
719	,1103.TW,嘉泥,17.75,-0.28,331,3,外
720	,1527.TW,鑽全,43.25,-0.46,453,3,外
721	,1528.TW,恩德,10.35,-4.17,4964,3,外
722	,1536.TW,和大,77.6,0.13,1648,3,自
723	,1541.TW,錩泰,37.7,-1.18,278,3,自
724	,1569.TW,濱川,26.5,2.71,1676,3,自
725	,1590.TW,亞德客-KY,828,2.22,321,3,投
726	,1599.TW,宏佳騰,45.25,0.11,287,3,外
727	,1701.TW,中化,21.35,0.95,396,3,外
728	,1714.TW,和桐,9.33,-0.53,2518,3,投
729	,1733.TW,五鼎,27.25,1.68,524,3,融
730	,1773.TW,勝一,141.5,0.35,157,3,自
731	,1810.TW,和成,10.9,0.46,1175,3,外
732	,1817.TW,凱撒衛,34,0.74,42,3,外
733	,2029.TW,盛餘,24.65,0.41,416,3,外
734	,2063.TW,世鎧,36.7,1.94,455,3,外
735	,2316.TW,楠梓電,27.4,-0.18,198,3,外
736	,2360.TW,致茂,183,1.67,2807,3,外
737	,2425.TW,承啟,26.05,-0.38,855,3,外
738	,2453.TW,凌群,26.5,-4.16,488,3,投
739	,2491.TW,吉祥全,15.1,0.33,197,3,投
740	,2515.TW,中工,9.03,1.23,4006,3,外
741	,2534.TW,宏盛,24.1,1.9,1591,3,融
742	,2545.TW,皇翔,46.4,1.42,1046,3,外
743	,2548.TW,華固,90.6,0.55,606,3,自
744	,2727.TW,王品,119.5,1.27,84,3,外
745	,2753.TW,八方雲集,150,2.04,435,3,外
746	,3005.TW,神基,47.3,3.61,2810,3,外
747	,3021.TW,鴻名,21.75,-2.68,1647,3,外
748	,3026.TW,禾伸堂,88.9,2.3,336,3,外
749	,3028.TW,增你強,30.35,-0.98,531,3,外
750	,3038.TW,全台,21.85,0.46,2374,3,融
751	,3147.TW,大綜,52.3,-6.61,1927,3,外
752	,3218.TW,大學光,325,-3.7,637,3,自
753	,3252.TW,海灣,22.05,0,402,3,外
754	,3289.TW,宜特,54.4,-0.73,885,3,外
755	,3323.TW,加百裕,34.1,0.29,170,3,外
756	,3356.TW,奇偶,28,-4.44,1238,3,外
757	,3521.TW,鴻翊,17.3,-4.95,2186,3,外
758	,3550.TW,聯穎,14.85,0.34,163,3,外
759	,3563.TW,牧德,139,0.36,35,3,外
760	,3567.TW,逸昌,28.2,-0.7,39,3,外
761	,3591.TW,艾笛森,17.4,0,945,3,自
762	,3663.TW,鑫科,28.9,1.58,245,3,外
763	,3669.TW,圓展,44.9,-0.88,151,3,外
764	,4130.TW,健亞,24.35,-0.41,290,3,自
765	,4536.TW,拓凱,166,3.75,2039,3,外
766	,4746.TW,台耀,53.2,4.52,6603,3,外
767	,4989.TW,榮科,25.8,-1.15,277,3,外
768	,5211.TW,蒙恬,21.1,-2.09,1098,3,外
769	,5230.TW,雷笛克光學,23,0,35,3,外
770	,5471.TW,松翰,57,1.79,342,3,外
771	,5474.TW,聰泰,76,-2.69,99,3,外
772	,5521.TW,工信,7.13,1.86,931,3,外
773	,5607.TW,遠雄港,52.4,5.22,818,3,外
774	,6120.TW,達運,10.15,0.5,3154,3,投
775	,6175.TW,立敦,31.25,1.13,184,3,外
776	,6215.TW,和椿,22.8,0.44,448,3,外
777	,6224.TW,聚鼎,60.7,-7.47,1330,3,外
778	,6288.TW,聯嘉,22.75,4.12,745,3,外
779	,6409.TW,旭隼,1620,0,180,3,外
780	,6456.TW,GIS-KY,76.6,3.79,1646,3,外
781	,6532.TW,瑞耘,45.15,0.33,56,3,外
782	,6664.TW,群翊,82,1.23,268,3,自
783	,6672.TW,騰輝電子-KY,67.6,8.68,811,3,外
784	,8039.TW,台虹,40.85,1.24,104,3,外
785	,8089.TW,康全電訊,25.5,-1.16,186,3,外
786	,8234.TW,新漢,32.65,1.08,1649,3,外
787	,8415.TW,大國鋼,33.65,1.05,374,3,自
788	,1104.TW,環泥,21.65,0.93,569,2,投
789	,1231.TW,聯華食,76.5,0.79,126,2,外
790	,1232.TW,大統益,156,0,34,2,投
791	,1416.TW,廣豐,10.6,2.42,222,2,自
792	,1444.TW,力麗,10.5,4.48,3779,2,自
793	,1447.TW,力鵬,8.79,6.8,7159,2,外
794	,1457.TW,宜進,17.6,0.86,539,2,外
795	,1515.TW,力山,31.3,1.79,561,2,投
796	,1540.TW,喬福,14.9,2.76,424,2,外
797	,1702.TW,南僑,45.5,-0.55,148,2,外
798	,1720.TW,生達,45.9,0.55,367,2,外
799	,1731.TW,美吾華,17.85,-0.28,98,2,外
800	,1815.TW,富喬,12.35,-0.8,1105,2,自
801	,2009.TW,第一銅,26.65,1.33,841,2,外
802	,2024.TW,志聯,19.3,0.52,72,2,外
803	,2207.TW,和泰車,612,2.51,248,2,外
804	,2250.TW,IKKA-KY,80.9,-0.12,18,2,外
805	,2302.TW,麗正,16.2,-0.31,701,2,外
806	,2365.TW,昆盈,10.75,-0.92,1070,2,外
807	,2392.TW,正崴,32.8,0.92,536,2,外
808	,2440.TW,太空梭,13.6,-0.73,647,2,投
809	,2464.TW,盟立,39.25,1.29,328,2,外
810	,2471.TW,資通,27.45,0.92,180,2,外
811	,2472.TW,立隆電,55.9,4.88,794,2,外
812	,2480.TW,敦陽科,89.2,0.34,436,2,外
813	,2483.TW,百容,24.05,1.48,396,2,外
814	,2511.TW,太子,11.8,0.43,576,2,外
815	,2520.TW,冠德,28.35,1.43,1062,2,外
816	,2608.TW,嘉里大榮,41.15,-0.6,233,2,外
817	,2643.TW,捷迅,73.3,0.69,78,2,外
818	,2702.TW,華園,29.35,0.34,550,2,外
819	,2704.TW,國賓,33.15,-0.15,127,2,融
820	,2726.TW,雅茗-KY,26.75,0,62,2,外
821	,3010.TW,華立,90.4,2.15,236,2,外
822	,3013.TW,晟銘電,15.45,-1.9,7178,2,外
823	,3066.TW,李洲,28.95,-0.17,553,2,外
824	,3202.TW,樺晟,13.9,0.36,258,2,外
825	,3310.TW,佳穎,41.3,-0.72,148,2,外
826	,3346.TW,麗清,34.8,9.95,4003,2,投
827	,3360.TW,尚立,13.85,0,67,2,外
828	,3372.TW,典範,13.45,0,262,2,外
829	,3376.TW,新日興,84.5,1.32,579,2,外
830	,3438.TW,類比科,52,3.38,679,2,外
831	,3597.TW,映興,23.6,0.21,58,2,外
832	,3646.TW,艾恩特,26.1,0.19,51,2,外
833	,3673.TW,TPK-KY,35.35,1.58,1330,2,外
834	,4137.TW,麗豐-KY,169,-0.29,220,2,外
835	,4153.TW,鈺緯,26.45,0,30,2,外
836	,4207.TW,環泰,14.3,0,430,2,融
837	,4529.TW,淳紳,11.55,-3.75,2047,2,外
838	,4726.TW,永昕,38.65,-0.39,461,2,外
839	,4760.TW,勤凱,52.8,-0.19,16,2,外
840	,4763.TW,材料-KY,111.5,0.45,234,2,外
841	,4942.TW,嘉彰,39.55,2.2,551,2,外
842	,4943.TW,康控-KY,16.15,0.62,164,2,外
843	,4994.TW,傳奇,41.3,0.49,62,2,投
844	,5202.TW,力新,18.15,0,6,2,融
845	,5212.TW,凌網,39.95,0.5,13,2,外
846	,5236.TW,凌陽創新,80.1,6.37,471,2,融
847	,5291.TW,邑昇,38.7,0,41,2,外
848	,5426.TW,振發,13.4,0.75,7290,2,自
849	,5439.TW,高技,41.5,2.72,325,2,外
850	,5469.TW,瀚宇博,30.55,2.17,933,2,外
851	,6139.TW,亞翔,32.15,3.71,1586,2,外
852	,6160.TW,欣技,17.5,-3.05,725,2,外
853	,6179.TW,亞通,27.45,-0.9,54,2,外
854	,6186.TW,新潤,26.6,0.38,160,2,融
855	,6197.TW,佳必琪,37.95,-0.13,270,2,外
856	,6218.TW,豪勉,20,0.25,138,2,外
857	,6220.TW,岳豐,28.45,-2.57,2499,2,外
858	,6240.TW,松崗,20,0.76,28,2,外
859	,6426.TW,統新,71.8,1.56,959,2,投
860	,6499.TW,益安,67.8,1.19,96,2,外
861	,6506.TW,雙邦,19.8,0.51,150,2,外
862	,6525.TW,捷敏-KY,73.7,-0.41,343,2,外
863	,6612.TW,奈米醫材,77.6,-0.13,53,2,自
864	,6668.TW,中揚光,45,-0.77,795,2,外
865	,6670.TW,復盛應用,192,0.26,412,2,外
866	,8076.TW,伍豐,31.95,-1.08,2150,2,外
867	,8085.TW,福華,19.15,-1.03,222,2,外
868	,8131.TW,福懋科,38.15,0.39,340,2,外
869	,8147.TW,正淩,52,-1.7,61,2,外
870	,8284.TW,三竹,48.8,1.04,44,2,外
871	,8401.TW,白紗科,18.7,0.27,254,2,外
872	,8429.TW,金麗-KY,9.55,-0.21,99,2,外
873	,8454.TW,富邦媒,749,4.03,517,2,外
874	,8905.TW,裕國,19.8,0.51,73,2,
875	,9917.TW,中保科,103.5,0.49,165,2,外
876	,1110.TW,東泥,17.8,-1.11,193,1,外
877	,1210.TW,大成,48,0.84,698,1,外
878	,1217.TW,愛之味,9.98,1.42,1908,1,外
879	,1218.TW,泰山,32,1.75,1178,1,外
880	,1258.TW,其祥-KY,25.95,0.39,5372,1,外
881	,1337.TW,再生-KY,6.15,0,186,1,外
882	,1338.TW,廣華-KY,57.4,0.88,304,1,投
883	,1339.TW,昭輝,43.7,1.63,711,1,融
884	,1442.TW,名軒,21.95,0,60,1,外
885	,1451.TW,年興,24,0,505,1,投
886	,1467.TW,南緯,11.75,-0.42,971,1,外
887	,1474.TW,弘裕,12.05,1.69,257,1,外
888	,1519.TW,華城,36.3,-4.72,3286,1,外
889	,1532.TW,勤美,29.55,0,59,1,外
890	,1558.TW,伸興,131.5,0,51,1,融
891	,1582.TW,信錦,67,0.75,203,1,外
892	,1587.TW,吉茂,26.25,-1.69,403,1,外
893	,1589.TW,永冠-KY,54.9,0,159,1,外
894	,1595.TW,川寶,36.25,3.57,81,1,外
895	,1597.TW,直得,72.2,-0.55,43,1,外
896	,1603.TW,華電,26.6,0.38,219,1,外
897	,1608.TW,華榮,14.7,0.34,395,1,外
898	,1718.TW,中纖,7.94,1.79,3463,1,外
899	,1742.TW,台蠟,20.7,0.73,26,1,外
900	,1752.TW,南光,36.5,0.41,109,1,外
901	,1905.TW,華紙,17.1,1.18,925,1,外
902	,2010.TW,春源,16,1.59,329,1,自
903	,2017.TW,官田鋼,12.4,1.64,547,1,投
904	,2020.TW,美亞,23.95,0.63,157,1,自
905	,2101.TW,南港,39.65,0.38,309,1,外
906	,2102.TW,泰豐,19.4,0,329,1,外
907	,2387.TW,精元,38.1,0,3471,1,自
908	,2413.TW,環科,19.1,-0.26,181,1,外
909	,2414.TW,精技,31.3,1.29,109,1,外
910	,2420.TW,新巨,42.5,0.59,172,1,外
911	,2428.TW,興勤,140,-0.36,326,1,外
912	,2460.TW,建通,16.55,1.85,130,1,外
913	,2467.TW,志聖,46,1.77,232,1,外
914	,2488.TW,漢平,29.75,4.57,2303,1,外
915	,2597.TW,潤弘,88.6,0.91,56,1,外
916	,2640.TW,大車隊,83.4,0.48,69,1,融
917	,2705.TW,六福,16.55,-0.9,392,1,外
918	,2897.TW,王道銀行,8.51,2.41,7610,1,外
919	,2911.TW,麗嬰房,6.51,-0.15,392,1,外
920	,2913.TW,農林,18.95,0,446,1,外
921	,2929.TW,淘帝-KY,12.4,2.06,541,1,融
922	,2939.TW,凱羿-KY,32.5,1.25,115,1,外
923	,3022.TW,威強電,59.7,0,3368,1,外
924	,3071.TW,協禧,28.6,3.81,1994,1,外
925	,3152.TW,璟德,168.5,2.74,75,1,外
926	,3162.TW,精確,47.2,4.31,2191,1,外
927	,3206.TW,志豐,28.75,0.88,109,1,外
928	,3268.TW,海德威,19.9,1.02,16,1,融
929	,3285.TW,微端,19.1,-1.04,34,1,融
930	,3287.TW,廣寰科,15.55,4.01,349,1,融
931	,3303.TW,岱稜,30.55,2.17,2930,1,外
932	,3379.TW,彬台,12.15,-2.02,250,1,外
933	,3450.TW,聯鈞,45.5,-0.55,623,1,外
934	,3489.TW,森寶,9.93,-0.3,36,1,外
935	,3492.TW,長盛,17.8,3.49,144,1,外
936	,3518.TW,柏騰,21.7,-1.81,781,1,融
937	,3531.TW,先益,25.4,-0.2,216,1,外
938	,3685.TW,元創精密,33.9,-3,1081,1,外
939	,4104.TW,佳醫,65,0.93,225,1,外
940	,4119.TW,旭富,82.1,2.5,174,1,外
941	,4123.TW,晟德,58.9,1.38,1079,1,自
942	,4155.TW,訊映,22.6,0.44,112,1,外
943	,4173.TW,久裕,18,3.45,299,1,外
944	,4414.TW,如興,3.62,4.62,16694,1,外
945	,4417.TW,金洲,34,1.19,212,1,外
946	,4433.TW,興采,30.05,0.17,111,1,外
947	,4545.TW,銘鈺,30.8,10,894,1,外
948	,4550.TW,長佳,21.5,0.94,63,1,外
949	,4557.TW,永新-KY,99.3,0.91,170,1,外
950	,4566.TW,時碩工業,50.6,-0.78,158,1,外
951	,4580.TW,捷流閥業,86.9,0.7,207,1,外
952	,4716.TW,大立,15.4,0.98,137,1,
953	,4766.TW,南寶,131,0.38,216,1,投
954	,4909.TW,新復興,17.7,-0.56,98,1,外
955	,4930.TW,燦星網,25.7,1.38,313,1,外
956	,4953.TW,緯軟,83,-0.36,191,1,外
957	,4973.TW,廣穎,19.6,0.51,37,1,外
958	,4977.TW,眾達-KY,90.3,1.12,1233,1,外
959	,5203.TW,訊連,90.8,2.38,125,1,外
960	,5306.TW,桂盟,154.5,0,113,1,外
961	,5410.TW,國眾,25.05,0,150,1,外
962	,5443.TW,均豪,25.65,-0.19,302,1,外
963	,5452.TW,佶優,15.15,1,128,1,外
964	,5464.TW,霖宏,24.9,1.22,798,1,外
965	,5478.TW,智冠,74.9,1.22,72,1,外
966	,5481.TW,新華,12,0.42,20,1,外
967	,5905.TW,南仁湖,11.75,1.29,410,1,外
968	,6021.TW,美好證,20,2.04,33,1,外
969	,6153.TW,嘉聯益,25.7,1.18,5884,1,外
970	,6155.TW,鈞寶,22.35,1.82,191,1,外
971	,6173.TW,信昌電,39.25,1.42,189,1,外
972	,6219.TW,富旺,11.55,0.87,1465,1,外
973	,6227.TW,茂綸,40,0.25,391,1,外
974	,6246.TW,臺龍,14.3,0.7,46,1,外
975	,6248.TW,沛波,20,-0.25,71,1,外
976	,6270.TW,倍微,22.7,-0.44,61,1,外
977	,6283.TW,淳安,32.85,-2.38,2492,1,外
978	,6292.TW,迅德,39.15,0.38,120,1,外
979	,6416.TW,瑞祺電通,93.7,0.86,235,1,投
980	,6425.TW,易發,22.15,0,7,1,外
981	,6451.TW,訊芯-KY,79.3,-1.25,376,1,外
982	,6573.TW,虹揚-KY,15.9,-0.62,75,1,外
983	,6581.TW,鋼聯,89.5,0.34,118,1,投
984	,6589.TW,台康生技,85.9,0.94,735,1,融
985	,6609.TW,瀧澤科,33.8,0.6,515,1,外
986	,6691.TW,洋基工程,162.5,0.62,68,1,外
987	,6792.TW,詠業,87.4,1.04,71,1,融
988	,8032.TW,光菱,33.85,-2.45,566,1,外
989	,8066.TW,來思達,26.7,-1.11,23,1,外
990	,8074.TW,鉅橡,18.45,1.65,75,1,外
991	,8105.TW,凌巨,12.45,0.4,13904,1,自
992	,8210.TW,勤誠,72,0.56,169,1,外
993	,8249.TW,菱光,21.3,1.67,61,1,外
994	,8432.TW,東生華,42.75,0.71,84,1,外
