符合條件商品
資料日期：2022年  8月 11日
策略,	01融外自投每日總結
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資使用率,	外資持股比例,	自營商持股比例,	投信持股比例
執行時間：2022-08-11 22:33 符合檔數(1487)
81	,2498.TW,宏達電,63.8,2.9,76829,30.69,12.9,4.75,0.2
82	,3362.TW,先進光,77.5,-1.65,4918,30.46,1.54,1.79,0
83	,3548.TW,兆利,60.6,-0.98,285,30.36,7.73,0.57,0
84	,3310.TW,佳穎,41.3,-0.72,148,30.23,0.14,0,0
85	,3520.TW,華盈,18,-2.44,4586,30.23,4.9,0,0
86	,3224.TW,三顧,42.1,-1.75,157,30.22,0.98,0.09,0
87	,6290.TW,良維,55.7,-2.45,4336,30.21,4.44,0.71,0.31
88	,2736.TW,富野,26,-1.33,3141,29.78,2.91,0.3,0
89	,8024.TW,佑華,21,0,204,29.64,4.49,0.29,0
90	,6219.TW,富旺,11.55,0.87,1465,29.4,2.37,0,0
91	,3390.TW,旭軟,24.65,4.67,7287,29.37,2.83,0.05,0
92	,6133.TW,金橋,22.5,5.39,40996,29.3,10.24,0.35,0.14
93	,6165.TW,浪凡,27.7,-1.77,133,29.22,2.01,0.06,0
94	,5201.TW,凱衛,30.6,-0.16,19,29.15,5.58,0.13,0
95	,3432.TW,台端,22.65,0.22,4031,29.13,4.79,0.16,0
96	,9802.TW,鈺齊-KY,162,1.25,2687,29.04,45.48,0.24,5.98
97	,3508.TW,位速,42.3,-0.24,11892,28.74,0.64,2.57,0
98	,5245.TW,智晶,62.8,-0.48,560,28.46,12.13,0.7,0.18
99	,1810.TW,和成,10.9,0.46,1175,28.41,5.1,0.11,0
100	,3027.TW,盛達,18.25,-0.54,350,28.35,1.47,0.53,0
101	,3466.TW,致振,24.65,-2.95,286,28.26,9.76,0.4,0
102	,2457.TW,飛宏,37.9,-0.92,8241,27.96,4.37,1.24,0.01
103	,2476.TW,鉅祥,54,4.41,10120,27.83,2.44,0.34,0.17
104	,6531.TW,愛普*,190,3.83,3673,27.72,14.71,0.67,0.37
105	,4728.TW,雙美,160.5,2.88,160,27.57,14.81,0.32,0
106	,4171.TW,瑞基,71.4,0.42,312,27.5,24.12,0.88,0
107	,6113.TW,亞矽,26,-0.95,22411,27.46,1.54,0.39,0
108	,2231.TW,為升,133.5,0,131,27.39,8.07,0.17,0
109	,6443.TW,元晶,36.75,0.96,39903,27.34,16.15,0.61,3.45
110	,6667.TW,信紘科,71,4.41,506,27.2,3.09,0.09,0.37
111	,3545.TW,敦泰,70.8,0.28,5185,27.08,13.23,3.49,0.06
112	,4912.TW,聯德控股-KY,103.5,0.49,151,26.83,29.84,0.07,0.11
113	,1760.TW,寶齡富錦,114,-1.3,2295,26.82,7.94,2.1,0.98
114	,3552.TW,同致,150,0,1224,26.71,15.7,2.22,0
115	,5321.TW,美而快,80.9,3.32,212,26.68,3.55,1.1,0
116	,2364.TW,倫飛,70.2,9.86,3785,26.52,19.54,0.18,0
117	,4543.TW,萬在,29.15,1.92,6215,26.41,6.48,0,0
118	,2462.TW,良得電,27.4,-0.36,555,26.38,0.96,0.38,0
119	,4116.TW,明基醫,71.5,-0.69,1680,26.38,0.7,0.16,0
120	,4744.TW,皇將,27.9,-1.76,96,26.36,1.88,0.15,0
121	,4153.TW,鈺緯,26.45,0,30,26.34,0.47,0.06,0
122	,3093.TW,港建,106,-1.4,327,26.11,68.84,0.13,0.08
123	,1708.TW,東鹼,46.9,-1.37,5278,26.07,17.1,0.82,0.17
124	,5014.TW,建錩,18.2,1.39,1618,25.95,2.07,0.54,0
125	,6509.TW,聚和,41.7,-0.24,2030,25.89,3.92,0.21,0
126	,5351.TW,鈺創,47.15,-0.21,7402,25.76,7.21,1.34,0.02
127	,3147.TW,大綜,52.3,-6.61,1927,25.63,0.35,0,0
128	,6276.TW,安鈦克,16.55,0,23,25.54,3.19,0.03,0
129	,3047.TW,訊舟,16.6,2.47,68256,25.37,9.58,0.66,0.15
130	,6182.TW,合晶,49.6,4.2,23207,25.22,13.24,0.23,0.1
131	,6438.TW,迅得,91.5,2.46,273,25.22,13.64,0.03,0
132	,1539.TW,巨庭,32.5,7.97,4235,25.1,1.57,0.39,0
133	,1467.TW,南緯,11.75,-0.42,971,24.91,20.05,0.18,0
134	,4721.TW,美琪瑪,123.5,0.41,1838,24.91,1.44,1,0
135	,2436.TW,偉詮電,52.1,4.2,1972,24.89,7.85,0.6,0.01
136	,6477.TW,安集,54.4,0.18,6768,24.85,2.24,1.2,8.63
137	,3504.TW,揚明光,99.7,0.71,17766,24.81,1.92,2.42,0.73
138	,1526.TW,日馳,50.6,-0.78,3085,24.78,4.84,0.51,0
139	,4739.TW,康普,118,0.43,1483,24.76,2.83,0.46,4.36
140	,2359.TW,所羅門,27.7,-6.1,27563,24.51,6.98,0.52,0
141	,6591.TW,動力-KY,44.6,0.56,93,24.4,22.85,1.41,1.12
142	,3558.TW,神準,221,-3.49,7482,24.39,9,1.19,8.94
143	,1337.TW,再生-KY,6.15,0,186,24.38,24.06,0.11,0
144	,3035.TW,智原,155,4.03,21271,24.38,23.85,2.55,8.35
145	,3122.TW,笙泉,33.15,1.07,224,24.27,4.72,2.61,0
146	,6283.TW,淳安,32.85,-2.38,2492,24.23,18.41,0.17,0
147	,2342.TW,茂矽,39.65,0.13,1370,24.21,5.2,0.28,0
148	,2484.TW,希華,40.8,0.62,7491,24.18,11.61,0.27,0
149	,2406.TW,國碩,21.35,-0.23,2546,24.15,5.15,0.5,0
150	,3285.TW,微端,19.1,-1.04,34,24.12,0.85,0,0
151	,5902.TW,德記,35,0,65,23.73,1.03,0.16,0
152	,6706.TW,惠特,113,2.26,1491,23.57,8.61,0.01,0
153	,3689.TW,湧德,37.65,0.53,433,23.56,4.35,0.6,0
154	,3687.TW,歐買尬,92.5,1.76,223,23.52,5.64,1.1,0.01
155	,3527.TW,聚積,117,9.86,1676,23.43,6.69,0.34,0.25
156	,3228.TW,金麗科,333.5,0.3,2324,23.17,7.47,1.08,1.91
157	,3708.TW,上緯投控,103.5,1.47,808,23.16,11.24,0.95,10.7
158	,3041.TW,揚智,24.4,-0.2,1148,23.11,11.64,0.64,0.01
159	,1727.TW,中華化,31,0,667,23.03,1.91,0.6,0
160	,6245.TW,立端,72.7,3.41,8417,23.01,15.81,1.02,8.11
161	,3591.TW,艾笛森,17.4,0,945,22.76,2.12,0.26,0
162	,8183.TW,精星,63.3,-0.16,3571,22.72,2.03,0.31,2.68
163	,9944.TW,新麗,20.45,-0.24,70,22.7,1.42,0.06,0
164	,1454.TW,台富,13.95,1.45,262,22.57,1.09,0.06,0
165	,4133.TW,亞諾法,35.7,0.99,475,22.56,15.32,4.2,0
166	,6233.TW,旺玖,23,1.1,287,22.5,3.09,0.85,0
167	,6442.TW,光聖,61.2,1.49,9051,22.49,32.14,0.08,0.19
168	,3615.TW,安可,18.4,0.55,203,22.46,0.61,0.12,0
