符合條件商品
資料日期：2021年 12月 17日
策略,	01準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-19 14:32 符合檔數(1448)
69	,1439.TW,中和,23.5,-0.21,14,0.4,0.48,0.22,0,0,0.31
70	,1440.TW,南紡,26.4,6.45,154134,0.74,0.54,0.78,0.31,0.72,0.48
71	,1442.TW,名軒,22.5,-0.88,510,0.7,0.6,0.38,0,0.43,0.49
72	,1444.TW,力麗,11,0,5998,0.72,0.54,0.66,0.2,0.51,0.6
73	,1445.TW,大宇,15.4,3.36,365,0.5,0.61,0.3,0,0.26,0.37
74	,1446.TW,宏和,33.9,0,49,0.42,0.52,0.32,0,0.16,0.43
75	,1447.TW,力鵬,10.2,0.49,3182,0.6,0.5,0.67,0.18,0.7,0.46
76	,1449.TW,佳和,14.9,-0.33,45,0.62,0.59,0.19,0,0,0.13
77	,1451.TW,年興,21.4,1.9,536,0.54,0.46,0.18,0,0.22,0.42
78	,1452.TW,宏益,24.45,3.16,2373,0.62,0.6,0.37,0,0.64,0.46
79	,1453.TW,大將,9.22,0.88,173,0.75,0.54,0,0,0,0.21
80	,1454.TW,台富,13.95,8.56,3353,0.46,0.56,0.21,0,0.67,0.26
81	,1455.TW,集盛,16.8,1.2,19665,0.64,0.62,0.57,0,0.72,0.56
82	,1456.TW,怡華,22.05,0.46,137,0.68,0.56,0.34,0,0.64,0.37
83	,1457.TW,宜進,18.3,0.83,810,0.46,0.78,0.36,0,0.48,0.4
84	,1463.TW,強盛,14.5,1.05,135,0.64,0.52,0.35,0,0.13,0.46
85	,1464.TW,得力,15.4,0.65,202,0.57,0.6,0.38,0,0.19,0.54
86	,1465.TW,偉全,12.55,0,26,0.38,0.48,0.15,0,0,0.36
87	,1466.TW,聚隆,15.15,0,354,0.56,0.6,0.26,0,0.44,0.62
88	,1467.TW,南緯,13.8,-0.36,453,0.54,0.6,0.17,0,0.49,0.56
89	,1470.TW,大統新創,18.05,0.28,97,0.21,0.53,0.17,0,0,0
90	,1473.TW,台南,18,0,21,0.45,0.69,0.33,0,0,0.3
91	,1474.TW,弘裕,15.15,1.34,954,0.56,0.54,0.19,0,0.5,0.51
92	,1476.TW,儒鴻,610,-0.33,505,0.34,0.54,0.56,0.76,0.5,0.52
93	,1477.TW,聚陽,247,0.82,1618,0.4,0.63,0.66,0.58,0.43,0.5
94	,1503.TW,士電,53.5,0.94,88,0.48,0.66,0.6,0,0.11,0.34
95	,1504.TW,東元,30.9,0.98,4248,0.58,0.44,0.48,0.55,0.48,0.44
96	,1507.TW,永大,64.3,-0.16,443,0.42,0.58,0.48,0,0,0.45
97	,1513.TW,中興電,43.05,0,2033,0.8,0.76,0.66,0.59,0.57,0.6
