符合條件商品
資料日期：2022年  9月 21日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/21),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:16 符合檔數(52)
1	,1101.TW,台泥,34.05,-1.16,23484,38.1,-10.63,20,投連買
2	,2002.TW,中鋼,30.7,0.16,37216,28.35,8.29,20,投連買
3	,2301.TW,光寶科,64,-0.47,4678,67.6,-5.33,20,投連買
4	,2615.TW,萬海,86.2,-1.15,55180,78.3,10.09,20,投連買
5	,2892.TW,第一金,26.3,-0.38,6392,26.75,-1.68,20,投連買
6	,2303.TW,聯電,41.95,-2.1,34060,39.6,5.93,17,投連買
7	,2887.TW,台新金,15.2,0,6593,14.65,3.75,16,投連買
8	,3443.TW,創意,726,-0.55,5389,595,22.02,13,投連買
9	,3533.TW,嘉澤,829,0.36,375,794,4.41,13,投連買
10	,1605.TW,華新,46.75,-1.68,42087,42,11.31,11,投連買
11	,2609.TW,陽明,67.3,-1.03,57425,68.9,-2.32,11,投連買
12	,9939.TW,宏全,86.9,2.12,1021,83.9,3.58,11,投連買
13	,2345.TW,智邦,237.5,-6.5,4085,282.5,-15.93,10,投連買
14	,5274.TW,信驊,1830,0.83,312,1940,-5.67,10,投連買
15	,6533.TW,晶心科,494.5,-1.69,4905,416,18.87,10,投連買
16	,3587.TW,閎康,165,3.13,1620,141,17.02,8,投連買
17	,1102.TW,亞泥,41.55,0.24,6062,43.85,-5.25,7,投連買
18	,1304.TW,台聚,22.1,1.61,6105,22.1,0,7,投連買
19	,1314.TW,中石化,9.86,-1,4928,9.97,-1.1,7,投連買
20	,1319.TW,東陽,41.05,0.37,2564,55.1,-25.5,7,投連買
21	,1402.TW,遠東新,31.55,-4.39,10632,32.8,-3.81,7,投連買
22	,1904.TW,正隆,27.15,-1.09,381,27.2,-0.18,7,投連買
23	,1907.TW,永豐餘,24.45,-1.21,810,24.35,0.41,7,投連買
24	,2105.TW,正新,33.75,-0.74,1203,39.25,-14.01,7,投連買
25	,2337.TW,旺宏,35,0.57,15889,31.4,11.46,7,投連買
26	,2347.TW,聯強,61,-0.81,2957,54.9,11.11,7,投連買
27	,2357.TW,華碩,271,-1.63,1392,249,8.84,7,投連買
28	,2382.TW,廣達,71.2,-0.97,4354,78.6,-9.41,7,投連買
29	,2883.TW,開發金,12.7,-0.78,8936,13,-2.31,7,投連買
30	,3023.TW,信邦,275.5,-0.18,232,268,2.8,7,投連買
31	,3034.TW,聯詠,301.5,-0.17,3163,243.5,23.82,7,投連買
32	,3289.TW,宜特,77.8,1.7,3592,74.9,3.87,7,投連買
33	,4938.TW,和碩,64.2,0.31,3317,63.1,1.74,7,投連買
34	,4979.TW,華星光,41.6,-3.48,11451,38.85,7.08,7,投連買
35	,6005.TW,群益證,11.1,0,1344,11.15,-0.45,7,投連買
36	,8150.TW,南茂,32.9,1.23,1428,32.25,2.02,7,投連買
37	,9907.TW,統一實,17.05,-0.29,1397,19.5,-12.56,7,投連買
38	,9933.TW,中鼎,41.85,0.6,916,48.9,-14.42,7,投連買
39	,9940.TW,信義,27.2,-0.18,182,30.5,-10.82,7,投連買
40	,1308.TW,亞聚,28.2,-0.88,1358,29.15,-3.26,6,投連買
41	,2231.TW,為升,142,-2.07,335,171,-8.65,6,投連買
42	,2327.TW,國巨,460,-1.39,1468,327.5,12.66,6,投連買
43	,2474.TW,可成,169,-1.74,2651,172,-1.74,6,投連買
44	,6669.TW,緯穎,819,-1.33,686,780,5,6,投連買
45	,2368.TW,金像電,88.4,-1.12,3685,93.7,-5.66,5,投連買
46	,2409.TW,友達,15.4,0.65,36394,16.8,-15.1,5,投連買
47	,2454.TW,聯發科,660,-0.15,2431,605,9.09,5,投連買
48	,2610.TW,華航,19,-1.55,26392,22.7,-16.3,5,投連買
49	,2882.TW,國泰金,41.15,1.86,33982,42.55,-3.29,5,投連買
50	,2886.TW,兆豐金,30.55,-0.97,8425,34.25,-10.8,5,投連買
51	,3045.TW,台灣大,94.8,0,2514,97.2,-2.47,5,投連買
52	,6443.TW,元晶,34.1,1.19,7879,41.5,-17.83,5,投連買
