符合條件商品
資料日期：2022年 11月  2日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:10 符合檔數(20)
1	,1326.TW,台化,69.4,-0.72,1689,69.6,-0.29,20,投連買
2	,1402.TW,遠東新,31.55,-4.39,10632,32.05,-1.56,20,投連買
3	,2474.TW,可成,169,-1.74,2651,172,-1.74,20,投連買
4	,9910.TW,豐泰,207.5,-1.19,2962,170,22.06,17,投連買
5	,6205.TW,詮欣,70.9,-0.7,430,84.8,-16.39,15,投連買
6	,3037.TW,欣興,125,2.46,35224,127.5,-1.96,14,投連買
7	,1760.TW,寶齡富錦,190,8.57,30709,150,26.67,11,投連買
8	,2324.TW,仁寶,22.95,0.44,9576,21.15,8.51,10,投連買
9	,2356.TW,英業達,26,0.19,6530,23.85,9.01,10,投連買
10	,3189.TW,景碩,107,0,9581,107.5,-0.47,9,投連買
11	,2207.TW,和泰車,592,-0.67,113,589,0.51,8,投連買
12	,2881.TW,富邦金,56.7,-0.18,6587,51.9,9.25,8,投連買
13	,3035.TW,智原,159,0.63,7973,145.5,9.28,8,投連買
14	,6533.TW,晶心科,494.5,-1.69,4905,381,29.79,6,投連買
15	,2330.TW,台積電,455,-2.78,26724,395,15.85,5,投連買
16	,3454.TW,晶睿,207.5,1.22,7571,161.5,28.48,5,投連買
17	,3653.TW,健策,369.5,-0.81,1389,373.5,-1.07,5,投連買
18	,4919.TW,新唐,117,-2.09,4502,107,9.35,5,投連買
19	,5871.TW,中租-KY,216.5,0.46,2711,151.5,42.9,5,投連買
20	,6271.TW,同欣電,201,-4.29,2372,179,1.59,5,投連買
