符合條件商品
資料日期：2022年  3月  8日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(03/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:51 符合檔數(37)
1	,1303.TW,南亞,70.3,-1.54,4616,86.6,-10.49,20,投連買
2	,2337.TW,旺宏,35,0.57,15889,41.55,-10.26,20,投連買
3	,2344.TW,華邦電,20.1,-0.99,9528,31.3,-33.29,20,投連買
4	,2408.TW,南亞科,51.4,-0.58,5241,74.7,-26.42,20,投連買
5	,2603.TW,長榮,167.5,-2.33,36972,147,-40.97,20,投連買
6	,2885.TW,元大金,21.8,-0.91,10786,24.2,-0.82,20,投連買
7	,2912.TW,統一超,268,-1.47,996,261,6.04,20,投連買
8	,8299.TW,群聯,305,-0.81,792,472,-30.22,19,投連買
9	,2880.TW,華南金,22.5,-1.1,4175,21.95,9.49,16,投連買
10	,2884.TW,玉山金,24.1,-1.03,10272,28.95,-9.06,16,投連買
11	,2308.TW,台達電,281,-1.92,5149,235.5,22.17,14,投連買
12	,2801.TW,彰銀,17.25,-0.29,2566,17.25,3.85,12,投連買
13	,2002.TW,中鋼,30.7,0.16,37216,37.4,-8.9,11,投連買
14	,5871.TW,中租-KY,216.5,0.46,2711,232.5,0.46,11,投連買
15	,5876.TW,上海商銀,44.25,-0.45,2405,44.8,2.38,11,投連買
16	,2330.TW,台積電,455,-2.78,26724,563,-17.4,10,投連買
17	,3044.TW,健鼎,96,1.59,1391,127,-19.12,10,投連買
18	,3711.TW,日月光投控,93.8,-3.6,11870,96.1,5.74,10,投連買
19	,4938.TW,和碩,64.2,0.31,3317,68.6,1.17,10,投連買
20	,6147.TW,頎邦,58.6,0.51,604,68.9,-5.48,10,投連買
21	,6239.TW,力成,81.3,0.62,1926,93.2,-5.67,10,投連買
22	,6415.TW,矽力*-KY,445,1.37,2330,3255,-45.02,10,投連買
23	,6505.TW,台塑化,80.1,-1.11,1418,99.2,-15.87,10,投連買
24	,6531.TW,愛普*,170,0,2500,338,-48.39,10,投連買
25	,3105.TW,穩懋,138,0.36,2757,286,-49.23,9,投連買
26	,1301.TW,台塑,86.8,-0.46,6046,104,-9.65,8,投連買
27	,2303.TW,聯電,41.95,-2.1,34060,49.7,-10.13,8,投連買
28	,3006.TW,晶豪科,66.2,0,3117,157,-53.66,8,投連買
29	,3034.TW,聯詠,301.5,-0.17,3163,452.5,-19.59,8,投連買
30	,8046.TW,南電,242,-0.41,10124,475.5,-47.29,8,投連買
31	,2379.TW,瑞昱,289,-0.52,1352,448,-29.77,7,投連買
32	,3264.TW,欣銓,49.85,-0.89,1243,48.3,9.37,7,投連買
33	,3532.TW,台勝科,142,-2.07,1152,260.5,-44.69,7,投連買
34	,2014.TW,中鴻,27.6,1.1,53751,40.9,-25.22,6,投連買
35	,1560.TW,中砂,109.5,-1.35,2814,108,3.64,5,投連買
36	,2395.TW,研華,333,-1.48,273,350.5,-2.63,5,投連買
37	,4919.TW,新唐,117,-2.09,4502,140,-12.78,5,投連買
