符合條件商品
資料日期：2022年 11月 14日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/14),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(19)
1	,5871.TW,中租-KY,216.5,0.46,2711,190,13.95,13,投連買
2	,2303.TW,聯電,41.95,-2.1,34060,44.9,-6.57,11,投連買
3	,2327.TW,國巨,460,-1.39,1468,439.5,4.66,11,投連買
4	,2454.TW,聯發科,660,-0.15,2431,697,-5.31,11,投連買
5	,4770.TW,上品,300.5,-4.6,1157,306,-1.8,11,投連買
6	,2379.TW,瑞昱,289,-0.52,1352,307.5,-6.02,10,投連買
7	,6274.TW,台燿,52.5,1.16,910,52.3,0.38,9,投連買
8	,3008.TW,大立光,2140,0,324,2050,4.39,7,投連買
9	,3037.TW,欣興,125,2.46,35224,158.5,-21.14,7,投連買
10	,2330.TW,台積電,455,-2.78,26724,445,2.84,6,投連買
11	,3035.TW,智原,159,0.63,7973,163.5,-2.75,6,投連買
12	,5269.TW,祥碩,717,0.14,564,713,0.56,6,投連買
13	,6488.TW,環球晶,435.5,-2.57,2065,463.5,-6.04,6,投連買
14	,9910.TW,豐泰,207.5,-1.19,2962,182.5,13.7,6,投連買
15	,1590.TW,亞德客-KY,911,0,242,915,-0.44,5,投連買
16	,1909.TW,榮成,15.55,-0.32,1849,16.55,-6.04,5,投連買
17	,4966.TW,譜瑞-KY,825,0.86,553,777,6.18,5,投連買
18	,6781.TW,AES-KY,680,1.34,965,677,0.44,5,投連買
19	,8046.TW,南電,242,-0.41,10124,263,-7.98,5,投連買
