符合條件商品
資料日期：2021年 11月  1日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:26 符合檔數(10)
1	,5425.TW,台半,75.3,0,4216,89.3,-12.98,20,投連買
2	,6510.TW,精測,490.5,-1.21,161,774,-34.26,14,投連買
3	,3037.TW,欣興,125,2.46,35224,189,-32.36,9,投連買
4	,1477.TW,聚陽,238.5,0,510,235,6.77,6,投連買
5	,2481.TW,強茂,60.4,-0.33,2094,123.5,-48.37,6,投連買
6	,3707.TW,漢磊,86.9,0,3034,165.5,-47.29,6,投連買
7	,8046.TW,南電,242,-0.41,10124,514,-51.23,6,投連買
8	,2313.TW,華通,45.95,-1.08,9582,42.4,12.48,5,投連買
9	,6182.TW,合晶,41.8,-0.36,1757,68,-36.76,5,投連買
10	,6669.TW,緯穎,819,-1.33,686,928,-8.92,5,投連買
