符合條件商品
資料日期：2022年 11月  3日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:10 符合檔數(24)
1	,1326.TW,台化,69.4,-0.72,1689,68.7,1.02,20,投連買
2	,1402.TW,遠東新,31.55,-4.39,10632,32.3,-2.32,20,投連買
3	,2474.TW,可成,169,-1.74,2651,172.5,-2.03,20,投連買
4	,1760.TW,寶齡富錦,190,8.57,30709,150,26.67,12,投連買
5	,2324.TW,仁寶,22.95,0.44,9576,20.9,9.81,11,投連買
6	,2356.TW,英業達,26,0.19,6530,23.4,11.11,11,投連買
7	,3189.TW,景碩,107,0,9581,106.5,0.47,10,投連買
8	,2881.TW,富邦金,56.7,-0.18,6587,51.7,9.67,9,投連買
9	,3035.TW,智原,159,0.63,7973,144,10.42,9,投連買
10	,6533.TW,晶心科,494.5,-1.69,4905,387,27.78,7,投連買
11	,2330.TW,台積電,455,-2.78,26724,384,19.17,6,投連買
12	,3454.TW,晶睿,207.5,1.22,7571,170,22.06,6,投連買
13	,3653.TW,健策,369.5,-0.81,1389,375,-1.47,6,投連買
14	,4919.TW,新唐,117,-2.09,4502,110.5,5.88,6,投連買
15	,5871.TW,中租-KY,216.5,0.46,2711,154,40.58,6,投連買
16	,6271.TW,同欣電,201,-4.29,2372,181.5,0.18,6,投連買
17	,1101.TW,台泥,34.05,-1.16,23484,30.3,12.38,5,投連買
18	,1590.TW,亞德客-KY,911,0,242,770,18.31,5,投連買
19	,2301.TW,光寶科,64,-0.47,4678,66.4,-3.61,5,投連買
20	,2347.TW,聯強,61,-0.81,2957,52.9,15.31,5,投連買
21	,2892.TW,第一金,26.3,-0.38,6392,24.55,7.13,5,投連買
22	,4743.TW,合一,259.5,-1.14,14786,246,5.49,5,投連買
23	,6245.TW,立端,91.8,-7.09,8513,67.5,36,5,投連買
24	,8916.TW,光隆,52.9,-0.94,490,62.7,-15.63,5,投連買
