符合條件商品
資料日期：2022年 11月 22日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/22),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:07 符合檔數(10)
1	,2327.TW,國巨,460,-1.39,1468,458,0.44,17,投連買
2	,3008.TW,大立光,2140,0,324,2275,-5.93,13,投連買
3	,1513.TW,中興電,66,0.15,12515,55.1,19.78,6,投連買
4	,2201.TW,裕隆,59.1,-1.01,17319,54.9,7.65,6,投連買
5	,4162.TW,智擎,118.5,-2.07,10092,133,-10.9,6,投連買
6	,4919.TW,新唐,117,-2.09,4502,122,-4.1,6,投連買
7	,8299.TW,群聯,305,-0.81,792,333.5,-5.5,6,投連買
8	,2204.TW,中華,50.1,0.91,1497,49.55,1.11,5,投連買
9	,2376.TW,技嘉,106.5,1.43,5227,107,-0.47,5,投連買
10	,6223.TW,旺矽,111.5,-3.46,3050,108.5,2.76,5,投連買
