符合條件商品
資料日期：2021年 12月 30日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/30),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:19 符合檔數(11)
1	,2002.TW,中鋼,30.7,0.16,37216,35.35,-3.61,13,投連買
2	,2347.TW,聯強,61,-0.81,2957,66.2,-0.78,12,投連買
3	,8299.TW,群聯,305,-0.81,792,512,-35.67,12,投連買
4	,6488.TW,環球晶,435.5,-2.57,2065,888,-49.58,7,投連買
5	,2108.TW,南帝,38.2,-0.26,608,85.2,-50.39,5,投連買
6	,2458.TW,義隆,86.1,-1.71,718,170,-42.76,5,投連買
7	,2542.TW,興富發,40.35,-3.93,8630,46.25,4.75,5,投連買
8	,5483.TW,中美晶,143.5,-1.37,3418,236,-36.28,5,投連買
9	,6176.TW,瑞儀,106,0.47,1064,101,14.32,5,投連買
10	,6271.TW,同欣電,201,-4.29,2372,297.5,-35.81,5,投連買
11	,6515.TW,穎崴,404,-1.46,559,433.5,-3.9,5,投連買
