符合條件商品
資料日期：2022年  5月 27日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(05/27),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:39 符合檔數(16)
1	,2317.TW,鴻海,101,0,15490,110,-3.44,20,投連買
2	,2885.TW,元大金,21.8,-0.91,10786,23.15,3.66,20,投連買
3	,2383.TW,台光電,176.5,-0.84,2034,232.5,-19.43,11,投連買
4	,6415.TW,矽力*-KY,445,1.37,2330,2775,-35.86,9,投連買
5	,2881.TW,富邦金,56.7,-0.18,6587,61.3,3.22,8,投連買
6	,1605.TW,華新,46.75,-1.68,42087,45.25,7.55,7,投連買
7	,4915.TW,致伸,55.1,-0.9,3460,61.1,-4.8,7,投連買
8	,6279.TW,胡連,149.5,-1.64,1303,125,23.41,7,投連買
9	,1101.TW,台泥,34.05,-1.16,23484,42.2,-9.05,6,投連買
10	,2324.TW,仁寶,22.95,0.44,9576,22.8,0.66,6,投連買
11	,2330.TW,台積電,455,-2.78,26724,530,-12.69,6,投連買
12	,2353.TW,宏碁,23.15,0.22,5082,28.6,-11.03,6,投連買
13	,2377.TW,微星,119.5,1.7,2513,132,-1.35,6,投連買
14	,2382.TW,廣達,71.2,-0.97,4354,77.2,0.03,6,投連買
15	,2609.TW,陽明,67.3,-1.03,57425,128,-33.99,6,投連買
16	,3552.TW,同致,141.5,1.07,902,182.5,-21.24,5,投連買
