符合條件商品
資料日期：2022年 11月  8日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(23)
1	,2474.TW,可成,169,-1.74,2651,174.5,-3.15,20,投連買
2	,2324.TW,仁寶,22.95,0.44,9576,21.45,6.99,14,投連買
3	,2356.TW,英業達,26,0.19,6530,24,8.33,14,投連買
4	,2881.TW,富邦金,56.7,-0.18,6587,53.2,6.58,12,投連買
5	,6533.TW,晶心科,494.5,-1.69,4905,411.5,20.17,10,投連買
6	,5871.TW,中租-KY,216.5,0.46,2711,166,30.42,9,投連買
7	,2892.TW,第一金,26.3,-0.38,6392,25.1,4.78,8,投連買
8	,2303.TW,聯電,41.95,-2.1,34060,40.15,4.48,7,投連買
9	,2327.TW,國巨,460,-1.39,1468,393.5,16.9,7,投連買
10	,2408.TW,南亞科,51.4,-0.58,5241,57.1,-9.98,7,投連買
11	,2454.TW,聯發科,660,-0.15,2431,620,6.45,7,投連買
12	,3702.TW,大聯大,47.8,-0.52,2583,45.75,4.48,7,投連買
13	,4770.TW,上品,300.5,-4.6,1157,273,10.07,7,投連買
14	,2353.TW,宏碁,23.15,0.22,5082,24.05,-3.74,6,投連買
15	,2379.TW,瑞昱,289,-0.52,1352,268,7.84,6,投連買
16	,2882.TW,國泰金,41.15,1.86,33982,39.7,3.65,6,投連買
17	,2883.TW,開發金,12.7,-0.78,8936,12.45,2.01,6,投連買
18	,2885.TW,元大金,21.8,-0.91,10786,20.3,7.39,6,投連買
19	,2890.TW,永豐金,16.7,-4.84,27291,16.5,1.21,6,投連買
20	,2891.TW,中信金,21.9,-1.13,23817,21.55,1.62,6,投連買
21	,4977.TW,眾達-KY,97.5,-1.42,2016,97.5,0,6,投連買
22	,6274.TW,台燿,52.5,1.16,910,49.45,6.17,5,投連買
23	,6643.TW,M31,504,0,3247,382,31.94,5,投連買
