符合條件商品
資料日期：2022年  8月  1日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(08/01),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:29 符合檔數(76)
1	,1101.TW,台泥,34.05,-1.16,23484,39.5,-13.8,20,投連買
2	,1402.TW,遠東新,31.55,-4.39,10632,30.1,4.82,20,投連買
3	,2352.TW,佳世達,27.5,1.66,4573,28.5,-3.51,20,投連買
4	,2377.TW,微星,119.5,1.7,2513,116,12.26,20,投連買
5	,2382.TW,廣達,71.2,-0.97,4354,78.4,-9.18,20,投連買
6	,3702.TW,大聯大,47.8,-0.52,2583,50.5,-5.35,20,投連買
7	,1304.TW,台聚,22.1,1.61,6105,22.75,-2.86,13,投連買
8	,1717.TW,長興,31.5,-1.25,930,32.15,-5.35,13,投連買
9	,1102.TW,亞泥,41.55,0.24,6062,41.35,0.48,12,投連買
10	,1710.TW,東聯,18.5,1.09,1345,17.6,5.11,12,投連買
11	,2014.TW,中鴻,27.6,1.1,53751,27.1,1.85,12,投連買
12	,1314.TW,中石化,9.86,-1,4928,10.35,-4.73,11,投連買
13	,1907.TW,永豐餘,24.45,-1.21,810,24.2,1.03,11,投連買
14	,2002.TW,中鋼,30.7,0.16,37216,28.6,7.34,11,投連買
15	,2441.TW,超豐,48.2,-2.33,4006,63.2,-17.41,11,投連買
16	,2615.TW,萬海,86.2,-1.15,55180,107.5,-19.81,11,投連買
17	,2880.TW,華南金,22.5,-1.1,4175,23.25,3.35,11,投連買
18	,2890.TW,永豐金,16.7,-4.84,27291,16.8,5.16,11,投連買
19	,2892.TW,第一金,26.3,-0.38,6392,27,3.18,11,投連買
20	,3036.TW,文曄,62.7,-0.95,1327,70.2,-10.68,11,投連買
21	,4915.TW,致伸,55.1,-0.9,3460,71,-22.39,11,投連買
22	,5522.TW,遠雄,58.5,0.34,1205,62.6,-3.03,11,投連買
23	,5880.TW,合庫金,25.95,-0.76,4866,27.45,0.89,11,投連買
24	,6770.TW,力積電,33.3,-0.3,10173,35.65,-4.61,11,投連買
25	,1434.TW,福懋,26.3,-0.19,479,26.2,0.38,10,投連買
26	,1504.TW,東元,27.25,-0.37,1749,29,-6.03,10,投連買
27	,1722.TW,台肥,53.1,-0.56,1033,64.6,-14.16,10,投連買
28	,2105.TW,正新,33.75,-0.74,1203,36.1,-6.51,10,投連買
29	,2356.TW,英業達,26,0.19,6530,23.7,9.7,10,投連買
30	,3711.TW,日月光投控,93.8,-3.6,11870,86.3,8.69,10,投連買
31	,6005.TW,群益證,11.1,0,1344,11.55,-3.9,10,投連買
32	,2887.TW,台新金,15.2,0,6593,15.8,4.61,9,投連買
33	,2207.TW,和泰車,592,-0.67,113,601,-1.5,8,投連買
34	,2834.TW,臺企銀,12.9,-0.39,8238,12.5,7.86,8,投連買
35	,6446.TW,藥華藥,488.5,-1.81,841,566,-13.69,8,投連買
36	,2385.TW,群光,87.2,0.11,1118,79,10.38,7,投連買
37	,2845.TW,遠東銀,11.1,-0.89,1864,11.4,2.49,7,投連買
38	,3665.TW,貿聯-KY,251,-2.33,1391,311.5,-19.42,7,投連買
39	,3680.TW,家登,254.5,0.79,478,246.5,4.8,7,投連買
40	,5871.TW,中租-KY,216.5,0.46,2711,213,1.64,7,投連買
41	,6829.TW,千附精密,73.2,0.69,155,71,3.1,7,投連買
42	,1303.TW,南亞,70.3,-1.54,4616,68.5,2.63,6,投連買
43	,1326.TW,台化,69.4,-0.72,1689,70.1,-1,6,投連買
44	,1904.TW,正隆,27.15,-1.09,381,27.1,0.18,6,投連買
45	,2301.TW,光寶科,64,-0.47,4678,65,0.68,6,投連買
46	,2324.TW,仁寶,22.95,0.44,9576,23.1,-0.65,6,投連買
47	,2327.TW,國巨,460,-1.39,1468,341,8.2,6,投連買
48	,2330.TW,台積電,455,-2.78,26724,504,-8.68,6,投連買
49	,2347.TW,聯強,61,-0.81,2957,55.8,9.32,6,投連買
50	,2353.TW,宏碁,23.15,0.22,5082,22.55,2.66,6,投連買
51	,2357.TW,華碩,271,-1.63,1392,282.5,-4.07,6,投連買
52	,2408.TW,南亞科,51.4,-0.58,5241,52.2,-1.53,6,投連買
53	,2412.TW,中華電,112.5,-0.44,6521,122,-7.79,6,投連買
54	,2606.TW,裕民,50.1,-3.47,10468,42.6,17.61,6,投連買
55	,2881.TW,富邦金,56.7,-0.18,6587,56.6,5.19,6,投連買
56	,2885.TW,元大金,21.8,-0.91,10786,20.3,10.6,6,投連買
57	,3034.TW,聯詠,301.5,-0.17,3163,262,15.08,6,投連買
58	,3045.TW,台灣大,94.8,0,2514,101.5,-6.6,6,投連買
59	,4904.TW,遠傳,65.7,-0.3,2525,75.3,-12.75,6,投連買
60	,4938.TW,和碩,64.2,0.31,3317,62.3,3.05,6,投連買
61	,6491.TW,晶碩,404.5,-1.94,432,440,-8.07,6,投連買
62	,9907.TW,統一實,17.05,-0.29,1397,16.45,3.65,6,投連買
63	,1513.TW,中興電,66,0.15,12515,59.1,11.68,5,投連買
64	,1605.TW,華新,46.75,-1.68,42087,33.4,39.97,5,投連買
65	,2006.TW,東和鋼鐵,53.2,0.95,1881,52.9,0.57,5,投連買
66	,2308.TW,台達電,281,-1.92,5149,258.5,8.7,5,投連買
67	,2458.TW,義隆,86.1,-1.71,718,109,-21.01,5,投連買
68	,2609.TW,陽明,67.3,-1.03,57425,90,-25.22,5,投連買
69	,2888.TW,新光金,8.75,-0.57,13386,8.65,1.16,5,投連買
70	,3081.TW,聯亞,110.5,-0.9,1673,139.5,-20.79,5,投連買
71	,3218.TW,大學光,290,0.17,438,328.5,-7.31,5,投連買
72	,3231.TW,緯創,29.9,-0.83,12268,26.3,13.69,5,投連買
73	,3661.TW,世芯-KY,803,-1.35,2950,658,23.58,5,投連買
74	,6147.TW,頎邦,58.6,0.51,604,55.6,5.4,5,投連買
75	,6176.TW,瑞儀,106,0.47,1064,93.2,13.73,5,投連買
76	,8069.TW,元太,167,-1.47,11565,189.5,-11.87,5,投連買
