符合條件商品
資料日期：2022年 11月 17日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/17),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:08 符合檔數(10)
1	,2327.TW,國巨,460,-1.39,1468,466,-1.29,14,投連買
2	,2454.TW,聯發科,660,-0.15,2431,725,-8.97,14,投連買
3	,6274.TW,台燿,52.5,1.16,910,55.1,-4.72,12,投連買
4	,3008.TW,大立光,2140,0,324,2315,-7.56,10,投連買
5	,1909.TW,榮成,15.55,-0.32,1849,16.4,-5.18,8,投連買
6	,4966.TW,譜瑞-KY,825,0.86,553,783,5.36,8,投連買
7	,5347.TW,世界,81.5,-1.69,3288,90.7,-10.14,7,投連買
8	,3592.TW,瑞鼎,307.5,0,497,321.5,-4.35,6,投連買
9	,2606.TW,裕民,50.1,-3.47,10468,43.45,15.3,5,投連買
10	,8358.TW,金居,51.3,-0.58,1372,51.8,-0.97,5,投連買
