符合條件商品
資料日期：2021年 11月 24日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/24),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:23 符合檔數(12)
1	,2891.TW,中信金,21.9,-1.13,23817,24.8,-6.73,15,投連買
2	,2890.TW,永豐金,16.7,-4.84,27291,15.5,13.99,14,投連買
3	,6669.TW,緯穎,819,-1.33,686,990,-14.62,12,投連買
4	,2454.TW,聯發科,660,-0.15,2431,1040,-30.23,11,投連買
5	,8422.TW,可寧衛,177.5,0,124,242,-22.62,10,投連買
6	,2603.TW,長榮,167.5,-2.33,36972,120,-27.69,9,投連買
7	,6457.TW,紘康,62.5,-1.26,183,218,-67.11,9,投連買
8	,2882.TW,國泰金,41.15,1.86,33982,61.1,-27.55,7,投連買
9	,3483.TW,力致,54.3,0.18,103,97,-41.22,7,投連買
10	,2327.TW,國巨,460,-1.39,1468,468,-18.23,5,投連買
11	,2455.TW,全新,67,0,1464,149.5,-52.87,5,投連買
12	,6679.TW,鈺太,229,0.44,465,368.5,-36.38,5,投連買
