符合條件商品
資料日期：2022年 11月 10日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/10),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:09 符合檔數(18)
1	,2881.TW,富邦金,56.7,-0.18,6587,52.8,7.39,14,投連買
2	,5871.TW,中租-KY,216.5,0.46,2711,168.5,28.49,11,投連買
3	,2892.TW,第一金,26.3,-0.38,6392,25.15,4.57,10,投連買
4	,2303.TW,聯電,41.95,-2.1,34060,41.65,0.72,9,投連買
5	,2327.TW,國巨,460,-1.39,1468,421.5,9.13,9,投連買
6	,2408.TW,南亞科,51.4,-0.58,5241,58,-11.38,9,投連買
7	,2454.TW,聯發科,660,-0.15,2431,660,0,9,投連買
8	,4770.TW,上品,300.5,-4.6,1157,282,6.56,9,投連買
9	,2379.TW,瑞昱,289,-0.52,1352,283,2.12,8,投連買
10	,2882.TW,國泰金,41.15,1.86,33982,39.65,3.78,8,投連買
11	,2883.TW,開發金,12.7,-0.78,8936,12.3,3.25,8,投連買
12	,2890.TW,永豐金,16.7,-4.84,27291,16.45,1.52,8,投連買
13	,4977.TW,眾達-KY,97.5,-1.42,2016,97.1,0.41,8,投連買
14	,6274.TW,台燿,52.5,1.16,910,49.2,6.71,7,投連買
15	,2376.TW,技嘉,106.5,1.43,5227,100.5,5.97,6,投連買
16	,4904.TW,遠傳,65.7,-0.3,2525,68.5,-4.09,6,投連買
17	,3008.TW,大立光,2140,0,324,1965,8.91,5,投連買
18	,3037.TW,欣興,125,2.46,35224,147,-14.97,5,投連買
