符合條件商品
資料日期：2021年 11月  9日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/09),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:25 符合檔數(21)
1	,9917.TW,中保科,99.6,1.32,404,105,-0.42,9,投連買
2	,1102.TW,亞泥,41.55,0.24,6062,44.8,0.44,8,投連買
3	,1402.TW,遠東新,31.55,-4.39,10632,29.9,10.74,8,投連買
4	,2301.TW,光寶科,64,-0.47,4678,61.6,10.1,8,投連買
5	,2376.TW,技嘉,106.5,1.43,5227,136.5,-10.32,8,投連買
6	,2412.TW,中華電,112.5,-0.44,6521,111.5,4.59,8,投連買
7	,2820.TW,華票,14.55,0,290,16.95,-9.29,8,投連買
8	,2883.TW,開發金,12.7,-0.78,8936,14.3,-4.51,8,投連買
9	,2888.TW,新光金,8.75,-0.57,13386,9.88,-7.41,8,投連買
10	,2889.TW,國票金,11.35,0,2314,15.75,-21.07,8,投連買
11	,2892.TW,第一金,26.3,-0.38,6392,23.05,20.86,8,投連買
12	,2912.TW,統一超,268,-1.47,996,290.5,-4.73,8,投連買
13	,5434.TW,崇越,167.5,0.9,197,141.5,25,8,投連買
14	,1326.TW,台化,69.4,-0.72,1689,80.6,-8.5,7,投連買
15	,2603.TW,長榮,167.5,-2.33,36972,122,-28.88,7,投連買
16	,3596.TW,智易,98.3,-0.2,490,114.5,-8.46,7,投連買
17	,2377.TW,微星,119.5,1.7,2513,159.5,-18.35,6,投連買
18	,2618.TW,長榮航,28.1,-2.09,27994,24.95,14.83,6,投連買
19	,2882.TW,國泰金,41.15,1.86,33982,58.5,-24.33,6,投連買
20	,3481.TW,群創,11.1,0,42046,18,-32.81,6,投連買
21	,6182.TW,合晶,41.8,-0.36,1757,68.3,-37.04,5,投連買
