符合條件商品
資料日期：2022年  1月 18日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/18),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:14 符合檔數(21)
1	,2108.TW,南帝,38.2,-0.26,608,84.9,-50.22,17,投連買
2	,2458.TW,義隆,86.1,-1.71,718,161.5,-39.75,17,投連買
3	,6176.TW,瑞儀,106,0.47,1064,105,9.97,17,投連買
4	,2382.TW,廣達,71.2,-0.97,4354,93.4,-17.32,15,投連買
5	,6116.TW,彩晶,11.1,0.91,3518,16.7,-28.06,15,投連買
6	,2356.TW,英業達,26,0.19,6530,25.15,9.8,11,投連買
7	,2883.TW,開發金,12.7,-0.78,8936,19.1,-28.49,11,投連買
8	,2887.TW,台新金,15.2,0,6593,20.7,-20.17,11,投連買
9	,3231.TW,緯創,29.9,-0.83,12268,30,8.77,11,投連買
10	,4938.TW,和碩,64.2,0.31,3317,70.4,-1.43,11,投連買
11	,3661.TW,世芯-KY,803,-1.35,2950,968,-16,10,投連買
12	,3714.TW,富采,46.6,-0.96,1148,91.6,-47.26,10,投連買
13	,6548.TW,長科*,29.95,0,316,98.2,-20.49,10,投連買
14	,2409.TW,友達,15.4,0.65,36394,21.85,-30.1,9,投連買
15	,3706.TW,神達,29.7,-0.17,1384,33.75,-6.07,9,投連買
16	,3264.TW,欣銓,49.85,-0.89,1243,52.7,0.24,8,投連買
17	,6147.TW,頎邦,58.6,0.51,604,70,-6.97,8,投連買
18	,8155.TW,博智,108,-1.37,385,189.5,-40.13,8,投連買
19	,4966.TW,譜瑞-KY,825,0.86,553,2020,-58.03,6,投連買
20	,1434.TW,福懋,26.3,-0.19,479,29.05,-5.9,5,投連買
21	,2059.TW,川湖,395,-0.63,106,474,-14.66,5,投連買
