符合條件商品
資料日期：2022年  1月  5日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/05),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:18 符合檔數(20)
1	,2347.TW,聯強,61,-0.81,2957,66.1,-0.64,15,投連買
2	,6488.TW,環球晶,435.5,-2.57,2065,879,-49.06,10,投連買
3	,2108.TW,南帝,38.2,-0.26,608,84.5,-49.97,8,投連買
4	,2458.TW,義隆,86.1,-1.71,718,170,-42.76,8,投連買
5	,2542.TW,興富發,40.35,-3.93,8630,46.1,5.11,8,投連買
6	,5483.TW,中美晶,143.5,-1.37,3418,247,-39.11,8,投連買
7	,6176.TW,瑞儀,106,0.47,1064,101.5,13.76,8,投連買
8	,3481.TW,群創,11.1,0,42046,19.4,-37.68,7,投連買
9	,1440.TW,南紡,17.3,-1.42,812,25.25,-28.28,6,投連買
10	,2353.TW,宏碁,23.15,0.22,5082,31.05,-18.05,6,投連買
11	,2382.TW,廣達,71.2,-0.97,4354,93.5,-17.41,6,投連買
12	,2637.TW,慧洋-KY,64.8,-3.28,13996,81.4,-15.98,6,投連買
13	,3008.TW,大立光,2140,0,324,2610,-13.68,6,投連買
14	,3042.TW,晶技,83,0.73,539,106,-14.65,6,投連買
15	,6116.TW,彩晶,11.1,0.91,3518,17.3,-30.54,6,投連買
16	,8415.TW,大國鋼,38.35,-0.78,181,38.3,5.39,6,投連買
17	,4770.TW,上品,300.5,-4.6,1157,272,14.05,5,投連買
18	,5234.TW,達興材料,67.2,0.15,91,150,-52.16,5,投連買
19	,6278.TW,台表科,92.4,-0.86,1062,131,-23.88,5,投連買
20	,8155.TW,博智,108,-1.37,385,164,-30.83,5,投連買
