符合條件商品
資料日期：2022年  6月  8日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/08),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(13)
1	,2317.TW,鴻海,101,0,15490,114,-6.84,20,投連買
2	,6415.TW,矽力*-KY,445,1.37,2330,2840,-37.32,16,投連買
3	,2474.TW,可成,169,-1.74,2651,173,3.53,11,投連買
4	,3702.TW,大聯大,47.8,-0.52,2583,57.2,-10.5,10,投連買
5	,5876.TW,上海商銀,44.25,-0.45,2405,52.8,-13.13,10,投連買
6	,6146.TW,耕興,231,2.21,247,199.5,21.73,9,投連買
7	,2454.TW,聯發科,660,-0.15,2431,930,-21.97,8,投連買
8	,3707.TW,漢磊,86.9,0,3034,133.5,-34.65,7,投連買
9	,5274.TW,信驊,1830,0.83,312,2435,-16.09,7,投連買
10	,5425.TW,台半,75.3,0,4216,86.5,-10.15,6,投連買
11	,2379.TW,瑞昱,289,-0.52,1352,451,-30.24,5,投連買
12	,2723.TW,美食-KY,139,0.72,443,104.5,39.67,5,投連買
13	,5269.TW,祥碩,717,0.14,564,1435,-48.64,5,投連買
