符合條件商品
資料日期：2021年 12月  3日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:22 符合檔數(10)
1	,6669.TW,緯穎,819,-1.33,686,998,-15.31,19,投連買
2	,2412.TW,中華電,112.5,-0.44,6521,113.5,2.75,11,投連買
3	,2344.TW,華邦電,20.1,-0.99,9528,32.6,-35.97,10,投連買
4	,2408.TW,南亞科,51.4,-0.58,5241,78.8,-30.25,10,投連買
5	,3532.TW,台勝科,142,-2.07,1152,255.5,-43.6,10,投連買
6	,3653.TW,健策,369.5,-0.81,1389,445,-6.76,9,投連買
7	,2353.TW,宏碁,23.15,0.22,5082,30.15,-15.6,8,投連買
8	,2885.TW,元大金,21.8,-0.91,10786,24.75,-3.02,8,投連買
9	,3675.TW,德微,168,2.75,1849,280.5,-38.7,7,投連買
10	,3217.TW,優群,80.7,0.37,119,124,-29.61,6,投連買
