符合條件商品
資料日期：2022年  6月 13日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(06/13),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:35 符合檔數(10)
1	,2317.TW,鴻海,101,0,15490,111.5,-4.74,20,投連買
2	,3702.TW,大聯大,47.8,-0.52,2583,56.8,-9.86,13,投連買
3	,5876.TW,上海商銀,44.25,-0.45,2405,50.7,-9.53,13,投連買
4	,2454.TW,聯發科,660,-0.15,2431,887,-18.19,11,投連買
5	,3707.TW,漢磊,86.9,0,3034,133.5,-34.65,10,投連買
6	,5269.TW,祥碩,717,0.14,564,1350,-45.41,8,投連買
7	,2313.TW,華通,45.95,-1.08,9582,47.35,-2.96,7,投連買
8	,3708.TW,上緯投控,94.6,-1.77,1112,130,-26.34,6,投連買
9	,1560.TW,中砂,109.5,-1.35,2814,165.5,-32.37,5,投連買
10	,9910.TW,豐泰,207.5,-1.19,2962,192.5,10.36,5,投連買
