符合條件商品
資料日期：2021年 11月 29日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(11/29),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:23 符合檔數(18)
1	,2890.TW,永豐金,16.7,-4.84,27291,15,17.77,17,投連買
2	,6669.TW,緯穎,819,-1.33,686,1020,-17.14,15,投連買
3	,8422.TW,可寧衛,177.5,0,124,239.5,-21.82,13,投連買
4	,2882.TW,國泰金,41.15,1.86,33982,59.3,-25.34,10,投連買
5	,2327.TW,國巨,460,-1.39,1468,459.5,-16.72,8,投連買
6	,6679.TW,鈺太,229,0.44,465,369.5,-36.55,8,投連買
7	,2412.TW,中華電,112.5,-0.44,6521,112.5,3.66,7,投連買
8	,2886.TW,兆豐金,30.55,-0.97,8425,33.9,-4.02,7,投連買
9	,2344.TW,華邦電,20.1,-0.99,9528,30.9,-32.44,6,投連買
10	,2408.TW,南亞科,51.4,-0.58,5241,73.3,-25.02,6,投連買
11	,3532.TW,台勝科,142,-2.07,1152,242,-40.46,6,投連買
12	,5483.TW,中美晶,143.5,-1.37,3418,205,-26.64,6,投連買
13	,6182.TW,合晶,41.8,-0.36,1757,84.9,-49.35,6,投連買
14	,6488.TW,環球晶,435.5,-2.57,2065,826,-45.8,6,投連買
15	,1722.TW,台肥,53.1,-0.56,1033,68.5,-19.04,5,投連買
16	,3653.TW,健策,369.5,-0.81,1389,424,-2.14,5,投連買
17	,4919.TW,新唐,117,-2.09,4502,156,-21.72,5,投連買
18	,5274.TW,信驊,1830,0.83,312,3150,-35.14,5,投連買
