符合條件商品
資料日期：2022年  4月 15日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(04/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:45 符合檔數(49)
1	,2324.TW,仁寶,22.95,0.44,9576,25.45,-2.13,20,投連買
2	,2347.TW,聯強,61,-0.81,2957,77.6,-15.36,20,投連買
3	,2356.TW,英業達,26,0.19,6530,25.35,8.92,20,投連買
4	,2353.TW,宏碁,23.15,0.22,5082,28.1,-9.46,19,投連買
5	,2458.TW,義隆,86.1,-1.71,718,159.5,-39,19,投連買
6	,2357.TW,華碩,271,-1.63,1392,356.5,-12.46,18,投連買
7	,3443.TW,創意,726,-0.55,5389,457.5,60.68,18,投連買
8	,2031.TW,新光鋼,44,-0.56,5573,75.5,-35.12,16,投連買
9	,4958.TW,臻鼎-KY,108,-1.37,2633,105,7.71,14,投連買
10	,2308.TW,台達電,281,-1.92,5149,249.5,15.31,13,投連買
11	,2345.TW,智邦,237.5,-6.5,4085,224,8.6,12,投連買
12	,3481.TW,群創,11.1,0,42046,15.65,-22.76,11,投連買
13	,3034.TW,聯詠,301.5,-0.17,3163,400,-9.04,10,投連買
14	,5274.TW,信驊,1830,0.83,312,3205,-36.25,10,投連買
15	,6116.TW,彩晶,11.1,0.91,3518,14.05,-14.48,10,投連買
16	,1326.TW,台化,69.4,-0.72,1689,79.3,-7.01,9,投連買
17	,1722.TW,台肥,53.1,-0.56,1033,78.4,-29.27,9,投連買
18	,2801.TW,彰銀,17.25,-0.29,2566,18.75,-4.43,9,投連買
19	,2880.TW,華南金,22.5,-1.1,4175,24.25,-0.88,9,投連買
20	,2883.TW,開發金,12.7,-0.78,8936,19,-28.13,9,投連買
21	,2890.TW,永豐金,16.7,-4.84,27291,18.5,-4.52,9,投連買
22	,4904.TW,遠傳,65.7,-0.3,2525,75.5,-9.43,9,投連買
23	,5880.TW,合庫金,25.95,-0.76,4866,29.25,-5.29,9,投連買
24	,6147.TW,頎邦,58.6,0.51,604,67.2,-3.09,9,投連買
25	,6443.TW,元晶,34.1,1.19,7879,45.05,-24.31,9,投連買
26	,1504.TW,東元,27.25,-0.37,1749,33.45,-14.66,8,投連買
27	,2379.TW,瑞昱,289,-0.52,1352,398,-20.95,8,投連買
28	,2412.TW,中華電,112.5,-0.44,6521,129.5,-9.95,8,投連買
29	,3406.TW,玉晶光,364,-0.68,820,418,-11.17,8,投連買
30	,3624.TW,光頡,40.35,0.62,414,88,-52.2,8,投連買
31	,2301.TW,光寶科,64,-0.47,4678,67.6,-3.21,7,投連買
32	,2382.TW,廣達,71.2,-0.97,4354,85.9,-10.1,7,投連買
33	,2498.TW,宏達電,55,-0.72,14502,54.2,1.48,7,投連買
34	,2618.TW,長榮航,28.1,-2.09,27994,36.3,-21.07,7,投連買
35	,5009.TW,榮剛,37.5,-0.66,11974,29.95,25.21,7,投連買
36	,9958.TW,世紀鋼,88.9,-1.22,9352,130.5,-29.26,7,投連買
37	,1402.TW,遠東新,31.55,-4.39,10632,30.4,8.94,6,投連買
38	,2059.TW,川湖,395,-0.63,106,425,-4.82,6,投連買
39	,2354.TW,鴻準,51.4,-1.15,1092,60.6,-12,6,投連買
40	,2603.TW,長榮,167.5,-2.33,36972,141.5,-38.68,6,投連買
41	,2609.TW,陽明,67.3,-1.03,57425,124,-31.86,6,投連買
42	,2881.TW,富邦金,56.7,-0.18,6587,75.1,-15.75,6,投連買
43	,2885.TW,元大金,21.8,-0.91,10786,26.6,-9.77,6,投連買
44	,2887.TW,台新金,15.2,0,6593,20,-17.35,6,投連買
45	,2368.TW,金像電,88.4,-1.12,3685,80.4,2.97,5,投連買
46	,2377.TW,微星,119.5,1.7,2513,120.5,8.07,5,投連買
47	,2395.TW,研華,333,-1.48,273,366.5,-6.88,5,投連買
48	,3533.TW,嘉澤,829,0.36,375,702,21.05,5,投連買
49	,3707.TW,漢磊,86.9,0,3034,123,-29.07,5,投連買
