符合條件商品
資料日期：2022年  1月  4日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/04),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:18 符合檔數(17)
1	,2347.TW,聯強,61,-0.81,2957,65.9,-0.33,14,投連買
2	,6488.TW,環球晶,435.5,-2.57,2065,885,-49.41,9,投連買
3	,2108.TW,南帝,38.2,-0.26,608,85.1,-50.33,7,投連買
4	,2458.TW,義隆,86.1,-1.71,718,168.5,-42.26,7,投連買
5	,2542.TW,興富發,40.35,-3.93,8630,46.15,5,7,投連買
6	,5483.TW,中美晶,143.5,-1.37,3418,245,-38.61,7,投連買
7	,6176.TW,瑞儀,106,0.47,1064,102,13.2,7,投連買
8	,3481.TW,群創,11.1,0,42046,19.5,-37.99,6,投連買
9	,1303.TW,南亞,70.3,-1.54,4616,86.2,-10.08,5,投連買
10	,1440.TW,南紡,17.3,-1.42,812,25.3,-28.42,5,投連買
11	,2353.TW,宏碁,23.15,0.22,5082,30.25,-15.88,5,投連買
12	,2382.TW,廣達,71.2,-0.97,4354,93.5,-17.41,5,投連買
13	,2637.TW,慧洋-KY,64.8,-3.28,13996,81,-15.56,5,投連買
14	,3008.TW,大立光,2140,0,324,2695,-16.4,5,投連買
15	,3042.TW,晶技,83,0.73,539,107.5,-15.85,5,投連買
16	,6116.TW,彩晶,11.1,0.91,3518,17.65,-31.9,5,投連買
17	,8415.TW,大國鋼,38.35,-0.78,181,38.05,6.09,5,投連買
