符合條件商品
資料日期：2022年 12月  2日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/02),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:06 符合檔數(20)
1	,1303.TW,南亞,70.3,-1.54,4616,77.1,-8.82,12,投連買
2	,2347.TW,聯強,61,-0.81,2957,59.9,1.84,12,投連買
3	,2353.TW,宏碁,23.15,0.22,5082,24.95,-7.21,12,投連買
4	,2357.TW,華碩,271,-1.63,1392,277,-2.17,12,投連買
5	,2881.TW,富邦金,56.7,-0.18,6587,60.1,-5.66,11,投連買
6	,2379.TW,瑞昱,289,-0.52,1352,326,-11.35,9,投連買
7	,2882.TW,國泰金,41.15,1.86,33982,44,-6.48,9,投連買
8	,2883.TW,開發金,12.7,-0.78,8936,13.45,-5.58,9,投連買
9	,2891.TW,中信金,21.9,-1.13,23817,22.5,-2.67,9,投連買
10	,3702.TW,大聯大,47.8,-0.52,2583,48.5,-1.44,9,投連買
11	,5269.TW,祥碩,717,0.14,564,785,-8.66,9,投連買
12	,8454.TW,富邦媒,626,0,570,608,2.96,9,投連買
13	,2002.TW,中鋼,30.7,0.16,37216,29,5.86,7,投連買
14	,2454.TW,聯發科,660,-0.15,2431,739,-10.69,7,投連買
15	,3035.TW,智原,159,0.63,7973,176.5,-9.92,7,投連買
16	,4162.TW,智擎,118.5,-2.07,10092,140.5,-15.66,7,投連買
17	,2338.TW,光罩,86.3,0.94,3470,95.7,-9.82,6,投連買
18	,5425.TW,台半,75.3,0,4216,84.6,-10.99,6,投連買
19	,5434.TW,崇越,167.5,0.9,197,169,-0.89,5,投連買
20	,6683.TW,雍智科技,189.5,0.26,103,213.5,-11.24,5,投連買
