符合條件商品
資料日期：2022年  1月  3日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(01/03),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 17:19 符合檔數(12)
1	,2347.TW,聯強,61,-0.81,2957,66.1,-0.64,13,投連買
2	,6488.TW,環球晶,435.5,-2.57,2065,871,-48.6,8,投連買
3	,2108.TW,南帝,38.2,-0.26,608,85,-50.27,6,投連買
4	,2458.TW,義隆,86.1,-1.71,718,167.5,-41.91,6,投連買
5	,2542.TW,興富發,40.35,-3.93,8630,46.25,4.75,6,投連買
6	,5483.TW,中美晶,143.5,-1.37,3418,231.5,-35.04,6,投連買
7	,6176.TW,瑞儀,106,0.47,1064,101.5,13.76,6,投連買
8	,6515.TW,穎崴,404,-1.46,559,428.5,-2.78,6,投連買
9	,2409.TW,友達,15.4,0.65,36394,22.6,-32.4,5,投連買
10	,2454.TW,聯發科,660,-0.15,2431,1150,-36.9,5,投連買
11	,3481.TW,群創,11.1,0,42046,19.2,-37.04,5,投連買
12	,3707.TW,漢磊,86.9,0,3034,144.5,-39.62,5,投連買
