符合條件商品
資料日期：2022年  7月 15日
策略,	009投信5連買
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(07/15),	區間漲幅%,	連買次數,	主融外自投
執行時間：2022-12-25 16:31 符合檔數(18)
1	,1402.TW,遠東新,31.55,-4.39,10632,31.7,4.47,20,投連買
2	,2308.TW,台達電,281,-1.92,5149,245,14.69,20,投連買
3	,2474.TW,可成,169,-1.74,2651,168,6.61,20,投連買
4	,3008.TW,大立光,2140,0,324,1990,9.62,20,投連買
5	,1101.TW,台泥,34.05,-1.16,23484,40.5,-5.26,16,投連買
6	,3702.TW,大聯大,47.8,-0.52,2583,51.8,-1.18,16,投連買
7	,2382.TW,廣達,71.2,-0.97,4354,79.7,-3.1,15,投連買
8	,2352.TW,佳世達,27.5,1.66,4573,30.25,-1.01,10,投連買
9	,2377.TW,微星,119.5,1.7,2513,111,17.32,10,投連買
10	,6781.TW,AES-KY,680,1.34,965,1075,-36.74,8,投連買
11	,2633.TW,台灣高鐵,28.75,-0.52,2418,29.3,-1.88,7,投連買
12	,3231.TW,緯創,29.9,-0.83,12268,24.45,22.29,7,投連買
13	,6669.TW,緯穎,819,-1.33,686,715,14.55,7,投連買
14	,8028.TW,昇陽半導體,57.5,-2.87,2439,73.1,-15.63,7,投連買
15	,3017.TW,奇鋐,111,-1.77,2015,101,14.09,6,投連買
16	,3711.TW,日月光投控,93.8,-3.6,11870,79.2,18.43,6,投連買
17	,8046.TW,南電,242,-0.41,10124,253.5,-4.54,6,投連買
18	,2912.TW,統一超,268,-1.47,996,287,-3.57,5,投連買
