符合條件商品
資料日期：2021年 12月 13日
策略,	05準確度
序號,	代碼,	商品,	成交,	漲幅%,	總量,	融資,	外資,	自營商,	投信,	融券,	借券
執行時間：2021-12-13 16:29 符合檔數(1731)
1	,1101.TW,台泥,47.1,-0.42,7856,0.46,0.57,0.51,0.6,0.41,0.38
2	,1102.TW,亞泥,43,-1.04,6114,0.49,0.54,0.55,0.55,0.48,0.4
3	,1103.TW,嘉泥,20.45,-1.45,456,0.5,0.63,0.44,0.31,0.29,0.4
4	,1104.TW,環泥,21.6,0,479,0.41,0.54,0.35,0,0.31,0.39
5	,1108.TW,幸福,11.45,-0.87,152,0.53,0.55,0.34,0,0.16,0.36
6	,1109.TW,信大,20.15,0.25,100,0.53,0.62,0.34,0.2,0.22,0.4
7	,1110.TW,東泥,19.6,-0.25,603,0.44,0.44,0.27,0,0.25,0.31
8	,1201.TW,味全,22.15,-0.23,530,0.6,0.65,0.56,0,0.39,0.42
9	,1203.TW,味王,32.65,0,32,0.46,0.53,0.26,0,0,0.28
10	,1210.TW,大成,52.6,-0.19,777,0.6,0.6,0.58,0.5,0.38,0.41
11	,1213.TW,大飲,8.12,-2.4,35,0,0.02,0,0,0,0
12	,1215.TW,卜蜂,80.1,0,284,0.52,0.63,0.64,0.48,0.35,0.46
13	,1216.TW,統一,68.4,-0.73,5755,0.34,0.57,0.54,0.59,0.42,0.42
14	,1217.TW,愛之味,10.5,0.48,846,0.55,0.58,0.32,0,0.25,0.5
15	,1218.TW,泰山,27.25,0.37,265,0.54,0.67,0.61,0,0.34,0.42
16	,1219.TW,福壽,20.2,0,437,0.54,0.47,0.35,0,0.33,0.39
17	,1220.TW,台榮,15.7,0,302,0.45,0.48,0.22,0.25,0.18,0.28
18	,1225.TW,福懋油,51.9,0.58,82,0.51,0.63,0.23,0,0.05,0.38
19	,1227.TW,佳格,52.1,0.97,1306,0.49,0.62,0.52,0.45,0.37,0.45
20	,1229.TW,聯華,57.7,0.35,1518,0.63,0.58,0.53,0.45,0.33,0.41
21	,1231.TW,聯華食,68.5,0.44,164,0.48,0.6,0.32,0.07,0.04,0.4
22	,1232.TW,大統益,158.5,-0.31,136,0.43,0.49,0.37,0.26,0,0.36
23	,1233.TW,天仁,34.5,1.47,31,0.17,0.44,0.15,0,0,0.21
24	,1234.TW,黑松,34.9,-0.14,84,0.46,0.51,0.37,0,0,0.34
25	,1235.TW,興泰,42.35,0.12,24,0.41,0.48,0.2,0,0,0.16
26	,1236.TW,宏亞,30.9,9.96,395,0.4,0.51,0.25,0,0.33,0.25
27	,1240.TW,茂生農經,51.4,-0.19,10,0.59,0.49,0.04,0,0,0.09
28	,1256.TW,鮮活果汁-KY,325,-2.26,52,0.6,0.6,0.3,0,0.21,0.36
29	,1258.TW,其祥-KY,18.05,0.28,1,0.4,0.4,0.09,0,0,0.09
30	,1259.TW,安心,69.9,-0.14,2,0.33,0.12,0,0,0,0
31	,1264.TW,德麥,295,0.34,25,0.36,0.48,0,0,0,0.18
32	,1268.TW,漢來美食,112,-0.88,58,0.42,0.4,0.07,0,0,0.17
33	,1301.TW,台塑,103,-0.96,7777,0.34,0.6,0.59,0.67,0.36,0.46
34	,1303.TW,南亞,83.3,-1.3,7261,0.39,0.66,0.59,0.47,0.44,0.45
35	,1304.TW,台聚,31.45,-0.16,3515,0.53,0.64,0.61,0.35,0.34,0.44
36	,1305.TW,華夏,33.8,-1.46,6356,0.58,0.62,0.59,0.41,0.33,0.46
37	,1307.TW,三芳,20.85,0,65,0.46,0.64,0.31,0,0.03,0.48
38	,1308.TW,亞聚,36.35,-1.62,8205,0.6,0.58,0.61,0.45,0.28,0.4
39	,1309.TW,台達化,33.85,-0.15,706,0.56,0.65,0.57,0.38,0.32,0.42
40	,1310.TW,台苯,17.3,0.29,756,0.55,0.58,0.61,0.07,0.46,0.55
41	,1312.TW,國喬,28.15,-0.18,5449,0.52,0.57,0.56,0.38,0.43,0.5
42	,1313.TW,聯成,21.05,-0.94,2529,0.54,0.65,0.57,0.11,0.35,0.47
43	,1314.TW,中石化,12.4,-0.4,19531,0.6,0.62,0.64,0.07,0.36,0.49
44	,1316.TW,上曜,20.8,4,10228,0.59,0.6,0.32,0,0.23,0.45
45	,1319.TW,東陽,33.1,-0.3,839,0.49,0.61,0.55,0.39,0.38,0.52
46	,1321.TW,大洋,35,-0.28,159,0.55,0.63,0.36,0,0.16,0.44
47	,1323.TW,永裕,35.05,0.57,101,0.41,0.53,0.26,0,0,0.31
48	,1324.TW,地球,11.9,3.48,874,0.44,0.38,0.31,0,0,0.12
49	,1325.TW,恆大,44.95,-1.64,850,0.5,0.51,0.5,0.17,0.42,0.52
50	,1326.TW,台化,79.8,-0.25,2080,0.37,0.6,0.53,0.51,0.41,0.52
51	,1336.TW,台翰,20.7,-0.24,56,0.52,0.5,0.05,0,0.25,0.53
52	,1337.TW,再生-KY,7.16,0.42,364,0.47,0.68,0.45,0,0.47,0.49
53	,1338.TW,廣華-KY,57.6,5.3,671,0.51,0.6,0.35,0.1,0.38,0.5
54	,1339.TW,昭輝,35,-0.57,72,0.62,0.55,0.25,0,0.18,0.48
55	,1340.TW,勝悅-KY,11.25,0.9,56,0.43,0.6,0.37,0,0.29,0.44
56	,1341.TW,富林-KY,67.7,0.45,12,0,0.38,0.03,0,0,0
57	,1342.TW,八貫,61,-0.49,196,0.58,0.54,0.17,0,0,0.13
58	,1402.TW,遠東新,28.45,-1.04,7365,0.38,0.6,0.52,0.56,0.5,0.46
59	,1409.TW,新纖,19.95,0,4035,0.59,0.56,0.61,0.16,0.36,0.48
60	,1410.TW,南染,36.85,-0.94,9,0.45,0.5,0.32,0,0,0.15
61	,1413.TW,宏洲,10.15,1,232,0,0.52,0.16,0,0,0
62	,1414.TW,東和,18.75,-1.83,5600,0.58,0.53,0.33,0,0.29,0.32
63	,1416.TW,廣豐,11.15,-0.45,222,0.48,0.61,0.33,0,0.16,0.42
64	,1417.TW,嘉裕,14.6,2.82,1200,0.59,0.5,0.28,0,0.39,0.4
65	,1418.TW,東華,11.15,0.45,6,0,0,0,0,0,0
66	,1419.TW,新紡,43.25,0.58,29,0.44,0.58,0.34,0,0,0.42
67	,1423.TW,利華,19.75,-0.25,18,0.55,0.56,0.33,0,0.2,0.3
68	,1432.TW,大魯閣,12.8,0.39,169,0.32,0.54,0.13,0,0,0.26
69	,1434.TW,福懋,28.9,-0.17,1970,0.42,0.6,0.48,0.44,0.38,0.41
70	,1435.TW,中福,27.75,0.54,149,0,0.53,0.2,0,0,0
71	,1436.TW,華友聯,54,0.19,19,0.51,0.53,0.25,0,0.1,0.29
72	,1437.TW,勤益控,25.6,0.39,91,0.5,0.58,0.32,0,0,0.32
73	,1438.TW,三地開發,30.4,0.33,54,0.55,0.43,0.03,0,0.5,0.5
74	,1439.TW,中和,23.65,0,23,0.47,0.52,0.21,0,0.23,0.41
75	,1440.TW,南紡,23.55,-1.87,7728,0.55,0.55,0.63,0.33,0.29,0.48
76	,1441.TW,大東,9.26,-0.43,87,0.22,0.6,0.03,0,0,0
77	,1442.TW,名軒,23.2,-0.85,733,0.64,0.56,0.41,0,0.26,0.44
78	,1443.TW,立益,16.85,0.3,9,0,0.54,0.09,0,0,0
79	,1444.TW,力麗,11.2,0.9,1943,0.64,0.56,0.53,0.31,0.33,0.57
80	,1445.TW,大宇,15.7,-0.32,161,0.5,0.51,0.31,0,0.11,0.35
81	,1446.TW,宏和,34.15,1.19,66,0.55,0.57,0.3,0,0.15,0.42
82	,1447.TW,力鵬,10.4,1.46,2225,0.52,0.56,0.47,0.18,0.27,0.5
83	,1449.TW,佳和,15.05,1.35,117,0.6,0.55,0.24,0,0.06,0.19
84	,1451.TW,年興,20.55,0.74,230,0.45,0.56,0.33,0,0.12,0.42
85	,1452.TW,宏益,23.9,0.42,298,0.55,0.56,0.3,0,0.18,0.39
86	,1453.TW,大將,9.07,1,164,0.58,0.49,0.2,0,0,0.25
87	,1454.TW,台富,13.95,9.84,6499,0.45,0.49,0.27,0,0,0.28
88	,1455.TW,集盛,16.75,0,2806,0.55,0.62,0.47,0,0.35,0.56
89	,1456.TW,怡華,22.6,2.73,213,0.57,0.49,0.29,0,0.17,0.31
90	,1457.TW,宜進,18.35,0.82,610,0.5,0.61,0.3,0,0.28,0.41
91	,1459.TW,聯發,13.05,-2.61,765,0.06,0.48,0.09,0.25,0,0
92	,1460.TW,宏遠,9.7,0.41,1233,0.34,0.57,0.2,0,0,0.2
93	,1463.TW,強盛,14.6,0.34,1752,0.57,0.55,0.32,0,0.13,0.44
94	,1464.TW,得力,15.45,0,216,0.59,0.6,0.56,0.07,0.4,0.52
95	,1465.TW,偉全,12.45,1.22,122,0.48,0.41,0.2,0,0,0.34
96	,1466.TW,聚隆,15.05,-1.63,620,0.51,0.48,0.29,0,0.41,0.55
97	,1467.TW,南緯,13.8,-1.08,958,0.52,0.54,0.3,0,0.33,0.4
98	,1468.TW,昶和,12.95,-1.89,58,0,0.49,0.15,0,0,0
99	,1470.TW,大統新創,18.1,0,0,0.23,0.51,0.21,0,0,0
100	,1471.TW,首利,9.29,9.94,6946,0,0.36,0.08,0,0,0
101	,1472.TW,三洋實業,29.3,-9.85,63,0.09,0.27,0,0,0,0
102	,1473.TW,台南,17.95,0.56,24,0.52,0.59,0.27,0,0.09,0.43
103	,1474.TW,弘裕,15,-0.99,383,0.54,0.53,0.35,0,0.31,0.47
104	,1475.TW,業旺,49.95,0.1,36,0,0.4,0.14,0,0,0
105	,1476.TW,儒鴻,620,0.32,505,0.36,0.63,0.6,0.66,0.42,0.5
106	,1477.TW,聚陽,248,0.4,180,0.4,0.63,0.63,0.61,0.51,0.48
107	,1503.TW,士電,53.9,-0.37,53,0.48,0.6,0.53,0.06,0,0.36
108	,1504.TW,東元,30.6,-0.16,1785,0.52,0.54,0.48,0.47,0.41,0.44
109	,1506.TW,正道,16.65,4.06,3071,0.01,0.5,0.06,0,0,0
110	,1507.TW,永大,64.4,0,192,0.36,0.56,0.45,0,0.1,0.49
111	,1513.TW,中興電,43.3,-0.92,2510,0.61,0.62,0.58,0.52,0.33,0.42
112	,1514.TW,亞力,25,1.01,1079,0.53,0.62,0.32,0,0.47,0.41
113	,1515.TW,力山,57,-3.39,3125,0.52,0.63,0.66,0.33,0.36,0.52
114	,1516.TW,川飛,24.95,5.27,1221,0.52,0.5,0.08,0,0.08,0.25
115	,1517.TW,利奇,28.45,1.07,3323,0.56,0.55,0.44,0,0.27,0.4
116	,1519.TW,華城,35.9,2.87,841,0.64,0.68,0.56,0.12,0.36,0.52
117	,1521.TW,大億,41.05,-0.85,72,0.46,0.6,0.16,0,0,0.29
118	,1522.TW,堤維西,19.2,0.52,294,0.47,0.6,0.39,0.14,0.43,0.44
119	,1524.TW,耿鼎,11.35,1.79,2498,0.6,0.57,0.19,0,0,0.33
120	,1525.TW,江申,59.6,0,14,0.53,0.61,0.3,0.08,0.1,0.41
121	,1526.TW,日馳,50.4,2.75,688,0.65,0.55,0.35,0,0.4,0.51
122	,1527.TW,鑽全,43.25,1.53,404,0.56,0.63,0.38,0.1,0.41,0.5
123	,1528.TW,恩德,11.95,3.46,2630,0.58,0.63,0.31,0.17,0.17,0.35
124	,1529.TW,樂士,21.3,1.91,2987,0.53,0.58,0.17,0,0.13,0.43
125	,1530.TW,亞崴,33.3,-0.15,14,0.38,0.53,0.25,0,0,0.26
126	,1531.TW,高林股,15.65,0.32,213,0.54,0.48,0.27,0,0.1,0.29
127	,1532.TW,勤美,32.75,0.77,205,0.59,0.56,0.33,0.16,0.35,0.49
128	,1533.TW,車王電,56.7,-0.7,302,0.64,0.59,0.38,0,0.31,0.45
129	,1535.TW,中宇,39.3,0.51,44,0.55,0.51,0.26,0,0.08,0.32
130	,1536.TW,和大,90.8,-0.11,831,0.42,0.64,0.73,0.47,0.46,0.52
131	,1537.TW,廣隆,139,0.36,93,0.39,0.58,0.33,0.19,0.22,0.41
132	,1538.TW,正峰,10.75,1.42,3,0,0.03,0,0,0,0
