"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"901",="6703","軒郁","櫃","03/17","","131","+8.5","+6.94","306","39.6","122.5","123.5","134","123","8.98","20.2","3.41","    ","    ","    ","    "
"902",="8069","元太","櫃","03/17","","175.5","+2","+1.15","11,011","1,945","173.5","177","178","175.5","1.44","20.2","4.58","    ","    ","    ","    "
"903",="3289","宜特","櫃","03/17","","90.7","-2","-2.16","3,565","327","92.7","94","94.2","90.3","4.21","20.2","2.07","    ","    ","    ","    "
"904",="3380","明泰","市","03/17","","34.3","+0.75","+2.24","2,047","70","33.55","33.9","34.4","33.75","1.94","20.3","1.79","    ","    ","    ","    "
"905",="8931","大汽電","櫃","03/17","","61.4","+1.7","+2.85","647","39.7","59.7","60.5","62.4","60.5","3.18","20.4","3.45","    ","    ","    ","    "
"906",="5321","美而快","櫃","03/17","","84.1","+2.1","+2.56","351","29.3","82","82.5","84.5","82.5","2.44","20.5","4.56","    ","    ","    ","    "
"907",="5512","力麒","櫃","03/17","","9.64","+0.17","+1.8","2,954","28.5","9.47","9.6","9.76","9.52","2.53","20.5","0.54","    ","    ","    ","    "
"908",="4746","台耀","市","03/17","","69.8","+1.9","+2.8","1,577","109","67.9","68.7","69.9","68.4","2.21","20.5","1.12","    ","    ","    ","    "
"909",="1722","台肥","市","03/17","","55.9","+0.1","+0.18","1,858","104","55.8","56","56.4","55.8","1.08","20.6","1.03","    ","    ","    ","    "
"910",="6183","關貿","市","03/17","","63.7","+0.2","+0.31","32","2.07","63.5","64.1","64.1","63.5","0.94","20.6","3.87","    ","    ","    ","    "
"911",="1219","福壽","市","03/17","","20.65","+0.25","+1.23","1,063","21.8","20.4","20.5","20.7","20.4","1.47","20.6","1.52","    ","    ","    ","    "
"912",="6158","禾昌","櫃","03/17","","24.8","+0.3","+1.22","17","0.41","24.5","24.65","25","24.65","1.43","20.7","1.24","    ","    ","    ","    "
"913",="8072","陞泰","市","03/17","","25.85","+0.2","+0.78","81","2.1","25.65","25.75","26.15","25.75","1.56","20.7","0.92","    ","    ","    ","    "
"914",="1229","聯華","市","03/17","","54.4","-1.1","-1.98","2,887","158","55.5","56","56","52.8","5.77","20.7","2.15","    ","    ","    ","    "
"915",="6243","迅杰","市","03/17","","36.05","-0.3","-0.83","699","25.5","36.35","37.05","37.15","36.05","3.03","20.7","2.06","    ","    ","    ","    "
"916",="5546","永固-KY","市","03/17","","41.3","+0.1","+0.24","17","0.7","41.2","41.75","41.75","41.05","1.7","20.8","1.18","    ","    ","    ","    "
"917",="1503","士電","市","03/17","","80.2","+0.4","+0.5","1,507","121","79.8","80.8","81","79.2","2.26","20.8","1.49","    ","    ","    ","    "
"918",="1519","華城","市","03/17","","66.7","+0.5","+0.76","5,786","385","66.2","67.1","67.4","65.6","2.72","20.8","4.2","    ","    ","    ","    "
"919",="6405","悅城","市","03/17","","21.65","+0.3","+1.41","10","0.22","21.35","21.6","21.65","21.6","0.23","20.8","0.55","    ","    ","    ","    "
"920",="8478","東哥遊艇","市","03/17","","380.5","+16","+4.39","3,802","1,433","364.5","371.5","384","370.5","3.7","20.8","7.56","    ","    ","    ","    "
"921",="6719","力智","市","03/17","","309.5","+12.5","+4.21","2,375","729","297","304","310","301.5","2.86","20.8","2.77","    ","    ","    ","    "
"922",="2358","廷鑫","市","03/17","","14.6","+0.3","+2.1","459","6.66","14.3","14.45","14.6","14.4","1.4","20.9","1.01","    ","    ","    ","    "
"923",="3006","晶豪科","市","03/17","","77.4","+1.4","+1.84","1,901","147","76","77.4","78","77","1.32","20.9","1.83","    ","    ","    ","    "
"924",="1309","台達化","市","03/17","","21.75","+0.5","+2.35","847","18.3","21.25","21.45","21.8","21.45","1.65","20.9","1.2","    ","    ","    ","    "
"925",="8042","金山電","櫃","03/17","","37.05","-0.2","-0.54","17","0.62","37.25","38.5","38.5","37","4.03","20.9","1.17","    ","    ","    ","    "
"926",="2399","映泰","市","03/17","","16.55","+0.55","+3.44","9,996","165","16","16.15","16.7","16.15","3.44","20.9","1.29","    ","    ","    ","    "
"927",="1721","三晃","市","03/17","","14.05","+0.2","+1.44","274","3.85","13.85","13.95","14.1","13.95","1.08","21","1.08","    ","    ","    ","    "
"928",="6756","威鋒電子","市","03/17","","221.5","+5.5","+2.55","1,146","254","216","219.5","224","218","2.78","21","4.79","    ","    ","    ","    "
"929",="3552","同致","櫃","03/17","","159","+3.5","+2.25","913","145","155.5","157.5","160.5","156.5","2.57","21","3.23","    ","    ","    ","    "
"930",="2929","淘帝-KY","市","03/17","","13.95","+0.2","+1.45","725","10.1","13.75","13.75","14.05","13.75","2.18","21.1","0.5","    ","    ","    ","    "
"931",="6418","詠昇","櫃","03/17","","16.1","0","0","89","1.42","16.1","16.1","16.2","15.85","2.17","21.2","1.15","    ","    ","    ","    "
"932",="1416","廣豐","市","03/17","","10.85","+0.15","+1.4","256","2.76","10.7","10.8","10.85","10.7","1.4","21.3","0.56","    ","    ","    ","    "
"933",="1795","美時","市","03/17","","247.5","+2","+0.81","4,901","1,216","245.5","249","251","245","2.44","21.4","4.68","    ","    ","    ","    "
"934",="6212","理銘","櫃","03/17","","49","-0.5","-1.01","3","0.15","49.5","48.05","49","48","2.02","21.4","1.87","    ","    ","    ","    "
"935",="8341","日友","市","03/17","","165.5","+3","+1.85","281","46.4","162.5","164","167.5","163","2.77","21.4","5.76","    ","    ","    ","    "
"936",="2362","藍天","市","03/17","","30.3","-0.5","-1.62","15,527","472","30.8","30.8","31.85","30.3","5.03","21.5","0.42","    ","    ","    ","    "
