"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"301",="4439","冠星-KY","市","03/17","","110","+1","+0.92","6","0.67","109","109.5","110","109.5","0.46","9.86","1.36","    ","    ","    ","    "
"302",="4568","科際精密","櫃","03/17","","62.3","+0.5","+0.81","8","0.51","61.8","61.8","62.6","61.8","1.29","9.89","1.67","    ","    ","    ","    "
"303",="5315","光聯","櫃","03/17","","23.55","+0.65","+2.84","1,097","25.6","22.9","23.2","23.55","23.15","1.75","9.89","1.57","    ","    ","    ","    "
"304",="6412","群電","市","03/17","","81.5","0","0","1,214","98.9","81.5","81.5","82.1","80.5","1.96","9.91","2.54","    ","    ","    ","    "
"305",="4432","銘旺實","櫃","03/17","","24.3","-0.1","-0.41","163","3.98","24.4","24.55","24.7","24.3","1.64","9.92","0.98","    ","    ","    ","    "
"306",="5244","弘凱","市","03/17","","30.5","+0.4","+1.33","47","1.43","30.1","30.15","30.5","30.1","1.33","9.93","1.33","    ","    ","    ","    "
"307",="5493","三聯","櫃","03/17","","55","+0.7","+1.29","34","1.86","54.3","54.3","55","54.3","1.29","9.95","1.67","    ","    ","    ","    "
"308",="2916","滿心","櫃","03/17","","32.75","+0.25","+0.77","284","9.39","32.5","33.45","33.65","32.7","2.92","9.95","1.7","    ","    ","    ","    "
"309",="8284","三竹","櫃","03/17","","61.7","+0.3","+0.49","93","5.73","61.4","61.6","62.3","61","2.12","9.97","2.33","    ","    ","    ","    "
"310",="6175","立敦","櫃","03/17","","37.1","+0.55","+1.5","128","4.77","36.55","36.95","37.4","36.95","1.23","10","1.71","    ","    ","    ","    "
"311",="5457","宣德","櫃","03/17","","54.7","+0.6","+1.11","214","11.7","54.1","54.4","55","54.4","1.11","10","2.24","    ","    ","    ","    "
"312",="2612","中航","市","03/17","","41.6","+0.1","+0.24","390","16.3","41.5","41.85","42.55","41.5","2.53","10","0.69","    ","    ","    ","    "
"313",="3268","海德威","櫃","03/17","","23.1","+0.25","+1.09","22","0.51","22.85","23.1","23.3","23.1","0.88","10","1.43","    ","    ","    ","    "
"314",="4767","誠泰科技","櫃","03/17","","26.75","+0.55","+2.1","6","0.16","26.2","26.7","26.75","26.7","0.19","10.1","0.98","    ","    ","    ","    "
"315",="4438","廣越","市","03/17","","114.5","+1","+0.88","95","10.9","113.5","115","115","113.5","1.32","10.1","1.49","    ","    ","    ","    "
"316",="3605","宏致","市","03/17","","33.05","+0.15","+0.46","162","5.37","32.9","33","33.35","33","1.06","10.1","0.76","    ","    ","    ","    "
"317",="3402","漢科","櫃","03/17","","49.55","+2.75","+5.88","2,189","109","46.8","48.55","50.9","48.5","5.13","10.1","2.13","    ","    ","    ","    "
"318",="6207","雷科","櫃","03/17","","27.25","+0.25","+0.93","86","2.36","27","27","27.45","27","1.67","10.1","1.25","    ","    ","    ","    "
"319",="2368","金像電","市","03/17","","89.5","+2.7","+3.11","5,342","474","86.8","87.6","89.5","87.6","2.19","10.1","3.04","    ","    ","    ","    "
"320",="6216","居易","市","03/17","","26.9","+0.2","+0.75","78","2.08","26.7","27","27","26.7","1.12","10.1","1.45","    ","    ","    ","    "
"321",="2233","宇隆","市","03/17","","106","+0.5","+0.47","63","6.76","105.5","106.5","107","106","0.95","10.1","1.9","    ","    ","    ","    "
"322",="2414","精技","市","03/17","","33.75","+0.05","+0.15","79","2.69","33.7","33.8","34","33.7","0.89","10.1","1.82","    ","    ","    ","    "
"323",="2834","臺企銀","市","03/17","","12.8","+0.1","+0.79","83,284","1,061","12.7","12.8","12.85","12.6","1.97","10.2","0.99","    ","    ","    ","    "
"324",="6470","宇智","櫃","03/17","","62.7","+0.8","+1.29","668","41.9","61.9","63","63.4","62.3","1.78","10.2","2.4","    ","    ","    ","    "
"325",="6180","橘子","櫃","03/17","","74.1","+0.2","+0.27","1,186","88.4","73.9","74.8","75.1","74.1","1.35","10.2","2.22","    ","    ","    ","    "
"326",="8404","百和興業-KY","市","03/17","","26.85","+0.35","+1.32","81","2.17","26.5","26.75","27.05","26.6","1.7","10.2","1.45","    ","    ","    ","    "
"327",="6215","和椿","市","03/17","","26.75","+1.3","+5.11","607","16.1","25.45","25.7","27.1","25.7","5.5","10.2","1.48","    ","    ","    ","    "
"328",="3332","幸康","櫃","03/17","","43.25","+0.05","+0.12","14","0.61","43.2","43.55","43.55","43.2","0.81","10.2","1.28","    ","    ","    ","    "
"329",="6139","亞翔","市","03/17","","45.2","+0.75","+1.69","1,223","55.3","44.45","45","45.55","44.7","1.91","10.2","1.17","    ","    ","    ","    "
"330",="1443","立益物流","市","03/17","","29.15","0","0","30","0.89","29.15","29.9","29.9","29.15","2.57","10.2","2.4","    ","    ","    ","    "
"331",="4148","全宇生技-KY","市","03/17","","64.4","+0.6","+0.94","94","6.03","63.8","64.3","64.4","63.6","1.25","10.3","1.8","    ","    ","    ","    "
