"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"1201",="6160","欣技","櫃","03/17","","18.7","+0.1","+0.54","171","3.23","18.6","18.95","19.1","18.65","2.42","45.6","1.61","    ","    ","    ","    "
"1202",="6210","慶生","櫃","03/17","","36.7","+1.3","+3.67","30","1.1","35.4","36.95","36.95","36.05","2.54","45.9","1.6","    ","    ","    ","    "
"1203",="4939","亞電","櫃","03/17","","16.1","+0.05","+0.31","62","1.01","16.05","16.1","16.3","16.1","1.25","46","1.02","    ","    ","    ","    "
"1204",="1736","喬山","市","03/17","","65.6","+1.5","+2.34","439","28.7","64.1","65.1","66","64.5","2.34","46.2","2.1","    ","    ","    ","    "
"1205",="4153","鈺緯","櫃","03/17","","39.65","+1.15","+2.99","391","15.4","38.5","38.8","40.25","38.5","4.55","46.6","2.29","    ","    ","    ","    "
"1206",="4563","百德","櫃","03/17","","39.5","-0.6","-1.5","125","4.95","40.1","39.9","39.95","39.05","2.24","47","1.69","    ","    ","    ","    "
"1207",="4556","旭然","櫃","03/17","","30.85","+0.1","+0.33","5","0.15","30.75","31.05","31.05","30.45","1.95","47.5","1.52","    ","    ","    ","    "
"1208",="1240","茂生農經","櫃","03/17","","44.85","+0.15","+0.34","58","2.6","44.7","44.8","45.25","44.8","1.01","47.7","1.45","    ","    ","    ","    "
"1209",="6451","訊芯-KY","市","03/17","","80.3","+0.8","+1.01","125","10.1","79.5","80.7","80.9","80.1","1.01","48.1","1.32","    ","    ","    ","    "
"1210",="6233","旺玖","櫃","03/17","","24.1","+0.45","+1.9","417","10.1","23.65","23.9","24.3","23.9","1.69","48.2","1.83","    ","    ","    ","    "
"1211",="1220","台榮","市","03/17","","17.1","+0.3","+1.79","587","10","16.8","16.85","17.2","16.85","2.08","48.9","1.37","    ","    ","    ","    "
"1212",="6516","勤崴國際","櫃","03/17","","83.7","+0.1","+0.12","28","2.36","83.6","83.8","84.8","83.7","1.32","48.9","3.77","    ","    ","    ","    "
"1213",="6185","幃翔","櫃","03/17","","14.2","+0.75","+5.58","1,690","24.2","13.45","13.75","14.65","13.6","7.81","49","0.98","    ","    ","    ","    "
"1214",="1101","台泥","市","03/17","","36.4","+0.05","+0.14","31,847","1,161","36.35","36.6","36.75","36.35","1.1","49.2","1.23","    ","    ","    ","    "
"1215",="2723","美食-KY","市","03/17","","146.5","+3","+2.09","1,274","186","143.5","145","148.5","143.5","3.48","49.5","2.41","    ","    ","    ","    "
"1216",="3152","璟德","櫃","03/17","","199","-1","-0.5","60","12.1","200","200","203","199","2","49.9","3.86","    ","    ","    ","    "
"1217",="6204","艾華","櫃","03/17","","53.9","-0.6","-1.1","4","0.22","54.5","55","55","53.9","2.02","49.9","3.87","    ","    ","    ","    "
"1218",="5274","信驊","櫃","03/17","","2720","+60","+2.26","542","1,472","2660","2740","2760","2685","2.82","50.1","25","    ","    ","    ","    "
"1219",="1760","寶齡富錦","市","03/17","","161.5","+1.5","+0.94","3,502","567","160","162","163.5","160.5","1.88","50.6","6.58","    ","    ","    ","    "
