符合條件商品
資料日期：2022年  9月 16日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(09/16),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:58 符合檔數(54)
1	,2885.TW,元大金,21.8,-0.91,10786,20.1,8.46,14,自連賣
2	,4577.TW,達航科技,31.15,0.16,67,33.75,-7.7,10,自連賣
3	,2614.TW,東森,23.3,1.75,3526,22,5.91,9,自連賣
4	,6548.TW,長科*,29.95,0,316,33.15,-7.62,9,自連賣
5	,2009.TW,第一銅,31.95,0.79,2420,24.6,29.88,8,自連賣
6	,2545.TW,皇翔,40.2,-0.12,93,42.55,-5.52,8,自連賣
7	,4157.TW,太景*-KY,16.15,-1.52,3200,17.1,-5.56,8,自連賣
8	,5533.TW,皇鼎,17.45,-0.29,42,18.35,-4.9,8,自連賣
9	,1467.TW,南緯,11,-0.9,343,12.8,-14.06,7,自連賣
10	,2029.TW,盛餘,25.2,0,787,25.15,0.2,7,自連賣
11	,2030.TW,彰源,23.95,1.27,3219,24.85,-3.62,7,自連賣
12	,2204.TW,中華,50.1,0.91,1497,44.65,12.21,7,自連賣
13	,2239.TW,英利-KY,59,-0.84,55,77.1,-23.48,7,自連賣
14	,2430.TW,燦坤,41.8,-0.12,23,46.45,-10.01,7,自連賣
15	,2474.TW,可成,169,-1.74,2651,172.5,-2.03,7,自連賣
16	,2548.TW,華固,88,-0.34,174,92.5,-4.86,7,自連賣
17	,2812.TW,台中銀,12.8,-0.39,3299,13.45,-4.83,7,自連賣
18	,3362.TW,先進光,71.1,-0.42,992,76.6,-7.18,7,自連賣
19	,4935.TW,茂林-KY,56.3,-1.05,64,59.9,-6.01,7,自連賣
20	,4956.TW,光鋐,14.4,-0.35,75,16.4,-12.2,7,自連賣
21	,6261.TW,久元,58,-0.51,75,63.1,-8.08,7,自連賣
22	,8112.TW,至上,36.05,0.7,471,36.45,-1.1,7,自連賣
23	,9941.TW,裕融,156.5,0,327,157,-0.32,7,自連賣
24	,2845.TW,遠東銀,11.1,-0.89,1864,11.35,-2.2,6,自連賣
25	,3691.TW,碩禾,101.5,0,155,147.5,-31.19,6,自連賣
26	,4123.TW,晟德,46.35,0.65,1096,51.3,-9.65,6,自連賣
27	,6147.TW,頎邦,58.6,0.51,604,54.9,6.74,6,自連賣
28	,1531.TW,高林股,13.95,-0.36,46,14.3,-2.45,5,自連賣
29	,1536.TW,和大,70.4,-0.56,752,92.5,-23.89,5,自連賣
30	,1702.TW,南僑,44.8,-0.88,73,45.4,-1.32,5,自連賣
31	,1709.TW,和益,22.45,0,297,24.4,-7.99,5,自連賣
32	,2027.TW,大成鋼,43.15,-1.93,15303,39,10.64,5,自連賣
33	,2034.TW,允強,29.6,-0.5,3354,29.05,1.89,5,自連賣
34	,2329.TW,華泰,17.6,-1.68,1321,17.75,-0.85,5,自連賣
35	,2375.TW,凱美,56,-0.36,155,59,-5.08,5,自連賣
36	,2379.TW,瑞昱,289,-0.52,1352,318.5,-9.26,5,自連賣
37	,2406.TW,國碩,18.8,-1.05,970,20.45,-8.07,5,自連賣
38	,2481.TW,強茂,60.4,-0.33,2094,65.5,-7.79,5,自連賣
39	,3033.TW,威健,26.5,0,428,27.15,-2.39,5,自連賣
40	,3376.TW,新日興,80.7,-0.25,113,91.4,-11.71,5,自連賣
41	,3419.TW,譁裕,18.6,0.54,853,18.5,0.54,5,自連賣
42	,3583.TW,辛耘,72.6,1.26,201,79,-8.1,5,自連賣
43	,3714.TW,富采,46.6,-0.96,1148,46.85,-0.53,5,自連賣
44	,3715.TW,定穎投控,16.55,-0.6,573,19.15,-13.58,5,自連賣
45	,4555.TW,氣立,49.4,0.41,5,53.4,-7.49,5,自連賣
46	,4807.TW,日成-KY,20.2,2.54,11,21.35,-5.39,5,自連賣
47	,4915.TW,致伸,55.1,-0.9,3460,66.1,-16.64,5,自連賣
48	,6121.TW,新普,288.5,-0.35,276,279,8.28,5,自連賣
49	,6188.TW,廣明,40.45,-0.37,336,41.15,-1.7,5,自連賣
50	,6197.TW,佳必琪,40.25,0.12,1001,40.35,-0.25,5,自連賣
51	,6585.TW,鼎基,55.9,6.88,488,62.1,-9.98,5,自連賣
52	,6715.TW,嘉基,130,-2.26,387,149,-12.75,5,自連賣
53	,8072.TW,陞泰,26.45,-1.12,229,28.3,-6.54,5,自連賣
54	,8429.TW,金麗-KY,11.2,3.23,2037,10.25,9.27,5,自連賣
