符合條件商品
資料日期：2022年 12月  7日
策略,	10自營商5連賣
序號,	代碼,	商品,	成交,	漲幅%,	總量,	收盤價(12/07),	區間漲幅%,	連賣次數,	主融外自投
執行時間：2022-12-25 13:32 符合檔數(89)
79	,3706.TW,神達,29.7,-0.17,1384,29,2.41,5,自連賣
80	,4763.TW,材料-KY,172,-4.44,2683,165.5,6.31,5,自連賣
81	,5225.TW,東科-KY,37.85,1.75,1188,37.2,1.75,5,自連賣
82	,5269.TW,祥碩,717,0.14,564,706,1.56,5,自連賣
83	,5469.TW,瀚宇博,31.65,-0.94,479,33.35,-5.1,5,自連賣
84	,6191.TW,精成科,27.6,-1.08,433,28.6,-3.5,5,自連賣
85	,6756.TW,威鋒電子,191,-2.05,282,209.5,-8.83,5,自連賣
86	,6789.TW,采鈺,201.5,1.77,576,228,-11.62,5,自連賣
87	,8081.TW,致新,141,-1.05,262,143.5,-1.74,5,自連賣
88	,9917.TW,中保科,99.6,1.32,404,98.9,0.71,5,自連賣
89	,9919.TW,康那香,17.9,1.7,10393,17.25,3.77,5,自連賣
